COMPANY NAME,KRSNAA DIAGNOSTICS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,568.5,,,,,,,,,
Market Capitalization,1835.99,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,35.59,56.89,107.57,146.91,258.43,396.46,454.89,464.08
Raw Material Cost,,,11.38,14.54,10.53,17.34,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,1.27,1.89,,4.52,5.89,4.79,6.16,6.84
Other Mfr. Exp,,,0.31,0.37,,6.28,39.38,95.95,75.72,95.98
Employee Cost,,,9,12.5,16.1,18.21,23.13,29.91,53.06,65.9
Selling and admin,,,9.2,12.18,17.51,18.03,102.73,142.91,144.86,120.86
Other Expenses,,,4.23,0.89,125.06,22.75,201.51,28.58,40.29,50.26
Other Income,,,3.17,3.82,2.89,2.31,12.95,264.51,14.68,19.41
Depreciation,,,4.75,9.86,17.51,25.56,32.41,37.44,41.39,53.78
Interest,,,5.92,6.22,8.03,15.89,24.66,25.94,18.49,7.68
Profit before tax,,,-7.3,2.26,-84.28,20.64,-158.33,295.45,89.6,82.19
Tax,,,0.47,0.18,-24.12,8.18,-46.38,110.53,18.9,18.68
Net profit,,,-7.77,2.07,-60.16,12.47,-111.95,184.93,70.7,63.51
Dividend Amount,,,,,,,,,7.85,8.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,108.26,106.31,107.84,111.77,120.72,115.74,115.86,132.29,146.85,151.55
Expenses,76.33,75.41,77.63,80.55,86.58,81.96,90.77,100.11,115.57,116.72
Other Income,3.23,4.34,4.12,4.65,4.27,4.55,5.94,4.22,4.16,4.08
Depreciation,10.33,10.63,10.45,12.36,12.92,13.9,14.6,15.74,18.19,17.9
Interest,8.2,2.35,1.83,1.38,1.81,2.26,2.23,1.95,3.06,4.14
Profit before tax,16.63,22.26,22.05,22.13,23.68,22.17,14.2,18.71,14.19,16.87
Tax,4.09,5.02,2.73,5.34,5.72,5.31,2.4,3.46,2.88,3.29
Net profit,12.54,17.23,19.33,16.8,17.97,16.87,11.81,15.25,11.31,13.59
Operating Profit,31.93,30.9,30.21,31.22,34.14,33.78,25.09,32.18,31.28,34.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,5.16,5.16,,5.16,5.16,6.5,15.7,15.7
Reserves,,,3.64,5.56,,42.88,-217.16,-17.02,671.05,726.8
Borrowings,,,80.97,36.78,,189.03,231.25,231.78,40.99,32.48
Other Liabilities,,,73.69,128.13,,256.03,610.73,388.02,149.31,134.41
Total,,,163.46,175.63,,493.1,629.98,609.28,877.05,909.39
Net Block,,,58.54,116.13,,223.01,275.1,308.51,385.69,470.68
Capital Work in Progress,,,20.05,5.78,,41.79,9.13,3.72,28.26,25.48
Investments,,,0.36,0.39,,0.29,0.29,0.29,0.36,0.36
Other Assets,,,84.51,53.33,,228.01,345.46,296.76,462.74,412.87
Total,,,163.46,175.63,,493.1,629.98,609.28,877.05,909.39
Receivables,,,8.44,14.11,,56.22,61.43,75.29,59.31,74.55
Inventory,,,0.67,0.95,,4.21,5.07,7.21,9.17,25.07
Cash & Bank,,,37.71,7.19,,111.62,127.28,152.91,241.75,108.21
No. of Equity Shares,,,5162100,5162100,,5163100,5163100,6494964,31397613,31397613
New Bonus Shares,,,,,,,,,,
Face value,,,10,10,10,10,10,10,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,59.3,,61.08,37.81,118.66,128.71,75.48
Cash from Investing Activity,,,,-53.19,,-201.39,-76.65,-67.37,-241.1,-108.54
Cash from Financing Activity,,,,-36.63,,144.81,5.78,20.03,176.04,-33.13
Net Cash Flow,,,,-30.52,,4.5,-33.06,71.32,63.65,-66.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,488.7,460.2
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,0.52,0.52,0.52,0.52,0.52,0.65,3.14,3.14
