COMPANY NAME,TATA POWER COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,413.5,,,,,,,,,
Market Capitalization,132005.92,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,33592.79,29494.3,27587.59,26840.27,29881.06,29136.37,32703.31,42815.67,55109.08,61448.9
Raw Material Cost,,,,,,,,,,5479.55
Change in Inventory,-120.72,-34.16,-28.34,8.51,-24.37,15.64,-0.41,199.22,-43.53,51.78
Power and Fuel,16644.14,17088.59,17921.05,16356.15,18918.9,17100.03,20037.56,26764.37,36708.56,34144.93
Other Mfr. Exp,5904.72,3146.34,1720.75,2041.68,2056.1,2013.68,2533.43,3942.93,5007.21,
Employee Cost,1686.88,1375.45,1342.92,1475,1497.6,1541.05,2414.24,3731.29,3801.4,4036.09
Selling and admin,2820.36,570.39,481.89,511.78,466.39,401.51,942.43,1010.17,1460.6,
Other Expenses,114.77,5174.14,619.37,4169.34,3847.79,2806.31,-181.26,535.24,360.02,7056.08
Other Income,1056.02,4060.02,1297.37,6585.64,7186.47,3795.79,1739.36,2485.5,5540.09,3367.58
Depreciation,2174.15,1648.73,1955.59,2346.17,2393.13,2633.56,2744.94,3122.2,3439.2,3786.37
Interest,3698.72,3235.81,3364.96,3761.48,4170,4493.73,4010.39,3859.02,4371.65,4633.22
Profit before tax,1484.35,1280.71,1450.09,2772.82,3693.25,1957.93,1940.53,2535.17,5457,5732.02
Tax,1074.92,680.31,350.46,161.97,1087.59,641.49,501.88,379.56,1647.33,1451.92
Net profit,167.83,662.2,896.55,2408.3,2356.19,1017.38,1127.38,1741.46,3336.44,3696.25
Dividend Amount,351.62,351.62,351.65,351.65,351.65,419.28,495.32,559.23,639.12,639.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,10913.14,11959.96,14495.48,14030.72,14129.12,12453.76,15213.29,15738.03,14651,15846.58
Expenses,9279.38,10091.37,12812.09,12270.28,11810.48,10526.05,12499.94,12966.92,12233.58,13539.69
Other Income,865.45,62.45,1226.72,1501.8,1496.93,1352.22,877.05,567.29,1091.87,1406.62
Depreciation,758.12,845.71,822.01,837.63,853.26,926.3,893.44,925.89,926.27,1040.77
Interest,952.6,1014.6,1026.04,1051.76,1098.29,1195.56,1221.41,1181.83,1094.26,1135.72
Profit before tax,788.49,70.73,1062.06,1372.85,1864.02,1158.07,1475.55,1230.68,1488.76,1537.02
Tax,236.6,-561.64,178.52,437.67,811.88,219.26,334.58,213.27,412.64,491.44
Net profit,425.81,503.11,794.6,819.09,945.02,777.73,972.49,875.53,953.01,895.21
Operating Profit,1633.76,1868.59,1683.39,1760.44,2318.64,1927.71,2713.35,2771.11,2417.42,2306.89
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,270.48,270.48,270.5,270.5,270.5,270.5,319.56,319.56,319.56,319.56
Reserves,14048.41,11362.9,12944.05,16129.38,18035.01,19295.52,22002.7,22122,28467.87,32035.73
Borrowings,40606.7,38848.59,48815.41,48344.24,48506.04,51936.15,46707.95,51195.12,52923,53689.45
Other Liabilities,20259.75,19574.54,20799.3,17147.68,17261.89,18171.74,29624.63,38913.31,46385.71,53508.75
Total,75185.34,70056.51,82829.26,81891.8,84073.44,89673.91,98654.84,112549.99,128096.14,139553.49
Net Block,44725.7,36413.72,46594.79,44656.26,44304.89,47666.36,52179.15,57389.44,61746.66,67209.56
Capital Work in Progress,3323.19,1344.91,2177.92,1652.6,2575.7,1611.52,3270.26,4635.1,5376.36,11561.31
Investments,3444.57,11785.35,11873.01,12428.93,13541.87,14534.84,13149.05,14160.33,16669.69,16295.99
Other Assets,23691.88,20512.53,22183.54,23154.01,23650.98,25861.19,30056.38,36365.12,44303.43,44486.63
Total,75185.34,70056.51,82829.26,81891.8,84073.44,89673.91,98654.84,112549.99,128096.14,139553.49
Receivables,5563.95,3540.24,3832.12,2788.93,4445.26,4425.9,5200.08,5979.74,6952.15,7401.69
Inventory,1844.17,1373.4,1599.56,1623.08,1706.42,1752.35,1885.62,4231.52,3942.88,4419.63
Cash & Bank,1483.45,663.16,954.3,1185.78,787.45,2094.18,5870.67,6640.7,11206.53,9151.91
No. of Equity Shares,2706277554,2704629398,2706281698,2706425810,2706425810,2706425810,3196991847,3196991847,3196991847,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,5980.91,7415.12,7014.18,6363.85,4573.79,7375.32,8345.12,6692.73,7159.13,
Cash from Investing Activity,-3865.18,-1805.22,-7372.73,-1511.65,-272.34,-492.88,993.33,-6250.47,-7256.64,
