COMPANY NAME,BANK OF BARODA,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,262.65,,,,,,,,,
Market Capitalization,135722.42,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,40462.89,44914.97,45798.99,44473.45,46056.42,52906.25,78894.7,74313.98,73385.46,94138.61
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,382.13,481.41,550.74,625.22,755.55,938.31,1147.53,1125.9,1012.32,1051.56
Employee Cost,4337.35,4479.56,5203.7,4891.78,4905.26,5438.54,10079.02,11997.66,12649.45,14350.28
Selling and admin,1456.84,1629.29,1859.31,2012.28,2230.12,2395.21,3535.38,3725.66,3841.98,4462.56
Other Expenses,5872.79,6875.88,17777.54,11720.9,18202.21,17042.69,25820.89,21786.76,20014.43,18375.01
Other Income,5555.15,5449.27,5992.18,7936.78,7992.21,7887.05,12191.33,15253.65,14394.73,16639.37
Depreciation,368.11,368.26,525.11,539.97,900.69,948.25,1697.23,1357.31,1438.24,2031.86
Interest,27604.43,30546.61,32107.44,29595.73,29160.48,32505.72,50039.89,43201.18,38815.47,49942.17
Profit before tax,5996.39,5983.23,-6232.67,3024.35,-2105.68,1524.58,-1233.91,6373.16,10008.3,20564.54
Tax,1065.15,2150.54,-1179.58,1246.93,-193.62,437.51,-2176.09,4919.27,2308.07,5876.67
Net profit,5000.73,3911.73,-5067.68,1814.98,-1887.11,1100.1,927.75,1547.67,7849.69,14905.2
Dividend Amount,925.96,709.7,,277.25,,,,,1475.63,2847.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,17540.89,18721.62,19097.17,20048.3,22424.47,24833.55,27196.3,28002.54,29262.76,30041.75
Expenses,9398.23,8980.58,10504.7,8209.62,10408.1,11011.84,10641.71,11040.32,12215.54,10555.7
Other Income,4457.87,3351.37,3373.29,1528.46,3896.02,5519.12,5331.76,5315.59,6503.24,5042.23
Depreciation,,,,,,,,,,
Interest,9505.39,9800.12,9955.71,10495.65,11494.57,13161.49,14790.46,16060.32,17527.69,18002.05
Profit before tax,3095.14,3292.29,2010.05,2871.49,4417.82,6179.34,7095.89,6217.49,6022.77,6526.23
Tax,900.09,844.45,121.91,732.1,1145.58,2013.23,1985.76,1915.23,1679.67,1777.91
Net profit,2167.85,2463.75,2031.55,1943.9,3400.47,4305.66,5255.17,4452.1,4394.31,4788.52
Operating Profit,8142.66,9741.04,8592.47,11838.68,12016.37,13821.71,16554.59,16962.22,17047.22,19486.05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,430.68,443.56,462.09,462.09,530.36,530.36,925.37,1035.53,1035.53,1035.53
Reserves,37416.15,41574.09,42041.07,42605.48,46035.87,54465.76,75178.92,81354.05,90832.55,104019.18
Borrowings,616973.36,665482.77,620535.7,648498.87,672311.18,734456.22,1068980.85,1067173.15,1185330.55,1342592.16
Other Liabilities,21283.64,26465.13,28134.12,27649.38,28918.54,30217.16,54850.23,53104.49,62922.37,78223.97
Total,676103.83,733965.55,691172.98,719215.82,747795.95,819669.5,1199935.37,1202667.22,1340121,1525870.84
Net Block,2849.3,2978.41,6359.17,5929.68,5532.28,7367.62,9267.69,8438.49,11098.28,9864.7
Capital Work in Progress,,,,,,,,2.36,0.56,2.87
Investments,122112.86,124738.96,128894.06,140716.43,175137.23,195716.24,289726.72,281859,347587.1,397487.23
Other Assets,551141.67,606248.18,555919.75,572569.71,567126.44,616585.64,900940.96,912367.37,981435.06,1118516.04
Total,676103.83,733965.55,691172.98,719215.82,747795.95,819669.5,1199935.37,1202667.22,1340121,1525870.84
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,134355.67,151631.19,136999.05,154115,97422.75,97884.84,131005.07,128661.12,130228.6,102373.39
No. of Equity Shares,432148587,2217801906,2310465598,2317827098,2659183632,2659183632,4634234086,5185029679,5185029679,5185029679
New Bonus Shares,,,,,,,,,,
Face value,10,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,42232.62,17838.31,-10011.31,17864.83,-59691.7,-1449.07,18530.57,-887.05,6210.35,-21270.55
Cash from Investing Activity,-730.36,-556.34,-4005.1,-550.62,-413.63,-2537.37,-139.01,-471.39,-3645.07,-1096.26
Cash from Financing Activity,5151.34,-6.45,-615.73,-198.26,3413.08,4448.53,14728.67,-985.5,-997.81,-5488.4
Net Cash Flow,46653.6,17275.52,-14632.14,17115.95,-56692.25,462.09,33120.23,-2343.94,1567.47,-27855.21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
