COMPANY NAME,IDEAFORGE TECHNOLOGY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,669.1,,,,,,,,,
Market Capitalization,2869.87,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,14,34.72,159.44,186.01
Raw Material Cost,,,,,,,8.61,22.75,51.39,95.74
Change in Inventory,,,,,,,1.16,3.8,10.17,36.88
Power and Fuel,,,,,,,0.2,0.07,0.2,0.59
Other Mfr. Exp,,,,,,,1.01,1.87,5.34,7.14
Employee Cost,,,,,,,19.75,25.84,35.71,67.01
Selling and admin,,,,,,,4.95,5.03,10.47,21.85
Other Expenses,,,,,,,-6.98,-6.43,-8.05,-17.5
Other Income,,,,,,,2.32,1.62,2.01,10.4
Depreciation,,,,,,,2.78,3.58,7.28,11.86
Interest,,,,,,,0.6,1.93,19.1,5.81
Profit before tax,,,,,,,-13.44,-14.5,50.18,40.79
Tax,,,,,,,0.01,0.12,6.17,8.81
Net profit,,,,,,,-13.45,-14.63,44.01,31.99
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,99.27,40.28,7.8,38.66,97.07,23.73,90.9
Expenses,,,,44.21,33.27,23.97,37.46,68.57,31.59,71.32
Other Income,,,,1.07,2.82,2.3,4.21,3.54,14.91,6.61
Depreciation,,,,2.67,2.69,3.19,3.31,4.66,5.02,5.67
Interest,,,,0.37,0.74,1.15,2.58,2.31,0.69,0.37
Profit before tax,,,,53.09,6.4,-18.21,-0.48,25.07,1.34,20.15
Tax,,,,11.84,2.43,-10.4,4.94,6.2,0.44,5.35
Net profit,,,,41.25,3.97,-7.8,-5.42,18.86,0.89,14.8
Operating Profit,,,,55.06,7.01,-16.17,1.2,28.5,-7.86,19.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,0.09,0.09,0.09,21.34
Reserves,,,,,,,68.03,59.66,163.22,303.39
Borrowings,,,,,,,6.61,51.04,16.37,100.56
Other Liabilities,,,,,,,5.06,12.96,42.65,62.64
Total,,,,,,,79.79,123.75,222.33,487.93
Net Block,,,,,,,4.62,12.97,26.21,48.7
Capital Work in Progress,,,,,,,16.84,14.22,19.09,24.92
Investments,,,,,,,11.9,,10.65,125.08
Other Assets,,,,,,,46.43,96.56,166.38,289.23
Total,,,,,,,79.79,123.75,222.33,487.93
Receivables,,,,,,,10.12,23.75,20.31,57.82
Inventory,,,,,,,10.86,23.42,48.91,104.68
Cash & Bank,,,,,,,0.1,14.13,35.08,6.5
No. of Equity Shares,,,,,,,88930,88930,89400,21337564
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,-16.47,-30.81,66.52,-53.23
Cash from Investing Activity,,,,,,,4.76,-6.8,-30.76,-148.91
Cash from Financing Activity,,,,,,,1.18,42.79,-10.6,176.23
Net Cash Flow,,,,,,,-10.52,5.17,25.16,-25.91
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,0.01,0.01,0.01,2.13
