COMPANY NAME,EMUDHRA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,710.4,,,,,,,,,
Market Capitalization,5887.81,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,101.58,116.45,131.59,182.64,248.76,373.12
Raw Material Cost,,,,,20.37,25.86,17.96,31.13,28.76,35.44
Change in Inventory,,,,,-0.06,1.18,-0.75,1.43,-1.1,1.9
Power and Fuel,,,,,0.78,0.89,0.71,0.94,1.38,
Other Mfr. Exp,,,,,11.9,14.05,14.35,13.47,33.84,
Employee Cost,,,,,25.85,29.22,41.71,47.8,64.36,81.29
Selling and admin,,,,,9.89,14.74,15.94,22.97,30.39,
Other Expenses,,,,,0.52,0.93,0.24,0.77,1.62,148.73
Other Income,,,,,-1.8,0.35,0.86,1.1,5.3,6.92
Depreciation,,,,,8.5,8.6,8.77,13.07,15.85,20.81
Interest,,,,,0.26,0.67,0.84,4.56,3.39,3.01
Profit before tax,,,,,21.65,23.02,31.18,50.46,73.37,92.66
Tax,,,,,4.22,4.6,5.83,9.32,12.18,16.31
Net profit,,,,,17.44,16.65,17.46,41.4,61.68,75.06
Dividend Amount,,,,,,,,8.77,9.37,10.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,45.3,45.39,52.22,58.49,61.24,76.81,79.75,96.3,97.38,99.69
Expenses,27.18,26.98,31.65,36.75,40.01,53.04,55.98,68.04,72.76,66.8
Other Income,-0.45,0.04,0.6,1.38,1.14,2.17,0.98,0.4,2.13,3.41
Depreciation,3.61,2.95,3.94,3.97,3.99,3.94,4.71,5.23,5.28,5.59
Interest,1.24,1.78,0.96,0.44,0.38,1.6,0.26,0.39,1,1.35
Profit before tax,12.82,13.72,16.27,18.71,18,20.4,19.78,23.04,20.47,29.36
Tax,2.4,2.92,2.56,2.24,2.79,4.59,3.41,4.27,0.46,8.17
Net profit,10.42,10.79,13.89,16.64,15.32,15.83,15.58,18.37,20.13,21
Operating Profit,18.12,18.41,20.57,21.74,21.23,23.77,23.77,28.26,24.62,32.89
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,,35.09,35.09,35.09,35.09,37.49,40.42
Reserves,,,,,40.55,57.05,72.27,117.72,354.11,615.87
Borrowings,,,,,21.23,34.28,51.32,67.13,25.32,7.64
Other Liabilities,,,,,22.65,32.3,33.23,39.2,43.02,86.07
Total,,,,,119.52,158.72,191.91,259.14,459.94,750
Net Block,,,,,61.6,62.48,124.61,117.47,162.04,272.93
Capital Work in Progress,,,,,21.77,40.47,4.5,42.92,47.23,30.33
Investments,,,,,0.15,0.15,13.85,,20.95,4.02
Other Assets,,,,,36,55.62,48.95,98.75,229.72,442.72
Total,,,,,119.52,158.72,191.91,259.14,459.94,750
Receivables,,,,,21.34,23.4,14.91,44.22,67.22,103.29
Inventory,,,,,0.28,1.46,0.71,2.14,1.03,2.94
Cash & Bank,,,,,2.33,9.19,7.71,13.26,98.38,245.44
No. of Equity Shares,,,,,70179692,70179692,70179692,70179692,74973820,
New Bonus Shares,,,,,,,,,,
Face value,,,,,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,16.79,23.24,40.94,21.61,33.56,72.52
Cash from Investing Activity,,,,,-32.03,-28.69,-47.08,-37.05,-102.33,-89.45
Cash from Financing Activity,,,,,10.47,12.31,4.66,15.98,127.49,176.25
Net Cash Flow,,,,,-4.78,6.86,-1.47,0.54,58.73,159.33
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,214.85,756.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,7.02,7.02,7.02,7.02,7.81,8.28
