COMPANY NAME,LAXMI ORGANIC INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,231.85,,,,,,,,,
Market Capitalization,6398.06,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,1073.86,1046.59,1075.93,1375.52,1568.52,1534.12,1768.45,3084.27,2796.64
Raw Material Cost,,807.89,766.35,736.86,977.12,1138.02,1062.12,1174.51,2198.96,1832.59
Change in Inventory,,-10.51,-9.41,-5,8.73,42.38,-28.55,0.25,73.36,-22.64
Power and Fuel,,63.1,67.25,69.87,85.57,100.36,101.9,100.47,179.69,257.19
Other Mfr. Exp,,10.78,16.5,26.11,47.9,58.99,74.12,85.53,117.76,134.83
Employee Cost,,23.02,30.37,44.18,53.05,64.99,69.27,93.79,125.64,117.24
Selling and admin,,55.79,61.01,67.27,53.08,69.4,69.62,82.12,140.6,164.36
Other Expenses,,16.61,15.23,7.47,13.98,24.36,11.96,12.26,23.78,19.64
Other Income,,1.13,1.76,1.84,3.02,5.8,30.15,3.92,14.79,12.05
Depreciation,,30.45,29.1,27.97,31.29,44.06,48.89,46.52,48.18,72.41
Interest,,26.31,18.8,10.96,11.97,18.93,17.04,19.01,18.95,14.87
Profit before tax,,30.53,34.33,82.08,113.31,97.59,80.8,158.41,318.86,172.92
Tax,,9.34,7.69,10.39,37.62,25.2,10.56,31.34,61.44,48.3
Net profit,,21.13,26.57,71.57,75.7,72.39,70.1,127.03,257.33,124.57
Dividend Amount,,,,,,,7.88,13.18,18.46,13.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,608.1,859.88,879.94,756.61,652.2,654.64,733.19,729.22,652.27,694.3
Expenses,577.23,741.22,794.87,656.21,623.58,599.84,672.49,651.88,613.34,642.04
Other Income,6.68,2.02,1.82,2.12,2.86,3.24,3.84,3.95,8.21,5.34
Depreciation,11.27,13.39,13.17,13.59,16.99,18.79,23.05,20.96,27.55,27.53
Interest,1.08,6.93,4.67,2.42,4.37,5.71,-1.24,4.6,2.06,0.52
Profit before tax,25.2,100.36,69.05,86.51,10.12,33.54,42.73,55.73,17.53,29.55
Tax,10.64,18.26,-1,22.07,1.5,6.27,18.46,17.4,6.82,2.36
Net profit,14.57,82.08,69.99,64.43,8.6,27.23,24.32,38.33,10.71,27.19
Operating Profit,30.87,118.66,85.07,100.4,28.62,54.8,60.7,77.34,38.93,52.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,10.01,10.01,10.01,10.01,50.05,45.02,52.73,52.73,53.04
Reserves,,199.34,224.73,295.46,369.31,399.8,381.9,981.86,1237.12,1358.74
Borrowings,,248.68,221.03,103.79,215.06,175.33,158.85,149.45,139.12,405.72
Other Liabilities,,151.72,176.47,240.08,300.36,389.3,483.6,653.58,820.49,594.7
Total,,609.75,632.24,649.34,894.74,1014.48,1069.37,1837.62,2249.46,2412.2
Net Block,,226.18,214.58,202.41,293.33,345.68,337.65,325.06,378.6,714.6
Capital Work in Progress,,25.35,40.41,60.93,29.95,31.48,67.49,147.93,373.78,447.06
Investments,,,,,,,,3.25,5.25,22.77
Other Assets,,358.22,377.25,386,571.46,637.32,664.23,1361.38,1491.83,1227.77
Total,,609.75,632.24,649.34,894.74,1014.48,1069.37,1837.62,2249.46,2412.2
Receivables,,188.02,190.72,231.56,324.18,326.18,359.37,434.64,668.42,570.25
Inventory,,83.63,121.04,74.62,145.83,170.75,151.89,203.3,373.81,294.21
Cash & Bank,,16.53,13.94,23.41,5.24,46.74,36.33,539.39,182.25,130.85
No. of Equity Shares,,10005081,10005081,10009081,50045405,250227025,45016395,263662773,263662773,265176208
New Bonus Shares,,,,,,,,,160145296,160145296
Face value,,10,10,10,2,2,10,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,79.57,150.46,-6.75,187.65,195.53,106.17,64.99,199.06
Cash from Investing Activity,,,-21.49,-37.24,-85.03,-122.55,-55.91,-641.03,75.9,-384.11
Cash from Financing Activity,,,-56.67,-106.82,84.72,-62.7,-123.16,527.37,-123.89,232.46
Net Cash Flow,,,1.41,6.4,-7.05,2.41,16.47,-7.49,17,47.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,174.5,399.4,222.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,1,1,1,1,5,4.5,26.37,26.37,26.52
