COMPANY NAME,SYRMA SGS TECHNOLOGY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,463.6,,,,,,,,,
Market Capitalization,8229.41,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,862.06,885.79,1019.72,2048.39
Raw Material Cost,,,,,,,562.2,593.32,737.91,1575.71
Change in Inventory,,,,,,,8.06,-4.7,19.37,35.23
Power and Fuel,,,,,,,9.17,7.76,7.17,13.45
Other Mfr. Exp,,,,,,,51,52.17,92.53,136.11
Employee Cost,,,,,,,77.57,80.74,59.82,106.62
Selling and admin,,,,,,,30.81,38.05,41.27,50.7
Other Expenses,,,,,,,4.24,7.41,3.71,9.02
Other Income,,,,,,,12.7,17.69,12.24,43.64
Depreciation,,,,,,,19.08,22.75,19.43,31.2
Interest,,,,,,,15.39,9.67,8.59,25.72
Profit before tax,,,,,,,113.36,86.91,80.9,178.73
Tax,,,,,,,21.85,21.29,26.76,55.62
Net profit,,,,,,,91.43,68.59,55.54,119.32
Dividend Amount,,,,,,,,,,26.52
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,213.61,301.7,371.22,389.34,466.9,512.62,679.53,601.31,711.73,706.72
Expenses,193.38,264.53,345.96,355.77,420,466.47,622.04,564.38,662.73,667.93
Other Income,2.09,1.65,8.12,2.44,8.19,13.44,23.36,22.08,7.55,12.12
Depreciation,3.21,6.83,6.59,7.15,7.09,8.12,8.84,10.15,11.59,13.91
Interest,0.93,2.17,2.51,4.99,6.29,6.42,3.9,7.53,8,10.04
Profit before tax,18.18,29.82,24.28,23.87,41.71,45.05,68.11,41.33,36.96,26.96
Tax,6.71,9.65,7.35,6.79,12.76,10.84,25.25,13.01,6.44,6.68
Net profit,12.82,19.73,16.36,15.58,28.23,33.19,42.32,28.52,28.35,15.52
Operating Profit,20.23,37.17,25.26,33.57,46.9,46.15,57.49,36.93,49,38.79
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,4.57,4.62,137.62,176.78
Reserves,,,,,,,418.23,594.57,434.44,1363.5
Borrowings,,,,,,,120.45,102.94,218.29,374.73
Other Liabilities,,,,,,,242.85,257.71,363.75,626.14
Total,,,,,,,786.1,959.84,1154.1,2541.15
Net Block,,,,,,,295.69,291.76,377.93,532.4
Capital Work in Progress,,,,,,,1.2,0.02,40.8,25.32
Investments,,,,,,,30.08,131.58,41.01,84.04
Other Assets,,,,,,,459.13,536.48,694.36,1899.39
Total,,,,,,,786.1,959.84,1154.1,2541.15
Receivables,,,,,,,180.43,208.43,272.23,403.25
Inventory,,,,,,,141.92,178.88,291.3,587.44
Cash & Bank,,,,,,,78,72.86,36.91,54.43
No. of Equity Shares,,,,,,,4570000,4616000,137617853,176777842
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,155.8,37.11,14.52,-70.28
Cash from Investing Activity,,,,,,,-45.71,-112.69,-367.79,-913.36
Cash from Financing Activity,,,,,,,-59.33,71.56,358.72,996.72
Net Cash Flow,,,,,,,50.76,-4.01,5.45,13.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,262.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,0.07,0.07,13.76,17.68
