COMPANY NAME,JUBILANT INGREVIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,505.1,,,,,,,,,
Market Capitalization,8032.79,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,,684.13,4949.36,4772.69
Raw Material Cost,,,,,,,,379.46,2984.96,2709.31
Change in Inventory,,,,,,,,9.51,145.07,127.74
Power and Fuel,,,,,,,,51.71,468.23,709.11
Other Mfr. Exp,,,,,,,,56,234.01,270.24
Employee Cost,,,,,,,,49.02,328.32,344.55
Selling and admin,,,,,,,0.17,34.41,207.56,268.76
Other Expenses,,,,,,,,5.92,30.09,49.94
Other Income,,,,,,,,-10.34,22.01,31.95
Depreciation,,,,,,,,22.06,123.39,122.18
Interest,,,,,,,,7.33,30.94,21.58
Profit before tax,,,,,,,-0.17,77.39,708.94,436.71
Tax,,,,,,,,23.03,232.23,129.22
Net profit,,,,,,,-0.17,54.36,476.71,307.5
Dividend Amount,,,,,,,,5.58,79.5,79.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1222.57,1286.48,1295.75,1165.82,1303.58,1158.31,1144.98,1075.02,1019.94,966.4
Expenses,1027.27,1073.86,1153.39,1024.94,1150.71,1007.02,1042.93,958.45,902.28,870.83
Other Income,6.96,9.36,9.19,10.08,7.29,7,9.01,8.5,8.64,8.81
Depreciation,30.59,30.26,30.92,31.36,30.98,30,29.84,32.3,33.91,34.24
Interest,7.16,4.85,6.12,4.09,5.1,6.69,5.7,11.46,12.52,15.06
Profit before tax,164.51,186.87,114.51,115.51,124.08,121.6,75.52,81.31,79.87,55.08
Tax,53.72,57.8,45.92,36.13,39.8,30.07,23.21,23.72,22.38,16.52
Net profit,110.79,129.07,68.59,79.38,84.28,91.53,52.31,57.59,57.49,38.56
Operating Profit,195.3,212.62,142.36,140.88,152.87,151.29,102.05,116.57,117.66,95.57
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,0.05,15.93,15.9,15.9
Reserves,,,,,,,-0.17,1907.01,2417.23,2650.34
Borrowings,,,,,,,,555.68,237.85,406.75
Other Liabilities,,,,,,,0.17,887.51,1111.25,1176
Total,,,,,,,0.05,3366.13,3782.23,4248.99
Net Block,,,,,,,,1805.1,1798.28,1846.18
Capital Work in Progress,,,,,,,,65.08,174.22,524.93
Investments,,,,,,,,50.24,6.19,8.24
Other Assets,,,,,,,0.05,1445.71,1803.54,1869.64
Total,,,,,,,0.05,3366.13,3782.23,4248.99
Receivables,,,,,,,,471.03,580.91,510.89
Inventory,,,,,,,,609.1,911.16,1035.11
Cash & Bank,,,,,,,0.05,116.6,48.53,84.59
No. of Equity Shares,,,,,,,500000,159281139,159281139,159281139
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,,112.28,452.74,462.46
Cash from Investing Activity,,,,,,,,33.38,-70.72,-468.94
Cash from Financing Activity,,,,,,,0.05,-72.37,-417.75,41.6
Net Cash Flow,,,,,,,0.05,73.29,-35.73,35.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,259.7,449.85,359.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,0.05,15.93,15.93,15.93
