COMPANY NAME,IKIO LIGHTING LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,283.9,,,,,,,,,
Market Capitalization,2195.9,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,220.08,212.98,331.75,358.77
Raw Material Cost,,,,,,,139.24,121.38,209.63,225.36
Change in Inventory,,,,,,,0.02,0.97,17.42,-4.9
Power and Fuel,,,,,,,2.62,2.34,3.55,3.08
Other Mfr. Exp,,,,,,,2.47,2.41,4.37,2.8
Employee Cost,,,,,,,28.68,29.4,42.28,30.99
Selling and admin,,,,,,,8.35,6.99,10.94,10.98
Other Expenses,,,,,,,1.14,3.33,0.98,3.09
Other Income,,,,,,,1.58,0.93,2.14,3.17
Depreciation,,,,,,,4.07,4.69,5.08,5.79
Interest,,,,,,,4.93,4.46,5.01,9.13
Profit before tax,,,,,,,30.18,39.88,69.47,65.82
Tax,,,,,,,8.77,11.07,18.96,15.79
Net profit,,,,,,,21.41,28.81,50.52,50.04
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,49.26,79.59,115.02,118.04,108.36,117.92,116.89
Expenses,,,,40.32,64.71,85.86,91.98,85.61,91.19,90.59
Other Income,,,,0.4,1.25,0.81,0.71,0.92,6.17,3.93
Depreciation,,,,0.74,0.79,1.55,2.7,1.99,3.65,2.5
Interest,,,,1.18,0.87,3.79,6.34,3.01,3.18,2.92
Profit before tax,,,,7.42,14.47,24.63,17.73,18.67,26.07,24.81
Tax,,,,1.85,3.3,6.78,3.86,4.82,7.82,5.85
Net profit,,,,5.57,11.16,17.85,13.87,13.85,18.24,18.96
Operating Profit,,,,8.94,14.88,29.16,26.06,22.75,26.73,26.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,0.05,0.05,25,65
Reserves,,,,,,,35.85,62.81,83.87,77.16
Borrowings,,,,,,,56.79,79.37,116.11,122.76
Other Liabilities,,,,,,,52.14,32.22,39.89,46.04
Total,,,,,,,144.83,174.45,264.87,310.96
Net Block,,,,,,,54.09,58.55,60.47,64.99
Capital Work in Progress,,,,,,,0.52,4.08,9.37,26.9
Investments,,,,,,,,,,
Other Assets,,,,,,,90.22,111.82,195.03,219.07
Total,,,,,,,144.83,174.45,264.87,310.96
Receivables,,,,,,,29.82,32.76,55.89,72.68
Inventory,,,,,,,37.18,57.85,109.77,120.63
Cash & Bank,,,,,,,8.23,3.63,2.73,3.01
No. of Equity Shares,,,,,,,50000,50000,25000000,65000000
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,23.19,-8.64,-15.48,56.81
Cash from Investing Activity,,,,,,,2.65,-6.11,-9.21,-47.41
Cash from Financing Activity,,,,,,,-20.53,10.28,23.59,-7.75
Net Cash Flow,,,,,,,5.32,-4.48,-1.1,1.66
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,,2.5,6.5
