COMPANY NAME,AARTI PHARMALABS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,492.55,,,,,,,,,
Market Capitalization,4486.9,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,,,1199.94,1945.23
Raw Material Cost,,,,,,,,,686.72,1141.17
Change in Inventory,,,,,,,,,49.05,125.36
Power and Fuel,,,,,,,,,44.14,75.1
Other Mfr. Exp,,,,,,,,,197.88,314.56
Employee Cost,,,,,,,,,85.2,129.69
Selling and admin,,,,,,,,,27.35,63.98
Other Expenses,,,,,,,,,0.75,3.65
Other Income,,,,,,,,,2.51,1.93
Depreciation,,,,,,,,,42.12,62.54
Interest,,,,,,,,,11.96,21.05
Profit before tax,,,,,,,,,155.38,260.78
Tax,,,,,,,,,33.13,67.28
Net profit,,,,,,,,,122.25,193.49
Dividend Amount,,,,,,,,,,18.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,460.3,457.37,531.17,471.62,485.06,458.36,439.8,448.69
Expenses,,,384.68,371.32,441.4,385.37,405.07,373.49,351.81,353.02
Other Income,,,2.52,0.02,1.27,0.28,0.74,0.48,0.98,1.39
Depreciation,,,14.07,13.77,16.57,16.25,15.95,17.2,18.14,18.77
Interest,,,4.59,4.24,5.63,5.25,5.94,4.17,3.89,4.48
Profit before tax,,,59.48,68.06,68.84,65.03,58.84,63.98,66.94,73.81
Tax,,,10.61,16.22,17.75,17.35,15.97,16.89,15.14,21.05
Net profit,,,48.87,51.84,51.09,47.68,42.87,47.09,51.8,52.76
Operating Profit,,,75.62,86.05,89.77,86.25,79.99,84.87,87.99,95.67
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,,0.25,0.25,45.31
Reserves,,,,,,,,-0.02,1386.23,1513.17
Borrowings,,,,,,,,0.02,341.4,215.31
Other Liabilities,,,,,,,,,312.02,457.14
Total,,,,,,,,0.25,2039.9,2230.93
Net Block,,,,,,,,,782.09,925.84
Capital Work in Progress,,,,,,,,,187.37,101.87
Investments,,,,,,,,,32.23,73.71
Other Assets,,,,,,,,0.25,1038.21,1129.51
Total,,,,,,,,0.25,2039.9,2230.93
Receivables,,,,,,,,,376.66,440.05
Inventory,,,,,,,,,475.45,602.04
Cash & Bank,,,,,,,,0.25,83.27,25
No. of Equity Shares,,,,,,,,250000,250000,90626008
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,,10,10,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,,,-43.7,263
Cash from Investing Activity,,,,,,,,,-138.74,-157.8
Cash from Financing Activity,,,,,,,,,260.38,-163.47
Net Cash Flow,,,,,,,,,77.94,-58.27
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,275.85
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,,,9.06
