COMPANY NAME,ACC LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,2416.15,,,,,,,,,
Market Capitalization,45354.56,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,11645.52,11706.36,10989.72,13285.13,14801.62,15657.55,13785.98,16151.67,22210.18,19958.92
Raw Material Cost,1981.9,1848.07,1589.78,1980.88,2457.43,2618.08,2370.1,3040.76,5646.91,5777.26
Change in Inventory,11.28,-0.05,-16.99,14.9,124.98,-100.81,-142.41,174.25,193.19,-34.37
Power and Fuel,2444.47,2396.67,2159.91,2716.94,3000.83,3134.01,2574.65,3364.77,5742.72,4003
Other Mfr. Exp,1009.09,3646.71,854.94,855.14,907.83,910.9,728.95,836.17,1032.75,
Employee Cost,748.05,772.16,756.72,821.36,883.58,866.11,841.21,836.16,1036.2,737.2
Selling and admin,3222.45,722.14,3377.96,4269.84,4878.26,4893,4038.08,4705.84,6208.85,
Other Expenses,721.67,737.58,775.39,740.51,750.55,721.86,735.47,544.14,811.01,6345.43
Other Income,240.75,-90.22,115.13,136.85,152.98,332.45,49.66,163.6,196.27,735.33
Depreciation,567.62,662.59,609.18,643.62,603.22,606.44,638.84,600.68,841.32,883.11
Interest,82.76,64.64,78.67,98.53,87.77,86.27,57.08,54.62,77.28,154.58
Profit before tax,1119.54,765.53,885.31,1310.06,1510.11,2052.52,1708.85,2506.38,1202.6,2759.3
Tax,-31.13,189.98,226.89,385.55,-10.51,674.98,278.59,643.28,317.39,422.77
Net profit,1161.82,587.6,658.29,924.41,1520.47,1377.41,1430.18,1862.99,885.07,2336.37
Dividend Amount,639.03,319.52,319.58,488.77,263.19,263.19,263.19,1090.34,173.89,140.99
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,4225.76,4426.54,4468.42,3987.34,4536.97,4790.91,5201.11,4434.73,4914.36,5408.72
Expenses,3669.51,3791.88,4042.19,3970.96,4157.83,4322.39,4430.23,3885.45,4009.64,4571.94
Other Income,1,62.11,58.21,56.42,-35.29,54.82,79.83,211.78,93.73,349.99
Depreciation,160.44,153.91,164.67,173.45,172.54,176.75,200.05,212.8,235.23,235.03
Interest,12.88,10.58,14.88,17.72,18.86,15.24,25.11,28.86,33.91,66.7
Profit before tax,383.93,532.28,304.89,-118.37,152.45,331.35,625.55,519.4,729.31,885.04
Tax,103.08,135.95,77.54,-31.05,39.26,95.69,159.41,131.52,191.64,-59.8
Net profit,280.81,396.31,227.32,-87.35,113.16,235.63,466.1,387.85,537.63,944.79
Operating Profit,556.25,634.66,426.23,16.38,379.14,468.52,770.88,549.28,904.72,836.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,187.95,187.95,187.99,187.99,187.99,187.99,187.99,187.99,187.99,187.99
Reserves,8029.73,8233.19,8625.44,9167.86,10343.91,11355.78,12511.14,14120.84,13950.48,16141.68
Borrowings,,,,,,,102.48,125.58,153.04,354.85
Other Liabilities,4463.95,4378.82,4580.51,5489.89,5524.05,5592.21,5398.62,6604.43,6252.26,6701.12
Total,12681.63,12799.96,13393.94,14845.74,16055.95,17135.98,18200.23,21038.84,20543.77,23385.64
Net Block,5665.99,5330.82,7567.77,7280.06,7088.17,7026.73,6694.44,6749.75,7511.89,10025.27
Capital Work in Progress,1955.9,2396.11,260.98,269.25,397.78,445.67,548.11,1216.39,1684,985.81
Investments,1385.16,1314.15,117.18,94.86,104.1,116.18,129.27,149.55,163.31,810.55
Other Assets,3674.58,3758.88,5448.01,7201.57,8465.9,9547.4,10828.41,12923.15,11184.57,11564.01
Total,12681.63,12799.96,13393.94,14845.74,16055.95,17135.98,18200.23,21038.84,20543.77,23385.64
Receivables,410.6,484.43,533.18,665.97,867.37,626.65,451.41,462.26,869.24,827.5
Inventory,1256.38,1189.43,1224.63,1404.78,1679.39,1141.93,901.27,1273.91,1624.2,1868.55
Cash & Bank,309.78,94.03,1977.16,2728.55,3096.98,4647.73,6005.7,7522.4,414.71,1862.87
No. of Equity Shares,188129416,188129416,188171323,188171323,188171323,188171323,188171323,188171323,188171323,
New Bonus Shares,,91952100,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,1352.18,1456.62,1389.54,1554.45,1117.54,2254.71,2219.19,2835.49,-1235.08,2995.11
Cash from Investing Activity,-1456.72,-904.05,-533.33,-378.64,-363.53,-321.23,-535,-987.74,-4637.17,-1245.09
Cash from Financing Activity,-837.09,-716.28,-429.88,-425.78,-380.46,-374.16,-327.36,-330.52,-1237.71,-443.15
Net Cash Flow,-941.63,-163.71,426.33,750.03,373.55,1559.32,1356.83,1517.23,-7109.96,1306.87
