COMPANY NAME,FDC LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,445.35,,,,,,,,,
Market Capitalization,7207.66,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,845.05,888.44,993.57,1012.79,1073.54,1088.93,1341.44,1330.84,1524.96,1781.29
Raw Material Cost,328.43,347.21,363.25,340.29,354.77,367.29,420.53,440.17,595.64,670.93
Change in Inventory,3.28,7.37,5.52,2.6,2.69,22.15,-5.19,26.1,65.43,15.14
Power and Fuel,18.45,20.18,23.14,21.55,22,24.61,27.4,27.08,28.92,34.12
Other Mfr. Exp,29.67,40.29,48.85,62.87,75.14,81.06,83.26,84.85,112.4,137.71
Employee Cost,122.12,137.66,175.84,191.14,216.73,225.63,277.53,296.34,343.38,391.05
Selling and admin,94.35,106.66,108.25,117.65,137.45,138.31,160.38,156.59,234.05,288.97
Other Expenses,48.29,45.24,51.03,38.43,37.58,45.23,63.44,17.86,22.31,22.68
Other Income,39.36,45.7,38.54,44.4,44.61,42.36,57.12,94.92,76.09,49.86
Depreciation,24.91,38.81,33.73,34.62,35.14,33.24,37.46,37.81,37.3,38.94
Interest,3.1,1.81,1.4,1.41,1.4,1.44,3.42,3.43,3.09,4.09
Profit before tax,218.37,203.65,232.14,251.83,240.63,236.63,319.95,387.73,289.39,257.8
Tax,83.05,55.5,63.47,63.3,67.12,66.84,80.07,86.52,73.23,63.97
Net profit,135.32,148.15,168.67,188.53,173.51,169.79,239.88,301.35,216.4,194.04
Dividend Amount,40.18,40.18,40.18,40.18,,,13.68,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,397.62,341.78,341.05,494.66,444.99,409.3,434.8,536.38,486.37,458.17
Expenses,326.41,293.97,321.84,416.65,377.67,360.06,385.84,414.38,409.95,374.38
Other Income,30.38,12.84,9.67,19.12,12.73,18.41,7.05,29.42,27.24,24.7
Depreciation,9.49,9.04,9.21,9.36,9.98,9.86,9.74,9.63,9.87,9.97
Interest,0.73,0.85,0.7,0.72,1.01,1.2,1.16,1.05,1.06,0.97
Profit before tax,91.37,50.76,18.97,87.05,69.06,56.59,45.11,140.74,92.73,97.55
Tax,19.04,15.14,8.58,16.39,17.26,15.88,14.45,30.93,22.94,18.37
Net profit,72.4,35.69,10.44,70.74,51.84,40.75,30.71,109.89,69.82,79.23
Operating Profit,71.21,47.81,19.21,78.01,67.32,49.24,48.96,122,76.42,83.79
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,17.86,17.86,17.86,17.86,17.52,17.52,17.1,16.88,16.88,16.59
Reserves,827.44,918.52,1064.61,1252.34,1258.59,1427.72,1530.33,1717.25,1939.91,1965.46
Borrowings,2.63,2.07,0.9,0.79,0.69,0.6,15.08,14.66,32.2,28.32
Other Liabilities,210.97,209.96,182.45,196.94,228.42,194.05,250.42,207.45,281.21,332.57
Total,1058.9,1148.41,1265.82,1467.93,1505.22,1639.89,1812.93,1956.24,2270.2,2342.94
Net Block,284.4,393.04,675.16,678.05,673.64,682.19,673.5,689.15,705.06,698.92
Capital Work in Progress,18.1,28.8,19.92,6.32,12.84,12.38,23.85,19.21,104.82,198.44
Investments,416.83,489.21,324.84,491.01,471.23,585.03,664.56,790.2,885.5,805.79
Other Assets,339.57,237.36,245.9,292.55,347.51,360.29,451.02,457.68,574.82,639.79
Total,1058.9,1148.41,1265.82,1467.93,1505.22,1639.89,1812.93,1956.24,2270.2,2342.94
Receivables,59.36,61.04,61.94,76.06,81.66,87.53,123.74,110.54,82.17,122.65
Inventory,103,123.22,130.91,137.16,160.49,173.79,209.96,214.92,304.7,328.54
Cash & Bank,23.43,14.95,18.02,28.47,29.31,21.26,32.32,31.58,38.66,24.94
No. of Equity Shares,180978084,180978084,180978084,180978084,177548000,177548000,170973084,168810084,168810084,165910084
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,149.72,127.64,174.3,154.49,149.84,112.43,250.38,207.08,161.65,154.91
Cash from Investing Activity,-55.38,-88.57,-73.24,-143.99,20.62,-120.58,-98.42,-77.18,-144.52,11.2
Cash from Financing Activity,-75.25,-47.76,-96.98,0.35,-169.43,-0.07,-142,-129.35,-9.84,-179.95
Net Cash Flow,19.09,-8.69,4.08,10.85,1.02,-8.21,9.96,0.55,7.29,-13.84
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,126.35,152.2,185.2,203.9,248.95,166.15,194.95,285.9,257.1,256.3
,,,,,,,,,,
DERIVED:,,,,,,,,,,
