COMPANY NAME,UNITED BREWERIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,1910.7,,,,,,,,,
Market Capitalization,50526.43,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,4688.11,4833.14,4729.19,5619.02,6475.43,6509.24,4243.09,5838.44,7499.92,8122.68
Raw Material Cost,738.01,771.23,843.84,1067.43,1229.8,1288.31,748.54,1108.92,1677.89,4685.8
Change in Inventory,15.67,11,20.32,-22.14,74.42,9.89,9.5,-23.01,51.87,33.45
Power and Fuel,147.61,162.89,140.76,153.02,189.75,178.92,117.74,147.79,227.76,
Other Mfr. Exp,1300.78,1556.05,1523.78,1745.06,2054.38,2078.29,1411.83,1975.14,2896.88,
Employee Cost,300.97,338.6,356.28,399.22,448.43,504.12,485.49,523.12,595.51,647.35
Selling and admin,1466.84,1044.33,1051.87,1106.51,1314.79,1363.7,938.02,1181.79,1353.27,
Other Expenses,127.44,273.71,190.79,223.05,174.34,229.95,169.91,182.05,184.25,2126.79
Other Income,37.24,82.02,51.64,12.53,32.01,9.3,43.03,29.79,16.31,73.74
Depreciation,207.54,243.63,287.05,259.65,259.86,285.1,232.01,217.19,210.59,211.9
Interest,72.83,81.07,58.65,47.65,31.2,31.12,22.67,14.78,4.64,6.89
Profit before tax,379,454.65,348.13,607.82,879.31,568.92,169.41,494.44,417.31,551.14
Tax,118.78,155.98,118.21,213.19,316,140.63,55.58,128.36,112.63,140.28
Net profit,259.84,298.3,229.57,394.2,562.94,427.73,113.22,365.46,303.98,410.03
Dividend Amount,26.44,30.41,30.41,52.88,66.1,66.1,13.22,277.62,198.3,264.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1582.79,1709.17,2438.71,1682.31,1613.02,1765.88,2274.79,1890.05,1824.46,2133.38
Expenses,1408.62,1447.7,2172.57,1462.89,1535.98,1712.25,2051.7,1705.76,1678.46,1990.57
Other Income,6.13,13.05,10.43,14.16,-20.07,11.79,10.42,12.09,24.77,26.46
Depreciation,53.03,53.24,57.6,52.04,50.23,50.72,51.38,50.92,51.84,57.76
Interest,3.69,2.5,0.83,0.99,1.6,1.22,1.66,1.43,2.05,1.75
Profit before tax,123.58,218.78,218.14,180.55,5.14,13.48,180.47,144.03,116.88,109.76
Tax,32.56,55,55.64,46.43,6.95,3.61,44.13,36.86,31.08,28.21
Net profit,90.79,163.4,162.09,134.05,-1.97,9.81,136.21,107.28,85.34,81.2
Operating Profit,174.17,261.47,266.14,219.42,77.04,53.63,223.09,184.29,146,142.81
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,26.44,26.44,26.44,26.44,26.44,26.44,26.44,26.44,26.44,26.44
Reserves,1824.17,2120.68,2307.77,2663.82,3157.33,3493.82,3555.84,3908.68,3938.45,4151.9
Borrowings,836.36,806.21,594.02,312.06,211.49,252.17,261.97,9.74,15.62,102.03
Other Liabilities,1197.6,1412.56,1550.47,1721.1,1989.15,1778.4,2007.91,2004.45,2299.88,2773
Total,3884.57,4365.89,4478.7,4723.42,5384.41,5550.83,5852.16,5949.31,6280.39,7053.37
Net Block,1835.82,1822.25,1750.36,1729.81,1777.14,1926.08,1949.46,1912.91,1851.03,1775.58
Capital Work in Progress,90.16,60.84,137.18,72.27,189.92,199.12,128.79,109.89,77.13,172.68
Investments,0.06,0.06,0.09,0.16,0.27,0.27,6.06,8.35,8.05,7.97
Other Assets,1958.53,2482.74,2591.07,2921.18,3417.08,3425.36,3767.85,3918.16,4344.18,5097.14
Total,3884.57,4365.89,4478.7,4723.42,5384.41,5550.83,5852.16,5949.31,6280.39,7053.37
Receivables,964.34,1118.86,1295.4,1498.57,1510.99,1350.38,1394.99,1254.86,1407.32,2313.84
Inventory,559.1,688.05,750.84,808,1032.46,1093.93,1136.68,935.81,1427.81,1368.74
Cash & Bank,13.12,14.03,24.29,24.24,46.17,78.59,469.28,909.68,395.29,214.2
No. of Equity Shares,264405149,264405149,264405149,264405149,264405149,264405149,264405149,264405149,264405149,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,840.81,539.21,544.05,563.3,643.04,507.79,620.28,899.62,-119.57,77.33
Cash from Investing Activity,-329.48,-245.24,-233.63,-197.04,-430.38,-402.44,-151.55,-160.07,-120.83,-147.81
Cash from Financing Activity,-571.71,-296.83,-301.16,-363.53,-195.92,-95.19,-88.39,-286.65,-292.34,-130.23
Net Cash Flow,-60.38,-2.86,9.26,2.73,16.74,10.16,380.34,452.9,-532.74,-200.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
