COMPANY NAME,SUNDRAM FASTENERS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,1142.65,,,,,,,,,
Market Capitalization,24011.36,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2736.2,3156.14,3254.86,3302.9,3854.91,4557.9,3723.23,3644.29,4902.06,5662.75
Raw Material Cost,1200.68,1353.52,1312.13,1260.64,1520,1954.03,1468.53,1471.2,2172.08,2554.87
Change in Inventory,5.61,65.33,-9.49,19.5,27.77,97.19,-57.03,44.17,110.89,65.29
Power and Fuel,145.29,163.38,164.77,149.57,160.94,183.25,166.65,163.58,207.22,241.1
Other Mfr. Exp,528.79,657.13,660.41,718.43,842.74,971.6,766.62,778.95,1055.95,1225.41
Employee Cost,388.58,441.26,457.94,377,413,459.32,434.91,400.03,486.16,518.9
Selling and admin,154.89,208.21,239.3,115.49,130.83,115.31,103.02,112.79,177.51,178.69
Other Expenses,34.56,22.53,167.61,110.87,133.73,169.98,132.8,97.79,112.64,155.6
Other Income,49.26,17.08,84.92,11.74,22.27,25.62,27.32,27.4,39.34,44.85
Depreciation,102.14,115.75,116.4,104.49,112.33,128.77,169.92,179.69,190.79,197.97
Interest,67.6,94.47,72.77,39.13,37.45,46.01,57.9,26.13,28.72,39.69
Profit before tax,168.54,182.3,138.96,458.52,553.93,652.44,393.17,485.7,621.22,660.66
Tax,47.78,50.36,13.88,120.34,165.76,193.47,66.64,122.99,159.39,160.31
Net profit,120.77,131.24,126.04,337.51,386.57,457.49,324.89,359.18,456.72,494.69
Dividend Amount,35.72,36.77,45.17,94.54,96.65,107.15,87.19,98.75,135.51,181.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1242.26,1207.53,1339.84,1410.12,1401.65,1403.03,1447.95,1410.76,1421.82,1367.25
Expenses,1023.84,1016.55,1148.3,1184.59,1196.96,1206.75,1220.98,1184.38,1191.09,1165.99
Other Income,1.76,10.4,10.05,11.58,9.72,20.04,3.51,4.51,7.3,31.13
Depreciation,47.27,47.39,49.52,48.63,49.33,49.86,50.15,51.86,54.46,53.66
Interest,5.83,6.93,8.21,8.91,8.09,9.96,12.73,9.64,7.39,6.88
Profit before tax,167.08,147.06,143.86,179.57,156.99,156.5,167.6,169.39,176.18,171.85
Tax,43.17,37.06,36.43,41.54,40.21,38.43,40.13,40.65,43.13,42.41
Net profit,122.48,108.07,106.53,136.02,115.29,117.02,126.36,127.6,131.87,128.66
Operating Profit,218.42,190.98,191.54,225.53,204.69,196.28,226.97,226.38,230.73,201.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01
Reserves,780.38,857.76,932.58,1215.12,1510.09,1848.96,1974.91,2326.09,2600.27,2994.7
Borrowings,732.88,873.94,601.98,700.51,700.02,995.13,917.07,710.2,771.68,730.29
Other Liabilities,629.33,588.41,646.3,590.83,755.93,837.53,635.59,871.91,890.77,878.27
Total,2163.6,2341.12,2201.87,2527.47,2987.05,3702.63,3548.58,3929.21,4283.73,4624.27
Net Block,1007.12,1018.82,917.2,1031.1,1156.22,1620.67,1909.52,1920.98,1947.87,2028.92
Capital Work in Progress,40.41,21.75,53.98,69.19,110.88,95.58,94.78,119.31,116.7,64.94
Investments,10.14,6.74,37.6,32.46,70.11,68.24,37.85,64.18,76.93,102.3
Other Assets,1105.93,1293.81,1193.09,1394.72,1649.84,1918.14,1506.43,1824.74,2142.23,2428.11
Total,2163.6,2341.12,2201.87,2527.47,2987.05,3702.63,3548.58,3929.21,4283.73,4624.27
Receivables,483.92,491.86,541.29,654.14,793.61,886.89,651.03,885.63,1005.04,1144.57
Inventory,440.95,526.45,424.22,449.03,523.18,647.82,569.62,674.35,820.08,923.42
Cash & Bank,25.49,24.84,26.79,39.55,35.16,24.83,46.49,39.3,71.31,86.98
No. of Equity Shares,210128370,210128370,210128370,210128370,210128370,210128370,210128370,210128370,210128370,210128370
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,427.03,105.99,595.15,243.56,456.43,457.45,717.72,454.04,401.18,468.96
Cash from Investing Activity,-179.59,-127.25,-178.85,-237.04,-295.83,-594.77,-320.14,-199.74,-203.29,-233.64
Cash from Financing Activity,-243.77,20.28,-415.4,5.57,-167.09,126.74,-376.75,-270.24,-186.38,-214.26
Net Cash Flow,3.67,-0.98,0.9,12.09,-6.49,-10.58,20.83,-15.94,11.51,21.06
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
