COMPANY NAME,POWER FINANCE CORPORATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,418.05,,,,,,,,,
Market Capitalization,137960.76,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,21407.03,24988.27,27860.61,27581.27,48623.83,54105.65,62189.44,71656.1,76261.66,77568.3
Raw Material Cost,,,,,7.95,,,,,
Change in Inventory,,,,,-0.04,,,,,
Power and Fuel,1.62,1.8,1.94,1.85,,,,,,
Other Mfr. Exp,2.87,3.38,4.02,5.96,167.98,1447.47,4457.84,261.82,1490.48,3104.02
Employee Cost,96.56,101.47,106.63,133.24,374.4,363.02,400.08,371.03,407.72,439.71
Selling and admin,102.19,164.97,202.13,64.77,112.5,304.46,108.75,89.45,114.78,160.96
Other Expenses,544.35,831.67,1726.81,5332.44,5919.97,-419.41,2365.72,6379.75,6202.29,346.2
Other Income,22.79,24.64,24.99,29.83,41.96,94.21,104.7,45.66,79.38,47.24
Depreciation,5.23,7.92,20.08,40.82,14.68,15.49,24.43,25.46,34.77,51.8
Interest,13052.58,15455.83,16656.89,16768.33,30288.83,34626.8,40844.65,44683.52,44708.78,47016.78
Profit before tax,7624.42,8445.87,9167.1,5263.69,11779.44,17862.03,14092.67,19890.73,23382.22,26496.07
Tax,2162.58,2441.47,2983.1,3027.59,2982.75,5221.76,4615.42,4174.53,4614.01,5317.48
Net profit,5461.84,6004.4,6184,2236.1,6688.69,9920.86,7122.13,11747.83,14014.79,15889.33
Dividend Amount,1188.04,1201.24,1834.86,1320.04,2059.26,,2508.08,2640.08,3168.1,3498.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,19267.75,19175.75,18853.18,18532.25,19336.05,19639.14,20060.86,20992.49,22391,23571.83
Expenses,1747.2,1887.41,2492.61,2183.83,1315.62,900.18,-339.08,-81.18,-550.89,791.03
Other Income,14.85,37.94,20.37,11.79,8.34,23.52,13.25,8.95,12.69,21.57
Depreciation,9.48,9.26,9.5,11.53,11.91,14.12,14.24,12.06,12.68,13.81
Interest,11234.73,11235.48,10925.52,10837.41,11412.88,12129.36,12637.13,13669.55,14313.11,14827.24
Profit before tax,6291.19,6081.54,5445.92,5511.27,6603.98,6619,7761.82,7401.01,8628.79,7961.32
Tax,1267.77,1187.63,1150.02,931.74,1374.65,1377.9,1633.19,1418.87,2000.62,1666.88
Net profit,3748.22,3580.26,3205.88,3417.11,3935.26,3860.25,4676.71,4576.32,4833.08,4727.4
Operating Profit,17520.55,17288.34,16360.57,16348.42,18020.43,18738.96,20399.94,21073.67,22941.89,22780.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,1320.04,1320.04,1320.04,2640.08,2640.08,2640.08,2640.08,2640.08,2640.08,2640.08
Reserves,26202.23,31091.31,34708.27,34204.83,37194.45,44481.17,46759.72,58127.4,69036.16,81518.41
Borrowings,159215.3,187795.1,200660.14,202992.74,441151.36,539487.69,596561.1,659682.16,660476.28,751157.52
Other Liabilities,7582.14,8705.2,10531.3,19699.83,41545.59,42259.78,48559.7,55257.44,58847.75,60795.85
Total,194319.71,228911.65,247219.75,259537.48,522531.48,628868.72,694520.6,775707.08,791000.27,896111.86
Net Block,71.6,101.5,198.48,296.38,161.44,195.64,238.1,341.32,719.18,782.3
Capital Work in Progress,0.66,2.42,46.63,105.44,128.69,198.53,288.39,336.44,53.36,21.86
Investments,27.43,527.84,2229.97,3145.17,5492.51,4603.73,4403.62,3498.83,3774.01,5973.4
Other Assets,194220.02,228279.89,244744.67,255990.49,516748.84,623870.82,689590.49,771530.49,786453.72,889334.3
Total,194319.71,228911.65,247219.75,259537.48,522531.48,628868.72,694520.6,775707.08,791000.27,896111.86
Receivables,7.04,28.59,111.21,279.56,145.77,172.13,135.66,167.61,125.63,171.17
Inventory,,,,,,,,,,
Cash & Bank,459.49,5367.36,301.55,3792.83,2849.31,16377.04,4188.17,8202.56,6684.5,4101.02
No. of Equity Shares,1320040700,1320040704,1320040704,2640081408,2640081408,2640081408,2640081408,2640081408,2640081408,2640081408
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-22473.34,-21455.27,-13297.7,1795.46,-57147.56,-80251.82,-42147.66,-59142.61,4904.48,-74698.93
Cash from Investing Activity,9.2,-490.6,-1973.3,-667.09,1409.13,-13463.02,-73.2,1741.06,-547.39,-1693.58
Cash from Financing Activity,17670.92,26916.19,10383.46,1950.32,52018.48,93616.44,43399.43,60424.08,-8370.59,75518.27
