COMPANY NAME,EXIDE INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,448.8,,,,,,,,,
Market Capitalization,38131.43,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,9471.44,9476.52,11178.63,12808.08,14720.88,14471.01,10359.43,12789.22,15078.16,16769.73
Raw Material Cost,4940.62,4063.64,5081.58,6268.87,7129.21,6621.64,6687.27,8946.41,10663.29,11697.92
Change in Inventory,289.02,-240.11,323.69,172.29,56.7,219.14,-0.13,269.63,310,300.33
Power and Fuel,265.91,251.66,293.57,332.01,383.58,382.56,321.92,424.17,549.15,
Other Mfr. Exp,1994.86,1761.3,2601.95,2670.62,3059.42,3163.66,233.8,264.07,241.02,
Employee Cost,761.12,838.49,868.01,962.34,1034.25,1118.93,816.58,906.36,1002.62,1166.63
Selling and admin,893.4,1174.08,1243.39,1290.77,1543.66,1547.27,875.34,1055.24,1276,
Other Expenses,-39.38,-40.03,40.14,47.33,65.69,398.62,58.49,60.16,62.69,2388.42
Other Income,94.24,59.06,102.22,20.96,147.88,40.18,131.95,3724.58,125.02,90.5
Depreciation,155.32,175.3,225.93,267.21,343.54,417.58,393.51,439.52,502.12,560.42
Interest,9.32,78.82,152.83,114.31,117.1,108.19,36.52,64.36,78.7,116
Profit before tax,873.53,992.21,1097.14,1047.87,1249.01,971.88,1067.82,4623.14,1137.59,1231.17
Tax,257.2,292.09,293.12,353.77,401.66,209.4,264.72,266.3,314.82,348.35
Net profit,614.55,697.4,801.05,690.96,845.55,776.75,809.9,4366.93,822.7,876.68
Dividend Amount,187,204,204,204,204,348.5,170,170,170,170
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,3311.71,3522.53,4021.77,3841.13,3538.5,3676.76,4245.48,4371.52,3979.83,4172.9
Expenses,2932.45,3190.91,3634.47,3409.65,3140.42,3305.26,3807.32,3872.44,3548.04,3724.93
Other Income,-3.7,3831.58,29.61,35.64,23.66,36.27,22.56,37.59,25.2,5.24
Depreciation,110.7,116.1,121.68,122.83,126.83,130.77,132.43,141.46,144.7,141.83
Interest,14.8,21.24,15.6,18.09,19.22,20.93,23.92,29.67,31.65,30.76
Profit before tax,250.06,4025.86,279.63,326.2,275.69,256.07,304.37,365.54,280.64,280.62
Tax,72.1,73.03,77.19,85.08,77.55,75,80.26,95.22,77.95,94.92
Net profit,178.32,3959.24,202.77,241.2,198.61,180.12,222.31,269.4,200.23,184.74
Operating Profit,379.26,331.62,387.3,431.48,398.08,371.5,438.16,499.08,431.79,447.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,85,85,85,85,85,85,85,85,85,85
Reserves,3756.04,4304.82,4947.13,5344.18,6021.86,6382.32,7187.27,10498.74,11047.28,12801.34
Borrowings,57.66,114.87,186.64,59.71,89.03,196.5,508.71,519.51,588.39,1122.87
Other Liabilities,9988.65,10865.74,12546.49,14326.34,16235.05,17687.67,20624.99,2799.16,3039.28,4140.81
Total,13887.35,15370.43,17765.26,19815.23,22430.94,24351.49,28405.97,13902.41,14759.95,18150.02
Net Block,1781.23,1975.18,2258.8,2680.97,3079.8,3248.5,3598.75,3361.23,3684.82,4040.28
Capital Work in Progress,114.57,192.46,148.73,241.29,300.06,404.87,430.95,340.94,525.05,1164.54
Investments,8816.88,10445.78,11884.13,12490.5,14327.99,15815.5,18806.65,5558.44,5105.91,5940.01
Other Assets,3174.67,2757.01,3473.6,4402.47,4723.09,4882.62,5569.62,4641.8,5444.17,7005.19
Total,13887.35,15370.43,17765.26,19815.23,22430.94,24351.49,28405.97,13902.41,14759.95,18150.02
Receivables,690.15,718.73,738.57,1093.57,1245.03,1060.83,1076.2,1097.85,1229.55,1382.27
Inventory,1646.36,1245.88,1702.01,2004.85,2065.31,2414.56,2636.86,2855.29,3436.4,3868.53
Cash & Bank,207.47,293.99,323.53,317.46,349.89,341.6,353.57,198.99,140.31,330.51
No. of Equity Shares,850000000,850000000,850000000,850000000,850000000,850000000,850000000,850000000,850000000,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,180.22,1582.75,937.26,914.35,1686.77,1619.19,2263.13,61.25,768.24,1531.41
Cash from Investing Activity,-60.54,-1329.18,-727.03,-534.63,-1437.77,-1096.85,-2082.19,66.33,-798.82,-1458.27
Cash from Financing Activity,-199.03,-167.05,-181.9,-386.1,-216.66,-531.81,-169.98,-172.32,-30.1,109.83
Net Cash Flow,-79.35,86.52,28.33,-6.38,32.34,-9.47,10.96,-44.74,-60.68,182.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
