COMPANY NAME,STEEL STRIPS WHEELS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,211.5,,,,,,,,,
Market Capitalization,3322.13,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1056.14,1148.16,1176.57,1329.96,1518.19,2041.19,1563.34,1749.42,3559.95,4040.54
Raw Material Cost,656.03,754.31,697.25,799.43,937.68,1353.71,973.35,1082.37,2221.65,2688.31
Change in Inventory,-12.47,6.94,-4.1,1.87,33.97,49.85,7.09,-16.71,34.51,24.67
Power and Fuel,28.17,32.34,40.33,43.05,50.52,59.57,52.44,53.19,82.4,103.01
Other Mfr. Exp,96.4,82.57,97.47,106.64,118.22,118.75,107.03,130.88,305.56,306.26
Employee Cost,77.22,90.64,108.97,125.05,142.58,195.38,158.97,158.37,235.89,283.9
Selling and admin,90.32,87.8,83.04,84.56,88.71,105.2,95.65,99.14,280.79,214.93
Other Expenses,-3.93,-0.16,0.11,8.27,14.16,12.46,11.79,5,15.39,25.95
Other Income,19.07,20.57,18.85,19.56,13.3,17.38,22.11,16.31,13.03,12.35
Depreciation,52.58,38.15,42.06,47.9,52.57,61.92,71.94,72.31,76.87,80.44
Interest,40.79,41.35,43.04,50.56,63.94,92.54,88.67,83.93,85.42,83.54
Profit before tax,25.16,48.67,79.05,85.93,97.08,108.89,32.7,63.83,303.52,291.22
Tax,0.83,9.27,17.87,30.25,21.98,26.53,9.25,14.58,98.06,97.42
Net profit,24.33,39.4,61.18,55.68,75.09,82.36,23.45,49.25,205.46,193.8
Dividend Amount,2.28,3.05,4.58,4.66,6.22,6.24,,3.12,11.71,15.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,958.04,860.52,1063.26,1016.09,1081.09,938.44,1004.92,1044.4,1133.72,1110.3
Expenses,820.99,753.89,951.91,906.79,963.93,830.56,896.46,931.4,1009.3,993.62
Other Income,3.58,1.69,5.48,0.03,3.64,2.04,6.7,4.21,2.96,1.69
Depreciation,20.13,20.24,18.94,20.05,20.23,20.21,19.95,22.43,22.48,22.5
Interest,23.74,22.48,19.47,18.24,20.6,22.02,22.69,23.57,26.01,25.08
Profit before tax,96.76,65.6,78.42,71.04,79.97,67.69,72.52,71.21,78.89,70.79
Tax,33.95,22.9,29.55,22.91,25.37,23.92,25.22,23.61,26.47,11.26
Net profit,62.8,42.69,48.89,48.13,54.61,43.77,47.3,47.6,52.42,59.54
Operating Profit,137.05,106.63,111.35,109.3,117.16,107.88,108.46,113,124.42,116.68
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,15.21,15.26,15.26,15.53,15.56,15.59,15.59,15.61,15.61,15.65
Reserves,349.04,383.43,443.81,496.49,568.72,666.1,682.36,733.69,936.23,1119.07
Borrowings,657.82,630.97,673.58,870.5,1102.99,987.55,1001.09,937.24,777.9,638.25
Other Liabilities,161.82,170.16,196.16,349.22,488.67,484.13,480.07,690.2,971.85,1008.4
Total,1183.89,1199.82,1328.81,1731.74,2175.94,2153.37,2179.11,2376.74,2701.59,2781.37
Net Block,571.44,541.72,704.51,744.82,1029.37,1329.19,1306.53,1259.18,1359.62,1348.57
Capital Work in Progress,120.42,154.19,51.68,351.72,323.18,52.8,85.47,109.34,96.94,163.36
Investments,0.17,0.3,0.17,0.21,0.19,0.19,0.19,0.19,0.19,4.15
Other Assets,491.86,503.61,572.45,634.99,823.2,771.19,786.92,1008.03,1244.84,1265.29
Total,1183.89,1199.82,1328.81,1731.74,2175.94,2153.37,2179.11,2376.74,2701.59,2781.37
Receivables,215.11,163.81,169.19,204.55,312.87,193.97,209.8,257.08,392.34,348.75
Inventory,136.36,138.04,148.24,177.04,265.89,338.09,329.31,496.48,646.99,733.95
Cash & Bank,45.5,100.09,121.8,120.73,130.59,121,91.7,53.2,57.91,44
No. of Equity Shares,15208170,15259170,15259170,15533520,15556300,15589720,15589720,15609470,31218940,156513200
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,5,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,114.52,151.68,94.66,121.11,233.14,183.75,103.89,169.14,406.11,348.12
Cash from Investing Activity,-61.65,-34.05,-90.78,-375.06,-299.25,-80.46,-69.26,-37.05,-153.51,-127.94
Cash from Financing Activity,-71.03,-63.04,17.76,252.88,75.97,-112.87,-63.93,-170.59,-247.88,-234.09
Net Cash Flow,-18.16,54.59,21.64,-1.07,9.86,-9.59,-29.3,-38.51,4.71,-13.91
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,14.45,28.02,33.98,82.56,106.5,85.74,35.46,69.82,162.05,147.95
