COMPANY NAME,DATAMATICS GLOBAL SERVICES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,554.3,,,,,,,,,
Market Capitalization,3280.44,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,828,816.18,852.42,910.27,1133.49,1203.32,1149.05,1201.05,1459.19,1549.89
Raw Material Cost,9.86,5.89,9.31,9.61,11.15,16.99,10.51,0.83,3.64,2.17
Change in Inventory,,,,,,,,,,
Power and Fuel,10.85,11.06,10.39,10.37,12.35,13.35,8.09,8.21,10.95,
Other Mfr. Exp,15.35,14.44,27.85,39.92,44.31,75.01,60.49,85.79,133.67,
Employee Cost,454.26,505.69,507.92,566.98,689.25,775.18,770.95,783.83,897.15,989.09
Selling and admin,205.32,155.33,188.6,194.53,217.78,173.83,124.98,117.73,160.08,
Other Expenses,46.21,44.88,24.46,5.89,23.52,23.52,30.35,10.18,9.74,314.65
Other Income,6.19,13.59,15.25,26.72,11.62,5.45,9.85,35,38.71,45.07
Depreciation,20.99,26.93,24.2,20.33,26.04,37,39.48,33.3,34.95,36.26
Interest,7.3,7.42,5.68,4.97,5.96,6,4.69,4.13,4.31,1.97
Profit before tax,64.05,58.13,69.26,84.39,114.75,87.89,109.36,192.05,243.41,250.82
Tax,15.55,13.75,5.3,12.89,30.28,26.19,25.35,36.65,58.07,53.69
Net profit,43.21,44.83,65.18,64.09,74.51,63.74,79.75,157.48,188.95,198.19
Dividend Amount,5.9,4.42,4.42,4.42,7.37,,,22.11,29.48,29.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,300.77,313.3,326.87,343.4,372.64,416.28,391.09,376.79,369.3,412.71
Expenses,250.26,261.83,279.06,291.75,313.68,332.14,323.31,317.87,316.66,348.06
Other Income,5.67,10.65,13.18,9.64,10.6,5.29,9.11,9.43,10.61,15.88
Depreciation,8.03,9.17,8.52,8.8,8.78,8.85,9.17,9.34,8.95,8.8
Interest,0.55,1.45,0.91,0.97,0.54,0.49,0.52,0.46,0.54,0.45
Profit before tax,47.6,51.5,51.56,51.52,60.24,80.09,67.2,58.55,53.76,71.28
Tax,11.51,6.52,8.91,12.28,15.25,21.63,12.55,9.61,12.35,19.18
Net profit,36.97,45.62,43.4,39.96,45.87,59.72,55.08,49.26,41.3,52.52
Operating Profit,50.51,51.47,47.81,51.65,58.96,84.14,67.78,58.92,52.64,64.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,29.48,29.48,29.48,29.48,29.48,29.48,29.48,29.48,29.48,29.5
Reserves,352.15,467.68,472.83,516.91,610.48,656.42,686.46,827.53,1018.45,1199.5
Borrowings,92.22,90.11,54.66,65.8,35.88,118.32,20.07,63.02,21.26,17.38
Other Liabilities,202.33,150.42,122.74,150.32,191.38,205.81,172.06,189.71,212.15,216.88
Total,676.18,737.69,679.71,762.51,867.22,1010.03,908.07,1109.74,1281.34,1463.26
Net Block,238.16,255.55,263.36,310.21,352.03,346.6,213.44,187.52,218.09,218.87
Capital Work in Progress,10.97,1.8,1.24,4.99,1.3,1.1,,3.43,,
Investments,83.94,130.32,71.82,32.83,56.84,36.31,156.53,273.45,354.49,546.23
Other Assets,343.11,350.02,343.29,414.48,457.05,626.02,538.1,645.34,708.76,698.16
Total,676.18,737.69,679.71,762.51,867.22,1010.03,908.07,1109.74,1281.34,1463.26
Receivables,164.76,184.95,157.98,204.79,246.14,272.45,183.5,244.52,268.94,286.34
Inventory,,,,,,,,,,
Cash & Bank,71.64,62.79,68.23,84.35,73.42,198.72,112.53,207.34,153.88,131.25
No. of Equity Shares,58949337,58949337,58949337,58949337,58949337,58949337,58949337,58949337,58949337,
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,57.81,67,86.21,52.76,89.61,83.48,111.61,182.38,130.71,
Cash from Investing Activity,-15.38,-51.96,-23.31,-34.81,-64.78,-9.68,-98.51,-134.2,-98.96,
Cash from Financing Activity,-23.96,-18.44,-56.33,-3.84,-37,51.4,-108.82,20.7,-66.44,
Net Cash Flow,18.48,-3.4,6.57,14.12,-12.17,125.2,-95.72,68.88,-34.69,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,67.05,53.8,126.7,102.15,103,41.05,115.35,299.6,284.2,532.8
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.9
