COMPANY NAME,FSN E-COMMERCE VENTURES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,168.4,,,,,,,,,
Market Capitalization,48126.64,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,574.36,1111.39,1767.53,2440.9,3773.94,5143.8
Raw Material Cost,,,,,436.16,785.48,1196.09,1533.85,2492.14,3007.42
Change in Inventory,,,,,59.93,125.21,181.88,41.27,362.13,141.74
Power and Fuel,,,,,0.6,2.09,4.62,4.4,6.64,14.99
Other Mfr. Exp,,,,,27.29,48.09,70.75,137.03,233.28,297.65
Employee Cost,,,,,54.93,117.3,195.63,233.37,328.1,493.26
Selling and admin,,,,,139.22,253.12,387.59,389.05,886.02,1175.18
Other Expenses,,,,,2.7,9.66,11.73,26.23,25.84,39.98
Other Income,,,,,3.72,4.99,10.32,11.76,26.97,30.21
Depreciation,,,,,7.4,30.88,59.51,71.59,96.41,173.26
Interest,,,,,7.16,26.69,46.24,32.29,47.3,75.62
Profit before tax,,,,,-37.45,-31.72,-12.43,66.12,47.31,38.39
Tax,,,,,-9.27,-7.18,3.91,4.48,6.02,13.57
Net profit,,,,,-28.18,-24.52,-16.61,61.55,41.08,19.26
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,885.26,1098.36,973.32,1148.42,1230.83,1462.83,1301.72,1421.82,1507.02,1788.8
Expenses,856.44,1029.38,934.8,1102.37,1169.69,1384.67,1231.03,1348.35,1426.39,1690.02
Other Income,5.2,5.91,11.14,8.36,6.48,5.64,9.74,6.72,8.57,7.58
Depreciation,21.31,25.12,30.48,31.01,38.5,50.7,53.04,51.92,54.64,58.03
Interest,11.35,12.79,13.36,15.06,20.36,20.43,18.76,18.55,21.31,21.84
Profit before tax,1.36,36.98,5.82,8.34,8.76,12.67,8.63,9.72,13.25,26.49
Tax,0.2,7.97,-1.77,2.66,3.1,3.47,4.36,3.26,3.97,8.26
Net profit,1.17,27.93,8.56,4.55,4.11,8.19,2.41,3.3,5.85,16.19
Operating Profit,28.82,68.98,38.52,46.05,61.14,78.16,70.69,73.47,80.63,98.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,13.56,14.24,14.55,15.06,47.41,285.25
Reserves,,,,,108.03,216.32,307.4,474.51,1292.49,1092.77
Borrowings,,,,,83.05,310.47,412.56,332.67,592.62,798.5
Other Liabilities,,,,,148.5,234.62,389.97,479.7,713.52,773.46
Total,,,,,353.14,775.65,1124.48,1301.94,2646.04,2949.98
Net Block,,,,,34.12,139.58,227.03,231.13,483.25,698.82
Capital Work in Progress,,,,,0.44,0.32,2.02,2.36,24.5,30.88
Investments,,,,,10.42,138.27,3.8,1.32,,38.12
Other Assets,,,,,308.16,497.48,891.63,1067.13,2138.29,2182.16
Total,,,,,353.14,775.65,1124.48,1301.94,2646.04,2949.98
Receivables,,,,,70.24,57.92,98.43,76.64,94.53,163.53
Inventory,,,,,117.72,244.6,445.34,498.09,875.62,1005.14
Cash & Bank,,,,,37.69,11.94,175.62,247.67,267.04,148.74
No. of Equity Shares,,,,,13555681,14242509,14549077,15057237,474104876,2852450000
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,-79.38,-99.73,6.15,133.18,-353.96,-140.24
Cash from Investing Activity,,,,,30.57,-161.94,14.91,-129.74,-602.79,139.58
Cash from Financing Activity,,,,,81.94,235.69,68.72,-37.72,927.01,4.87
Net Cash Flow,,,,,33.13,-25.98,89.78,-34.28,-29.74,4.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,281.59,124.25
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,8.13,8.55,8.73,9.03,284.46,285.24
