COMPANY NAME,ENGINEERS INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,213.55,,,,,,,,,
Market Capitalization,11978.59,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1846.47,1741.25,1540.56,1479.73,1824.31,2475.8,3236.54,3144.17,2912.78,3330.14
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,10,12.14,12.08,12.43,13.39,13.22,13.28,12.32,13.32,15.72
Other Mfr. Exp,654.6,614.39,616.2,266.04,355.31,1093.77,1590.13,1705.95,1428.34,1885.46
Employee Cost,606.24,601.03,599.15,752.7,771.27,781.28,865.79,879.57,923.82,953.86
Selling and admin,140.62,163.83,150.18,126.95,125.3,118.24,136.11,112.3,129.8,161.88
Other Expenses,-56.21,115.69,-46.99,5.29,130.17,92.09,175.87,82.06,71.44,3.32
Other Income,229.08,264.94,247.32,222.43,176.18,222.28,255.38,33.77,129.78,164.32
Depreciation,14.79,20.18,25.13,22.7,24,22.49,24,23.65,23.63,25.7
Interest,1.4,1.97,1.97,5.2,1.96,2.76,3.72,5.77,2.75,3.01
Profit before tax,704.11,476.96,430.16,510.85,579.09,574.23,683.02,356.32,449.46,445.51
Tax,221.38,164.26,148.74,180.64,195.75,201.28,249.16,94.87,106.58,101.27
Net profit,482.73,312.71,278.32,330,383.31,368.45,423.82,248.91,139.52,346.27
Dividend Amount,219.01,168.47,134.78,202.16,252.77,252.77,325.44,112.41,168.61,168.61
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,656.78,692.11,817.8,814.8,793.06,842.18,880.1,818.27,789.81,867.64
Expenses,595.2,625.56,708.29,767.96,748.23,792.43,713.16,747.26,691.29,817.57
Other Income,24.9,38.9,42.99,27.94,65.15,26.4,44.86,93.72,43.8,30.5
Depreciation,5.37,7.95,5.35,5.22,6.68,6.7,7.09,7.54,8.28,8.46
Interest,0.24,0.24,0.2,0.17,0.46,0.44,0.43,1.15,0.42,0.67
Profit before tax,80.87,97.26,146.95,69.39,102.84,69.01,204.28,156.04,133.62,71.44
Tax,24.41,25.78,24.66,17.9,17.57,18.42,47.4,39.67,32.19,18.7
Net profit,17.04,40.67,79.13,64.81,75.16,16.12,190.18,138.93,127.46,63.35
Operating Profit,61.58,66.55,109.51,46.84,44.83,49.75,166.94,71.01,98.52,50.07
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,168.47,168.47,168.47,336.94,315.96,315.96,315.96,281.02,281.02,281.02
Reserves,2353.27,2463.2,2653.46,2507.92,2025.27,2028.54,2090.06,1469.69,1489.02,1680.5
Borrowings,0.16,0.5,,,,,4.92,4.02,3.72,18.88
Other Liabilities,1294.89,1355.96,1342.47,1551.08,2172.71,2416.03,2685.48,2686.74,2403.67,2407.6
Total,3816.79,3988.13,4164.4,4395.94,4513.94,4760.53,5096.42,4441.47,4177.43,4388
Net Block,120.92,272.25,242.33,272.13,257.3,247.87,273.87,263.05,262.69,277.03
Capital Work in Progress,131.76,19.11,24.39,55.72,51.85,52.01,3.1,1.36,6.54,25.92
Investments,731.68,137.81,75.25,532.83,242.2,314.8,460.8,1324.04,1087.68,1178.58
Other Assets,2832.43,3558.96,3822.43,3535.26,3962.59,4145.85,4358.65,2853.02,2820.52,2906.47
Total,3816.79,3988.13,4164.4,4395.94,4513.94,4760.53,5096.42,4441.47,4177.43,4388
Receivables,353.75,438.58,376.44,398.61,561.91,426.87,680.2,532.5,385.98,367.65
Inventory,1.02,0.84,1.06,1.09,1.13,6.94,6.71,1.92,2.32,1.15
Cash & Bank,1812.47,2418.98,2661.33,2357.81,2537.14,2715.54,2777.5,1321.59,1382.81,1096.35
No. of Equity Shares,336939200,336939200,336939200,673875800,631914020,631914020,631914020,562044973,562044973,562044973
New Bonus Shares,,,,336936600,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,85.19,64.6,88.07,236.41,598.79,549,375.61,171.43,48.33,-112.73
Cash from Investing Activity,167.3,174.06,70.21,197.05,164.66,-3.81,-229.42,775.6,61.26,322.08
Cash from Financing Activity,-256.23,-239.55,-162.21,-283.88,-891.98,-361.86,-334.1,-903.72,-148.82,-175.68
Net Cash Flow,-3.74,-0.9,-3.93,149.57,-128.53,183.33,-187.91,43.31,-39.23,33.67
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,112.83,96.58,85.05,143.95,158.45,117.3,60.05,77,64.05,74.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
