COMPANY NAME,DCM SHRIRAM LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,991.3,,,,,,,,,
Market Capitalization,15461.65,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,5639.18,5780.46,5788.46,6900.45,7771.14,7767.13,8308.16,9627.43,11546.98,10922.48
Raw Material Cost,3402.66,3617.56,3283.52,3659.45,3999.24,4037.46,4154.57,4812.7,5674.12,6121.6
Change in Inventory,-26.89,208.24,240.65,-34.99,308.01,222.27,-371.04,376.89,,316.12
Power and Fuel,675.19,676.9,777.96,906.68,1047.26,1056.45,900.48,1536.74,2093.98,1713.04
Other Mfr. Exp,263.97,262.95,252.92,219.92,343.77,375.35,363.37,438.46,512.71,
Employee Cost,447.3,488.01,533.01,599.41,664.34,736.31,733.36,784.04,891.47,984.3
Selling and admin,272.23,280.6,225.87,235.33,628.11,638.26,733.26,690.52,766.02,
Other Expenses,152.21,157.73,184.74,209.74,27.74,-46.88,-100.13,-54.54,2.26,1428.98
Other Income,51.58,40.69,46.77,56.11,87.64,87.66,92.07,91.9,119.68,98.54
Depreciation,110.2,97.95,113.73,140.66,157.15,219.02,233.11,237.95,260.16,302.93
Interest,111.75,85.41,71.43,83.04,118.94,163.84,122,85.37,52.81,87.55
Profit before tax,228.36,362.28,632.7,867.34,1180.24,897.25,889.17,1564.98,1413.13,698.74
Tax,17.56,61.85,80.37,198.68,277.63,177.83,216.91,498.85,502.29,251.64
Net profit,210.8,301.75,551.68,669.56,905.5,716.71,673.28,1067.35,910.84,447.1
Dividend Amount,35.9,52.22,94.66,133.82,153.62,128.54,145.78,230.42,219.45,41.02
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2790.78,2873.27,2851.41,2739.72,3235.82,2720.03,2780.14,2707.96,3035.1,2399.28
Expenses,2202.04,2238.7,2415.41,2469.76,2681.58,2373.81,2614.12,2593.88,2589.79,2134.01
Other Income,25.17,28.37,28.07,32.41,33.41,25.79,17.36,22.05,35.11,24.02
Depreciation,60.6,60.82,60.69,62.96,65.63,70.88,72.01,73.97,76.64,80.31
Interest,17.3,17.45,16.73,11.42,12.76,11.9,25.37,14.71,15.01,32.46
Profit before tax,536.01,584.67,386.65,227.99,509.26,289.23,86,47.45,388.77,176.52
Tax,186.44,183.48,132.69,99.87,167.17,102.56,29.42,15.21,148.29,58.72
Net profit,349.79,401.19,253.96,128.12,342.09,186.67,56.58,32.24,240.48,117.8
Operating Profit,588.74,634.57,436,269.96,554.24,346.22,166.02,114.08,445.31,265.27
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,32.64,32.64,32.64,32.64,31.35,31.35,31.35,31.35,31.35,31.35
Reserves,1825.9,2058.27,2495.09,3006.86,3494.33,4018.39,4616.79,5470.45,6162.4,6490.75
Borrowings,759.83,1063.96,1073.85,755.57,1610.05,2150.23,1520.73,1577.27,1707.17,2151.55
Other Liabilities,1798.29,1852.18,1972.3,1856.62,2000.67,1935.43,1621,2290.21,2819.07,2875.44
Total,4416.66,5007.05,5573.88,5651.69,7136.4,8135.4,7789.87,9369.28,10719.99,11549.09
Net Block,1443.29,1428.27,2021.78,2210.53,2689.66,3499,3359.51,3408.49,4105.14,4240.3
Capital Work in Progress,61.88,357.19,64.53,116.92,332.31,59.12,108.99,494.32,1630.1,2596.8
Investments,5.83,35.26,30.9,29.81,30.76,28.78,30.25,3.01,12.18,53.72
Other Assets,2905.66,3186.33,3456.67,3294.43,4083.67,4548.5,4291.12,5463.46,4972.57,4658.27
Total,4416.66,5007.05,5573.88,5651.69,7136.4,8135.4,7789.87,9369.28,10719.99,11549.09
Receivables,1070.94,1286.87,1004.46,903.6,1039.17,1078.72,514.02,906.75,868.91,645.87
Inventory,1132.15,1320,1615.67,1651.54,1925.12,2177.37,1804.02,2305.94,2376.47,2677.05
Cash & Bank,95.38,39.82,211.52,148.59,415.91,560.45,1333.74,1606.87,973.99,672.44
No. of Equity Shares,163216137,163216137,163216137,170416137,163942296,163942296,163942296,163942296,163942296,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,166.63,100.22,772.48,827.11,774.88,496.29,1886.81,1224.36,1296.33,793.81
Cash from Investing Activity,227.92,-325.99,-411.46,-321.12,-803.42,-518.16,-642.22,-887.86,-1542.64,-1070.09
Cash from Financing Activity,-594.38,166.28,-184.96,-571.4,276.85,182.9,-917.52,-274.94,-235.24,169.35
Net Cash Flow,-199.83,-59.49,176.06,-65.41,248.31,161.03,327.07,61.56,-481.55,-106.93
,,,,,,,,,,
,,,,,,,,,,
