COMPANY NAME,PIRAMAL ENTERPRISES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,815.8,,,,,,,,,
Market Capitalization,18332.16,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,5122.61,6341.51,8503.65,10631.03,11882.59,13068.29,12809.35,7725.5,8981.37,10020.27
Raw Material Cost,1331.42,1370.61,1390.66,1523.84,1506.88,1850.64,2076.89,,,
Change in Inventory,17.02,64.67,-10.44,5.49,-3.57,173.82,155.3,,,
Power and Fuel,92.15,98.73,101.03,106.48,111.68,124.33,140.81,5.33,12.06,
Other Mfr. Exp,219.48,222.22,269.99,293.03,333.8,343.77,399.19,239.86,887.19,
Employee Cost,1299.08,1685.72,1796.63,1991.36,1511.15,1611.72,1654.98,515.86,934.22,1350.03
Selling and admin,1177.18,1102.97,1141.68,1168.05,973.31,975,987.27,418.41,785.7,
Other Expenses,130.31,335.74,286.92,393.89,823.2,2068.98,234.17,804.56,4814.71,5001
Other Income,2945.81,578.58,216.64,259.53,198.09,1554.82,753.84,962.85,8560.24,-1774.77
Depreciation,289.87,255.45,381.7,477.33,400.52,520.3,560.88,74.28,122.88,828.96
Interest,510.6,959.07,2030.98,2978.3,4100.26,5320.62,4208.53,4225.09,3994.32,4343.91
Profit before tax,3035.35,954.25,1310.26,1963.77,2316.31,1981.57,3455.77,2404.96,5990.53,-3278.4
Tax,344.96,49.51,228.12,-2876.42,852.22,1960.43,2042.91,406.19,-3978.05,-1594.87
Net profit,2849.95,904.74,1252.33,5121.49,1467.06,24.03,1332.34,1923.11,9968.58,-1683.53
Dividend Amount,345.1,301.96,362.36,450.62,516.46,315.77,744.32,787.54,739.82,224.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,3816.16,4162.94,2160.28,1893.71,2811.24,2131.71,2877.97,2193.36,2475.65,2473.29
Expenses,1646.21,2986.65,578.61,3782.88,1817.69,1318.34,1165.32,1075.46,1270.37,2850.71
Other Income,434.11,426.04,7787.38,686.91,109.6,24.42,41.88,18.19,-3396.44,1572.42
Depreciation,172.86,190.46,24.53,27.41,30.34,40.6,37.2,38.27,41.38,712.1
Interest,1294.22,1237.44,1043.64,1000.47,959.33,990.88,1035.4,1038.9,1102.56,1167.05
Profit before tax,1136.98,174.43,8300.88,-2230.14,113.48,-193.69,681.93,58.92,-3335.1,-684.15
Tax,249.02,23.9,145.41,-693.75,-3431.89,2.18,173.15,10.73,-957.51,-821.24
Net profit,855.08,109.46,8155.47,-1536.39,3545.37,-195.87,508.78,48.19,-2377.59,137.09
Operating Profit,2169.95,1176.29,1581.67,-1889.17,993.55,813.37,1712.65,1117.9,1205.28,-377.42
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,34.51,34.51,34.51,36.05,36.89,45.11,45.11,47.73,47.73,44.93
Reserves,11701.42,12913.84,14848.06,26526.34,27187.38,30526.48,33972.85,35441.4,31011.35,26512.12
Borrowings,7306.1,16278.79,30450.98,44160.8,56036.71,42167.55,39557.06,55539.4,49582.81,53611.08
Other Liabilities,1891.12,1722.31,2875.06,2048.02,2333,2161.22,3321.16,8652.18,3110.27,2436.87
Total,20933.15,30949.45,48208.61,72771.21,85593.98,74900.36,76896.18,99680.71,83752.16,82605
Net Block,7065.23,7525.28,9972.7,10725.53,11196.97,6415.47,7860.36,9133.46,3262.77,3408.54
Capital Work in Progress,277.14,355.02,879.63,647.18,493.72,517.11,635.66,1188.03,6.25,
Investments,7767.89,16316.7,25180.61,28842.15,25747.12,19442.79,22029.26,24856.53,22331.79,12513
Other Assets,5822.89,6752.45,12175.67,32556.35,48156.17,48524.99,46370.9,64502.69,58151.35,66683.46
Total,20933.15,30949.45,48208.61,72771.21,85593.98,74900.36,76896.18,99680.71,83752.16,82605
Receivables,831.73,970.81,1107.74,1355.45,1403.33,1324.39,1544.73,1621.22,19.4,12.88
Inventory,674.94,723.77,723.07,774.02,831.33,1061.17,1299.23,1533,,
Cash & Bank,460.08,365.94,1540.9,2467.01,918.57,4771.12,7024.72,7187.18,4649.08,4446.8
No. of Equity Shares,172563100,172563100,172563100,180273674,184446972,225538356,225538356,238688273,238688273,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-2206.85,-6956.19,-10056.65,-15966.59,-11611.16,7516.34,3664.54,8442.99,1359.34,
Cash from Investing Activity,6193.31,-594.49,-2376.17,-1747.23,-820.04,7490.56,-2766.05,-966.73,-589.87,
Cash from Financing Activity,-3864.63,7543.9,13570.46,18650.25,10751.82,-13018.56,2071.58,-6773.85,-3324.53,
