COMPANY NAME,BALMER LAWRIE & COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,278.8,,,,,,,,,
Market Capitalization,4766.76,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3119.95,3253.7,1591.18,1702.47,1720.41,1771.81,1531.61,1525.62,2050.87,2311.56
Raw Material Cost,2413.76,2495.6,571,1080.9,1064.62,1108.6,928.31,986.41,1439.58,1637.4
Change in Inventory,18.15,-2.73,0.78,0.38,-11.99,-3.44,5.07,-0.34,4.69,13.77
Power and Fuel,51.74,48.08,25.55,27.12,27.49,29.7,29.1,28.41,34.95,38.82
Other Mfr. Exp,57.3,58.29,448.38,38.3,39.41,38.22,38.68,39.99,52.27,51.04
Employee Cost,224.42,238.48,199.19,199.53,198.2,212.7,215.01,218.38,227.59,251.22
Selling and admin,101.49,99.1,80.82,80.54,85.92,85.64,73.34,73.64,83.26,103.21
Other Expenses,77.77,88.86,61.54,65.63,73.9,60.28,62.77,37.94,48.72,41.2
Other Income,69.8,64.49,63.01,55.62,50.55,50.77,50.57,49.22,36.98,36.61
Depreciation,35.27,46.21,24.02,25.87,26.9,30.31,51.73,55.02,56.55,56.79
Interest,24.06,22.7,4.55,4.54,4.23,7.12,14.87,11.92,13.59,17.94
Profit before tax,222.09,218.14,239.92,236.04,238.3,246.57,173.44,122.79,136.03,164.32
Tax,66.4,66.01,75.9,81.23,73.49,85.47,55.27,40.19,47.34,57.45
Net profit,155.69,152.13,164.02,154.81,165.22,199.18,161.23,120.33,137.58,171.85
Dividend Amount,42.75,51.3,57,79.8,114,125.4,128.25,102.6,111.15,128.25
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,488.79,505.08,575.36,648,551.43,514.01,608.05,592.29,585.61,584.63
Expenses,456.86,469.02,511.09,586.68,512.8,463.99,555.6,527.56,510.71,511.08
Other Income,7.07,4.9,15.49,8.28,7.71,3.48,17.17,10.18,12.61,10.54
Depreciation,13.59,14.18,14.07,14.08,13.89,14.45,14.38,14.86,14.45,14.4
Interest,2.76,3.86,3.19,4.67,3.67,5.1,4.51,6.27,4.52,5.45
Profit before tax,22.65,22.92,62.5,50.85,28.78,33.95,50.73,53.78,68.54,64.24
Tax,7.52,5.33,26.63,11.19,10.69,9.77,25.81,12.09,21.03,15.22
Net profit,26.96,27.17,47.17,56.13,35.13,36,44.6,57.31,63.86,66.62
Operating Profit,31.93,36.06,64.27,61.32,38.63,50.02,52.45,64.73,74.9,73.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,28.5,28.5,28.5,114,114,114,171,171,171,171
Reserves,952.82,1014.79,1210.24,1247.36,1341.72,1405.53,1382.83,1371.01,1416.01,1509.72
Borrowings,174.82,197.41,,,14.9,80.76,120.3,125.17,121.98,121.07
Other Liabilities,723.83,670.47,559.45,668.56,720.3,681.86,659.7,712.01,736.34,859.94
Total,1879.97,1911.17,1798.19,2029.92,2190.92,2282.15,2333.83,2379.19,2445.33,2661.73
Net Block,464.02,577.13,393.42,396.74,410.16,568.22,770.25,767.24,766.86,760.31
Capital Work in Progress,77.19,11.62,10.99,62.66,138.07,117.18,23.69,32.11,10.81,27.59
Investments,0.15,0.14,248.21,271.34,292.6,325.07,374.7,386.18,436.48,517.74
Other Assets,1338.61,1322.28,1145.57,1299.18,1350.09,1271.68,1165.19,1193.66,1231.18,1356.09
Total,1879.97,1911.17,1798.19,2029.92,2190.92,2282.15,2333.83,2379.19,2445.33,2661.73
Receivables,525.75,469.03,230.33,281.61,269.78,276.29,273.51,287.75,314.61,360.75
Inventory,315.13,325.5,119.76,151.7,136.63,142.93,145.06,160.14,200.95,204.98
Cash & Bank,372.1,387.79,464.97,529.84,505.99,445.7,450.95,532.35,416.27,447.84
No. of Equity Shares,28500641,28500641,28500641,114002564,114002564,114002564,171003846,171003846,171003846,171003846
New Bonus Shares,12214560,,,85501923,85501923,85501923,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,166.88,200.95,150.29,181.47,128.72,194.06,188.6,243.59,2.3,207.78
Cash from Investing Activity,-75.59,-42.33,-70.77,-117.48,-19.26,-136.88,-60.35,-80.45,136.95,-48.28
Cash from Financing Activity,-131.21,-142.93,-66.35,-73.24,-85.79,-78.11,-162.23,-148.56,-127.16,-147.07
Net Cash Flow,-39.92,15.69,13.17,-9.25,23.67,-20.93,-33.99,14.58,12.1,12.42
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,50.59,93.44,95.48,156.5,144.6,123.4,79.45,128.75,112.7,110.9
,,,,,,,,,,
