COMPANY NAME,BALAJI AMINES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,2186.3,,,,,,,,,
Market Capitalization,7077.21,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,616.36,640.4,667.61,858,940.12,934.55,1308.39,2313.58,2345.61,1641.51
Raw Material Cost,356.67,330.53,347.33,460.97,541.01,497.97,615.8,1276.41,1261.2,916.25
Change in Inventory,-2.88,-25.69,4.96,-3.12,25.66,-15.86,-14.45,53.88,15.41,13.05
Power and Fuel,64.58,62.42,57.94,76.52,84.7,95.03,125.02,209.93,237.59,
Other Mfr. Exp,26.58,9.25,17.7,15.93,18.99,14.62,17.3,30.44,30.08,
Employee Cost,26.97,31.84,38.53,45.08,47.78,50.99,67.82,96.7,85.2,82.27
Selling and admin,31.97,52.29,54.91,69.4,74.2,73.97,89.94,134.46,133.31,
Other Expenses,4.95,1.66,7.07,4.94,5.69,5.36,4.83,-3.15,4.53,332.31
Other Income,4.26,2.77,9.26,12.13,4.23,5.01,6.07,14.72,15.25,29.64
Depreciation,20.08,19.38,19.71,19.29,19.55,31.62,34.41,42,45.57,45.37
Interest,34.88,22.15,12.94,9.04,13.03,23.03,18.29,17.1,11.97,6.44
Profit before tax,51.06,87.96,125.7,165.84,165.06,131.11,326.6,578.29,566.82,301.56
Tax,17.87,30.35,43.34,52.66,47.97,33.63,83.1,160.39,161.13,69.25
Net profit,33.2,57.61,82.35,113.18,117.53,104.8,238.19,368.42,325.52,204.85
Dividend Amount,3.89,6.48,7.13,8.42,9.07,10.37,12.96,19.44,32.4,35.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,564.9,780.37,670.17,627.88,585.95,471.39,463.67,380.54,383.36,413.94
Expenses,409.72,584.26,455.37,455.26,458.17,378.26,365.63,326.75,309.16,316.23
Other Income,3.8,5.05,4.69,2.53,2.52,5.51,5.65,6.77,8.46,8.76
Depreciation,10.49,10.78,11.08,11.01,12.34,11.14,11.49,10.78,10.85,12.25
Interest,3.97,7.15,3.42,2.3,2.94,2.53,1.82,1.77,1.54,1.31
Profit before tax,144.52,183.23,204.99,161.84,115.02,84.97,90.38,48.01,70.27,92.91
Tax,42.93,52.39,56.94,43.2,31.24,29.75,22.69,11.64,14.49,20.42
Net profit,89.56,108.72,122.97,92.57,62.57,47.41,52.73,34.71,49.37,68.03
Operating Profit,155.18,196.11,214.8,172.62,127.78,93.13,98.04,53.79,74.2,97.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48
Reserves,221.43,273.73,355.98,460.58,567.98,651.66,887.91,1243.37,1547.75,1715.38
Borrowings,255.85,172.69,104.93,151.85,227.4,259.57,127.07,100.64,57.57,19.7
Other Liabilities,138.79,151.84,167.63,228.93,244.03,195.39,288.87,394.76,351.01,404.59
Total,622.55,604.74,635.02,847.84,1045.89,1113.1,1310.33,1745.25,1962.81,2146.15
Net Block,341.11,340.82,325.48,316.06,319.75,573,542.92,681.17,780.5,898
Capital Work in Progress,3.32,16.26,25.08,123.13,269.46,46.27,173.28,140.94,113.23,202.59
Investments,0.02,0.02,0.02,0.01,,47.5,,,72.65,
Other Assets,278.1,247.64,284.44,408.64,456.68,446.33,594.13,923.14,996.43,1045.56
Total,622.55,604.74,635.02,847.84,1045.89,1113.1,1310.33,1745.25,1962.81,2146.15
Receivables,119.37,124.34,124.29,172.68,167.22,207.44,305.66,588.15,377.8,319.4
Inventory,112.38,78.03,98.98,89.1,163.15,108.81,109.94,222.36,302.81,286.9
Cash & Bank,7,8.57,3.49,24.16,20.4,8.81,19.64,51.56,236.33,339.79
No. of Equity Shares,32401000,32401000,32401000,32401000,32401000,32401000,32401000,32401000,32401000,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,55.76,84.78,60.46,139.98,94.21,144.2,109.87,219.57,382.18,219.63
Cash from Investing Activity,-3.76,-29.26,-10.32,-134.87,-118.69,-130.12,-61.59,-147.25,-186.31,-159.82
Cash from Financing Activity,-55.07,-53.95,-55.21,15.56,20.71,-25.67,-37.45,-56.51,-81.23,-74.97
Net Cash Flow,-3.07,1.57,-5.08,20.67,-3.77,-11.59,10.83,15.8,114.64,-15.16
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,82,178.1,378.95,561.05,495.7,251.6,1759.3,2905.5,1943.3,2045.25
,,,,,,,,,,
DERIVED:,,,,,,,,,,
