COMPANY NAME,HONEYWELL AUTOMATION INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,43255.3,,,,,,,,,
Market Capitalization,38279.11,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1706.99,2403.67,2187.62,2410.07,2689.98,3174.74,3290.01,3042.78,2948.32,3447.59
Raw Material Cost,998.29,1362.69,1270,1294.09,1392.75,1663.95,1650.7,1551.16,1544.46,1850.18
Change in Inventory,3.77,5.26,-5.09,-6.05,-7.77,15.25,7.78,20.26,-0.52,16.95
Power and Fuel,8.69,11.12,8.52,8.4,9.05,11.39,12.21,8.31,11.69,11.95
Other Mfr. Exp,11.31,12.58,10.57,9.43,10.53,11.26,12.22,12.75,13.35,11.23
Employee Cost,303.43,428.55,358.97,413.93,458.35,539.8,554.81,524.36,557.54,625.9
Selling and admin,218.86,346.18,214.84,243.77,298.19,326.51,312.81,235.61,248.19,246.04
Other Expenses,51.73,35.71,98.84,145.31,141.99,130.68,114.5,138.94,136.12,197.84
Other Income,18.64,-17.58,23.97,37.32,28.88,70.87,97.39,83.97,82.34,128.25
Depreciation,13.92,16.86,15.4,16.35,15.2,15.89,41.35,48.66,52.46,51.89
Interest,0.39,0.44,3.2,2.75,3.8,6.49,10.03,9.2,8.71,6.5
Profit before tax,122.78,177.22,226.16,307.31,381.23,554.89,686.55,618.02,457.62,591.26
Tax,36.62,63.02,84.97,137.86,131.5,196.05,195.07,157.98,118.49,153.25
Net profit,86.16,114.2,141.19,169.45,249.73,358.84,491.48,460.04,339.13,438.01
Dividend Amount,8.84,11.05,8.84,8.84,28.29,39.78,66.3,75.14,79.56,83.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,737.19,859.95,667.98,786.17,794.3,1017.5,849.68,932.3,1104.2,1071
Expenses,629.84,738.02,580.68,664.29,666.5,887.1,710.88,811.7,965.9,910.4
Other Income,20.97,14.34,25.23,29.2,44.9,27.4,26.73,33,40.1,28.1
Depreciation,13.13,13.59,12.73,12.46,12.8,13.1,13.5,13.6,13.8,12.8
Interest,1.38,1.08,1.19,1.26,1.2,1,0.49,0.8,0.7,1.4
Profit before tax,113.81,121.6,98.61,137.36,158.7,143.7,151.54,139.2,163.9,174.5
Tax,28.61,31.87,25.94,35.39,40.8,37.6,39.51,35.8,42,46.6
Net profit,85.2,89.73,72.67,101.97,117.9,106.1,112.03,103.4,121.9,127.9
Operating Profit,107.35,121.93,87.3,121.88,127.8,130.4,138.8,120.6,138.3,160.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84
Reserves,772.13,873.03,1013.17,1171.44,1409.84,1738.62,2169.41,2570.03,2827.93,3179.67
Borrowings,,,,,,,80.94,73.89,55.74,36.34
Other Liabilities,550.41,601.2,739.93,771.2,1013.22,1143.14,1198.28,1281.92,1118.1,1225.65
Total,1331.38,1483.07,1761.94,1951.48,2431.9,2890.6,3457.47,3934.68,4010.61,4450.5
Net Block,65.07,84.9,84.04,78.81,83.92,85.18,196.44,216.58,180.75,150.86
Capital Work in Progress,2.93,6.8,1.6,2.69,1.1,8.01,13.88,2.12,2.14,2.4
Investments,,75.96,78.93,82.75,77.77,,,,,
Other Assets,1263.38,1315.41,1597.37,1787.23,2269.11,2797.41,3247.15,3715.98,3827.72,4297.24
Total,1331.38,1483.07,1761.94,1951.48,2431.9,2890.6,3457.47,3934.68,4010.61,4450.5
Receivables,353.73,345.64,505.33,500.32,591.12,622.39,743.06,922.67,675.13,937.76
Inventory,110.15,123.57,100.64,96.91,79.77,105.06,120.89,95.41,98.61,164.65
Cash & Bank,310.76,218.68,371.58,578.47,841.43,1224.52,1513.9,1796.86,2006.22,2379.51
No. of Equity Shares,8841523,8841523,8841523,8841523,8841523,8841523,8841523,8841523,8841523,8841523
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,191.5,13.02,166.37,215.19,262.89,311.77,329.97,364.4,263.58,409.88
Cash from Investing Activity,5.66,-139.84,46.2,-85.08,-172.29,-443.17,-212.14,-307.09,-105.74,-117.6
Cash from Financing Activity,-10.66,-10.78,-13.3,-10.64,-10.63,-34.08,-69.54,-89.47,-98.53,-102.03
Net Cash Flow,186.5,-137.6,199.27,119.47,79.97,-165.48,48.29,-32.16,59.31,190.25
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,2773.85,8513.05,8596.05,10346.9,16942.1,22331.65,25890.6,47479.85,39676.8,36385.2
,,,,,,,,,,
