COMPANY NAME,HMA AGRO INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,56.4,,,,,,,,,
Market Capitalization,2815.67,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,2742.15,2372.79,1707.5,3083.19,3209.22
Raw Material Cost,,,,,,2375.32,1975.82,1335.88,2421.45,2460.32
Change in Inventory,,,,,,71.28,63.77,-30.49,9.91,-8.21
Power and Fuel,,,,,,49.51,42.2,28.69,59.96,59.61
Other Mfr. Exp,,,,,,39.74,46.75,74.83,238.89,224.06
Employee Cost,,,,,,86.87,75.96,58.6,105.67,96.53
Selling and admin,,,,,,203.84,202.57,14.77,138.29,188.26
Other Expenses,,,,,,35.61,46.26,64.75,5.1,14.61
Other Income,,,,,,41.88,43.82,12.9,55.79,46.87
Depreciation,,,,,,9.97,10.02,8.31,10.67,17.64
Interest,,,,,,5.55,18.59,6.43,10.25,13.29
Profit before tax,,,,,,48.9,62.21,97.65,158.61,173.56
Tax,,,,,,17.74,16.32,25.43,42.13,50.08
Net profit,,,,,,31.17,45.91,72.22,114.75,120.41
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,826.22,775.8,768.47,838.74,971.24,1200.19,1251.72
Expenses,,,,777.05,747.12,728.41,801.16,907.6,1176.98,1202.54
Other Income,,,,23.15,23.03,1.17,-0.47,9.42,4.58,26.78
Depreciation,,,,2.3,1.82,2.76,10.75,9.68,8.83,10.19
Interest,,,,1.89,4.08,1.21,3.99,4.35,2.85,3.53
Profit before tax,,,,68.13,45.81,37.26,22.37,59.03,16.11,62.24
Tax,,,,17.7,12.49,7.77,12.13,14.72,10.48,13.13
Net profit,,,,50.42,34.46,29.49,10.23,44.05,9.55,46.11
Operating Profit,,,,49.17,28.68,40.06,37.58,63.64,23.21,49.18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,3.73,3.73,3.73,47.51,47.51
Reserves,,,,,,137.73,183.32,255.91,326.95,426.74
Borrowings,,,,,,131.98,169.13,181.34,330.02,343.32
Other Liabilities,,,,,,275.83,116.67,130.98,151.44,181.39
Total,,,,,,549.27,472.85,571.96,855.92,998.96
Net Block,,,,,,84.12,95.29,92.54,140.76,260.49
Capital Work in Progress,,,,,,0.14,1.61,13.64,91.64,58.18
Investments,,,,,,,,,,
Other Assets,,,,,,465.01,375.95,465.78,623.52,680.29
Total,,,,,,549.27,472.85,571.96,855.92,998.96
Receivables,,,,,,288.56,116.67,156.74,289.75,298.48
Inventory,,,,,,93.59,157.34,126.85,136.75,128.55
Cash & Bank,,,,,,6.68,38.51,51.69,44.02,73.87
No. of Equity Shares,,,,,,3726500,3726500,3726500,47512875,47512875
New Bonus Shares,,,,,,,,,,
Face value,,,,,,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,22.52,24.22,74.92,-31.96,136.12
Cash from Investing Activity,,,,,,-7.67,-29.54,-70.13,-143.52,-83.18
Cash from Financing Activity,,,,,,-12.06,37.15,8.38,142.32,-2.56
Net Cash Flow,,,,,,2.8,31.83,13.17,-33.16,50.38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,3.73,3.73,3.73,47.51,47.51
