COMPANY NAME,KAJARIA CERAMICS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,1184.75,,,,,,,,,
Market Capitalization,18757.77,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2186.89,2413.45,2549.63,2710.6,2956.2,2808.01,2780.9,3705.19,4381.93,4578.42
Raw Material Cost,827.22,805.75,793.34,936.05,1044.27,1074.55,1011.61,1473.76,1717.35,1961.87
Change in Inventory,91.86,65.72,-12.63,12.87,36.51,84.36,-133.3,74.44,91.63,-15.08
Power and Fuel,485.35,480.48,448.02,519.44,616.16,564.42,414.9,758.98,1055.37,866.09
Other Mfr. Exp,197.15,229.17,224.83,211.16,258.32,225.48,199.29,281.75,335.86,
Employee Cost,207.32,252.28,288.71,317.65,345.45,356.86,324.65,407.67,461.24,505.26
Selling and admin,186.76,221.87,248.15,251.9,239.87,217.33,147.98,208.42,271.28,
Other Expenses,19.5,26.65,33.71,29.89,33.65,36.82,34.19,37.06,39.39,531.63
Other Income,0.15,4.92,11.45,10.57,7.69,23.14,15.14,26.27,24.57,46.24
Depreciation,55.88,72.61,81.39,88.53,89.06,108.09,106.67,115.36,132.86,147.99
Interest,29.39,34.46,34,24.1,15.59,19.51,10.71,12.73,22.32,21.12
Profit before tax,270.33,360.82,396.3,355.32,358.03,312.45,412.74,510.17,462.46,575.62
Tax,85.43,124.71,142.49,126.72,129.28,58.92,103.84,127.43,116.26,143.46
Net profit,175.6,231.33,252.81,234.96,226.57,255.33,308.05,376.98,344.5,422.11
Dividend Amount,31.78,39.72,47.67,47.7,47.7,47.7,159.1,175.12,143.28,191.16
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1068.23,1101.75,1008.22,1077.76,1091.13,1204.82,1064.23,1121.62,1151.75,1240.82
Expenses,884.39,935.81,854.63,948.35,958.06,1028.96,895.02,942.13,973.28,1069.52
Other Income,7.42,7.03,8.09,3.97,7.48,6.17,9.28,8.27,11.27,17.44
Depreciation,28.07,32.62,32.36,33.65,32.53,34.32,30.52,36.07,38.91,42.49
Interest,3.01,3.98,3.61,3.16,8.31,7.24,5.27,4.26,4.98,6.61
Profit before tax,160.18,136.37,125.71,96.57,99.71,140.47,142.7,147.43,145.85,139.64
Tax,35.45,39.14,32.75,27.68,26.05,29.78,33.59,36.61,37.89,35.37
Net profit,122.02,95.76,92.3,69.86,74.32,108.02,107.52,107.96,104.19,102.44
Operating Profit,183.84,165.94,153.59,129.41,133.07,175.86,169.21,179.49,178.47,171.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,15.89,15.89,15.89,15.9,15.9,15.9,15.91,15.92,15.92,15.93
Reserves,725.05,956.01,1159.23,1335.12,1559,1698.37,1852.95,2106.46,2310.86,2600.6
Borrowings,243.43,293.66,213.16,170.33,120.33,166.01,126.03,164.89,249.82,238.94
Other Liabilities,574.87,652.57,651.84,618.94,676.65,556.84,530.44,698.52,751.25,687.44
Total,1559.24,1918.13,2040.12,2140.29,2371.88,2437.12,2525.33,2985.79,3327.85,3542.91
Net Block,860.08,1120.51,1177.29,1145.11,1077.83,1194.76,1192.43,1149.59,1446.56,1637.7
Capital Work in Progress,77.76,7.83,8.26,17.6,93.39,26.63,14.9,263.36,81.71,67.93
Investments,0.08,0.08,0.09,0.34,0.34,10.14,4.97,,1.94,18.46
Other Assets,621.32,789.71,854.48,977.24,1200.32,1205.59,1313.03,1572.84,1797.64,1818.82
Total,1559.24,1918.13,2040.12,2140.29,2371.88,2437.12,2525.33,2985.79,3327.85,3542.91
Receivables,207.1,274.11,338.92,450.67,475.05,396.69,431.67,513.3,601.17,619.43
Inventory,303.32,384.17,372.02,378.47,405.8,512.72,373.08,465.88,564.68,532.19
Cash & Bank,11.16,21.52,51.96,82.47,252.38,225.17,442.75,424.38,393.78,514.11
No. of Equity Shares,79469000,79469000,158938000,158950300,158950300,158957200,159081000,159204050,159204050,
New Bonus Shares,,,,,,,,,,
Face value,2,2,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,180.27,315.62,337.68,238.17,317.36,224.43,508.76,425.52,295.5,601.65
Cash from Investing Activity,-263.02,-266.95,-139.71,-136.49,-260.86,-90.06,-295.54,-297.91,-182.48,-297.6
Cash from Financing Activity,87.43,-38.72,-167.88,-71.84,-114.14,-140.37,-204.51,-120.13,-134.79,-216.26
Net Cash Flow,4.68,9.95,30.09,29.84,-57.64,-6,8.71,7.48,-21.77,87.79
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,403.6,478.93,583.5,572.55,589.85,375.85,926.9,1019.3,1054.3,1154.85
