COMPANY NAME,ARCHEAN CHEMICAL INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,619.9,,,,,,,,,
Market Capitalization,7654.85,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,438.83,565.51,608.17,740.76,1130.44,1441.07
Raw Material Cost,,,,,31.28,43.66,36.12,16.75,44.88,50.13
Change in Inventory,,,,,-18.2,-52.38,,7.85,5.56,47.4
Power and Fuel,,,,,49.29,46.16,44.44,53.52,102.27,134.19
Other Mfr. Exp,,,,,18.72,27.6,37.53,68.42,85.74,89.79
Employee Cost,,,,,26.06,30.39,34.47,35.32,37.84,72.02
Selling and admin,,,,,185.72,275.98,322.94,306.72,396.93,503.85
Other Expenses,,,,,26.72,20.57,-15.36,5.45,1.03,4.12
Other Income,,,,,6.07,121.35,8.29,13.82,12.64,44.18
Depreciation,,,,,72.77,47.27,51.92,55.38,66.86,68.51
Interest,,,,,101.53,113.66,121.76,130.39,161.67,96.96
Profit before tax,,,,,-85.39,29.19,-17.36,90.48,251.42,513.08
Tax,,,,,-6.21,-11.87,18.29,23.89,62.8,129.43
Net profit,,,,,-79.16,41.06,-35.65,66.59,188.61,383.65
Dividend Amount,,,,,,,,,,30.76
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,249.75,307.32,372.6,400.27,293.49,364.92,382.37,343.09,290.47,412.63
Expenses,145.67,190.08,212.45,239.07,174.79,204.93,187.88,208.34,194.88,266.74
Other Income,7.57,6.04,3.8,8.78,19.15,7.66,8.58,11.2,11.58,10.09
Depreciation,16.62,16.82,17.29,17.62,16.86,16.78,17.26,17.47,17.46,17.6
Interest,41.64,40.53,39.4,39.15,34.97,19.42,3.42,3.06,2,2.44
Profit before tax,53.39,65.93,107.26,113.21,86.02,131.45,182.39,125.42,87.71,135.94
Tax,14.02,16.9,25.34,28.57,22.12,33.17,45.57,31.25,21.36,33.74
Net profit,39.38,49.02,81.92,84.64,63.91,98.28,136.82,94.17,66.35,102.19
Operating Profit,104.08,117.24,160.15,161.2,118.7,159.99,194.49,134.75,95.59,145.89
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,10,19.27,19.27,19.27,19.27,24.61
Reserves,,,,,-37.74,24.15,-11.65,54.71,243.42,1407.91
Borrowings,,,,,968.39,754.09,854.32,903.52,897.23,69.38
Other Liabilities,,,,,315.56,439.37,568.29,456.53,371.77,253.95
Total,,,,,1256.21,1236.88,1430.23,1434.03,1531.69,1755.85
Net Block,,,,,940.01,913.5,882.37,1042.3,1086.19,1097.48
Capital Work in Progress,,,,,,9.07,192.93,18.93,17.21,33.2
Investments,,,,,0.01,,47.16,41.26,16.21,215.08
Other Assets,,,,,316.19,314.31,307.77,331.54,412.08,410.09
Total,,,,,1256.21,1236.88,1430.23,1434.03,1531.69,1755.85
Receivables,,,,,26.47,67,44.45,68.07,152.97,117.74
Inventory,,,,,112.54,62.75,98.82,110.63,120.79,167.76
Cash & Bank,,,,,12.76,47.5,24.75,31.81,53.75,31.97
No. of Equity Shares,,,,,10000000,19266681,19266681,19266681,96333405,123052989
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,39.11,312.28,147.54,119.1,327.09,497.82
Cash from Investing Activity,,,,,0.01,-24.89,-196.65,-1.75,-127.63,-287.82
Cash from Financing Activity,,,,,-87.43,-252.37,26.36,-110.32,-223.72,-211.97
Net Cash Flow,,,,,-48.31,35.02,-22.75,7.02,-24.26,-1.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,650.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,1,1.93,1.93,1.93,9.63,12.31
