COMPANY NAME,GATEWAY DISTRIPARKS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,101,,,,,,,,,
Market Capitalization,5061.1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,449.55,535.69,563.4,740.12,788.8,867.41,369.69,1165.77,1360.24,1396.06
Raw Material Cost,,,,538.1,548.23,567.5,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,3.53,6.12,7.27,8.24,9.48,10.99,4.81,18.75,25.11,25.16
Other Mfr. Exp,2.74,3.15,3.18,3.39,6.03,7,195.82,725.64,859.21,901.84
Employee Cost,15.57,18.42,16.73,25.09,28.79,39.8,22.53,68.43,66.06,65.76
Selling and admin,13.02,17.92,17.11,21.96,26.06,29.81,22.65,43.67,41.89,42.77
Other Expenses,344.24,412.13,416.8,13.58,18.04,17.7,3.1,2.9,5.31,5.62
Other Income,1.16,4.69,9.6,22.91,21.44,15.97,58.48,12.6,34.41,28.08
Depreciation,36.79,40.13,39.98,50.49,55.9,57.32,42.47,128.43,124.55,99.71
Interest,12.02,12.16,12.08,27.38,20.36,14.81,74.43,77.89,63.31,43.55
Profit before tax,22.8,30.35,59.85,74.8,97.35,138.45,62.36,112.66,209.21,239.73
Tax,0.06,2.36,7.66,34.89,14.38,27.86,1.33,18.71,-15.7,3.9
Net profit,22.74,27.99,52.19,39.9,82.98,110.59,61.03,93.95,224.91,235.83
Dividend Amount,,,,,,95.91,,199.86,62.46,99.93
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,332.6,346.27,355.12,337.88,354.48,336.04,367.65,358.29,389.29,383.27
Expenses,243.12,254.06,262.36,254.17,261.18,248,279.5,270.59,292.53,291.8
Other Income,6.42,6.72,18.27,3.78,8.08,3.1,14.02,6.13,9.82,1.94
Depreciation,32.14,32.64,28.04,24.58,25.96,24.99,24.17,23.21,21.41,21.99
Interest,15.88,15.58,15.68,11.23,10.72,9.98,10.82,10.41,10.78,10.86
Profit before tax,47.88,50.71,67.31,51.68,64.7,56.17,67.18,60.21,74.39,60.56
Tax,0.7,1.02,-17.45,-4.11,3.7,3.25,1.04,0.4,0.37,0.58
Net profit,47.18,49.69,84.76,55.78,61,52.92,66.13,59.82,74.02,59.98
Operating Profit,89.48,92.21,92.76,83.71,93.3,88.04,88.15,87.7,96.76,91.47
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,201.5,201.5,201.5,201.5,201.5,201.5,108.73,499.64,499.64,499.64
Reserves,-27.96,0.02,52.21,222.07,296.46,170.01,606.9,944.06,1107.08,1242.86
Borrowings,108.23,125.49,112.78,417.63,184.58,157.53,600,691.25,591.71,486.37
Other Liabilities,444.54,453.08,463.5,369.18,382.02,393.75,57.42,192.03,160.91,171.16
Total,726.31,780.09,829.99,1210.38,1064.56,922.79,1373.05,2326.98,2359.34,2400.03
Net Block,632.25,671.17,667.56,804.57,816.7,789.46,228.1,1793.04,1739.35,1697.35
Capital Work in Progress,25.61,22.66,25.61,6.66,11.42,1.6,,29.06,10.08,10.08
Investments,,0.06,34.03,301.54,97.82,22.22,963.09,143.13,144.71,290.87
Other Assets,68.45,86.2,102.79,97.61,138.62,109.51,181.86,361.75,465.2,401.73
Total,726.31,780.09,829.99,1210.38,1064.56,922.79,1373.05,2326.98,2359.34,2400.03
Receivables,37.57,43.9,46.55,65.87,73.87,75.98,26.22,128.24,116.98,133.14
Inventory,,,,,,,,,,
Cash & Bank,4.69,7.91,10.81,0.96,30.03,0.36,1.73,108.84,181.86,51.63
No. of Equity Shares,201500100,201500100,201500100,201500100,201500100,201500100,108728049,499643836,499643836,499643836
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,117.51,300.01,313.83,358.9
Cash from Investing Activity,,,,,,,115.48,23.82,-196.95,-41.64
Cash from Financing Activity,,,,,,,-260.4,-223.72,-228.34,-209.72
Net Cash Flow,,,,,,,-27.41,100.11,-111.46,107.54
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,66.7,62.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,49.96,49.96
