COMPANY NAME,ZYDUS LIFESCIENCES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,968.2,,,,,,,,,
Market Capitalization,97409.04,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,7224,8651.3,9426.8,9376.5,11904.9,13165.6,14253.1,14403.5,15109.9,17237.4
Raw Material Cost,2783.1,3293.7,3107,3557.7,4437.4,4826.1,5013.8,4958.3,5907.5,6072
Change in Inventory,69.5,97.1,11.1,138.8,315.4,109.7,93.8,156.2,362.3,-238.1
Power and Fuel,138.9,159.2,168.8,174.5,226.3,247.2,268.8,246.9,315,361.6
Other Mfr. Exp,342.7,368.3,303,339.7,410.3,505.4,526.5,500.5,497.1,472.2
Employee Cost,1095.9,1238.7,1302.8,1523.4,1862.1,2130.7,2399.1,2298.6,2437.6,2769.4
Selling and admin,1374.4,1493.2,1785,1610.4,1937.1,1963.7,2381.5,2233.9,2207.1,2694.1
Other Expenses,355.2,439.6,439.8,407.1,516.1,611,959.1,930.8,765.5,770.1
Other Income,30.3,45,112.1,127.3,110.9,183,-264.4,-231.1,2581.4,-422.2
Depreciation,201.2,287.3,292.1,373.3,538.8,598.6,696.5,669.6,713,722.7
Interest,90.2,67.9,52.8,44.6,91.1,193.5,341.8,158.8,127,129.9
Profit before tax,942.2,1445.5,2098.7,1611.9,2312,2382.1,1495.4,2331.2,5083.8,2585.1
Tax,106,259.4,177.4,128.9,564.4,530.3,319.8,193.6,511.7,587.8
Net profit,803.6,1150.6,1933.9,1487.7,1775.8,1848.8,1176.6,2133.6,4487.3,1960.3
Dividend Amount,184.32,245.76,327.68,327.68,358.4,358.4,358.4,358.4,256,607.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3759.8,3639.8,3805.6,4072.7,4134.7,4257.1,5010.6,5139.6,4368.8,4505.2
Expenses,2860.3,2888.2,3087.9,3239.7,3319.4,3301.1,3755,3634.3,3222.7,3402.8
Other Income,2443.2,54.2,64.1,54.7,49.9,38.9,-565.7,20.8,53,59.5
Depreciation,177.3,177,185.4,180.7,181.8,181.6,178.6,179.8,184.2,194.8
Interest,30.1,31.1,38.5,34.3,35.1,32.8,27.7,18.1,8.7,19.8
Profit before tax,3135.3,597.7,557.9,672.7,648.3,780.5,483.6,1328.2,1006.2,947.3
Tax,135.7,109.4,109.2,118.4,137,195.2,137.2,216.1,226.4,213.8
Net profit,3002.3,500.4,397.4,518.3,522.5,622.9,296.6,1086.9,800.7,789.6
Operating Profit,899.5,751.6,717.7,833,815.3,956,1255.6,1505.3,1146.1,1102.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,102.4,102.4,102.4,102.4,102.4,102.4,102.4,102.4,102.4,101.2
Reserves,3336.6,4149.2,5596.8,6857.6,8642.1,10283.9,10273.3,12889.9,16897.2,17414.6
Borrowings,2700.4,2651.3,2442,5207.2,5406.7,7899.4,7986.4,4607.6,4220.9,1194.9
Other Liabilities,1847.1,2144.2,2208.5,2937.1,3632,4945.1,5114.6,6165.1,6421.1,6851.3
Total,7986.5,9047.1,10349.7,15104.3,17783.2,23230.8,23476.7,23765,27641.6,25562
Net Block,3123.8,3352.2,3747.9,5755.1,6482.6,12163.7,12230.5,12132.8,12188.5,11520.9
Capital Work in Progress,891.5,797.9,950.8,1543.3,1527.2,837.2,741.5,783.2,725.9,1200.7
Investments,86.6,154.4,416.2,434.8,745.7,673.5,765,830.1,3288,1546.6
Other Assets,3884.6,4742.6,5234.8,7371.1,9027.7,9556.4,9739.7,10018.9,11439.2,11293.8
Total,7986.5,9047.1,10349.7,15104.3,17783.2,23230.8,23476.7,23765,27641.6,25562
Receivables,1133.7,1588.4,1746.6,2277.5,3206.3,3950.8,3663.2,3127.3,3340.3,4416.8
Inventory,1367.5,1535.7,1337.1,1803.7,2385.3,2688,2789,3236.2,3719.4,3413.3
Cash & Bank,548.8,669.9,638.7,1543.5,1314.9,548.9,964.9,888.3,1106.9,573.1
No. of Equity Shares,204748520,204748520,1023742600,1023742600,1023742600,1023742600,1023742600,1023742600,1023742600,1012204139
New Bonus Shares,,,,,,,,,,
Face value,5,5,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,902.8,993.6,1893.5,1311.7,919.3,1281.9,2931.5,3293.9,2104.5,2688.8
Cash from Investing Activity,-438,-464.7,-859.6,-2871.9,-973.7,-3977.4,-1004.4,-836.7,-1017.6,1177.8
Cash from Financing Activity,-528.7,-351.1,-934.8,2315.8,51.5,1884.6,-1528.2,-2547.7,-868.3,-4400.4
