COMPANY NAME,CYIENT LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,1754.15,,,,,,,,,
Market Capitalization,19448.3,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2735.93,3094.1,3585.8,3913.9,4617.5,4427.4,4132.4,4534.4,6015.9,7147.2
Raw Material Cost,29.11,188.1,285.2,327.2,404.4,406.6,516.5,588.1,683.9,989.3
Change in Inventory,-16.75,-0.6,11,20.1,-14.1,14.4,-9.8,17.5,-12.5,23.5
Power and Fuel,22.83,23.6,23,24.5,30.3,26.2,16.5,20.4,26.9,
Other Mfr. Exp,275.9,299.3,371,420.6,516.7,496.7,160.3,183.8,279.1,
Employee Cost,1678.11,1815.6,2051.9,2193.4,2559,2487.3,2167.5,2273.7,3033.8,3512
Selling and admin,274.94,312.5,338.2,365.9,405.7,343.7,236,295.5,476.4,
Other Expenses,37.39,40.3,50.3,82.6,54.5,135,450.8,372.6,500.2,1366.6
Other Income,121.69,112.3,79.4,146.9,131,158.3,139.9,112.1,34.7,-1.7
Depreciation,71.28,88.8,95.3,105.2,111.4,187.8,194.5,192.2,256.6,266.7
Interest,5.76,16.4,17.2,20.4,32.6,48.6,43.3,39.3,100,116
Profit before tax,445.55,421.2,444.1,541.1,619.8,468.2,477.1,698.4,681.2,918.4
Tax,109.62,101.1,104.5,138,142.7,127,113.3,176.1,166.8,215.6
Net profit,353.2,325.5,343.8,405.4,478.5,342.5,363.8,522.3,514.4,682.8
Dividend Amount,89.89,78.68,118.23,146.38,165.6,165,187,264.96,287.56,333
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1183.4,1181.2,1250.1,1396.2,1618.2,1751.4,1686.5,1778.5,1821.4,1860.8
Expenses,971.6,968.8,1056.9,1191.6,1334.9,1429.4,1370.9,1452.7,1495.3,1525.5
Other Income,22.1,49.4,33.7,-1.9,18.6,-15.7,-0.9,7.3,-31.5,23.4
Depreciation,48.6,42.9,51.1,63,69.9,72.6,67.6,65.8,66.1,67.2
Interest,10.5,10.4,16.3,31.2,26.3,26.2,27.8,27,28.8,32.4
Profit before tax,174.8,208.5,159.5,108.5,205.7,207.5,219.3,240.3,199.7,259.1
Tax,43,54.3,43.4,29.4,49.7,44.3,50.2,56.7,46.5,62.2
Net profit,131.8,154.2,116.1,79.1,156,163.2,168.1,178.3,147.2,189.2
Operating Profit,211.8,212.4,193.2,204.6,283.3,322,315.6,325.8,326.1,335.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,56.18,56.2,56.3,56.3,55.2,55,55,55.2,55.3,55.5
Reserves,1787.88,1774.3,2061,2287.6,2508.9,2505.9,2902.3,3061.4,3411.4,4202.6
Borrowings,147.36,214.3,211.4,283.2,368.4,711.4,577.4,573.4,1217.8,787.6
Other Liabilities,582.1,668.4,797.6,773.4,927.3,869.6,939.9,1072.5,1815.4,1957.9
Total,2573.52,2713.2,3126.3,3400.5,3859.8,4141.9,4474.6,4762.5,6499.9,7003.6
Net Block,788.51,657.2,751,797.5,978,1305,1360.9,1344.9,2824.6,2882.2
Capital Work in Progress,9.61,10,26.5,51.5,104,145.9,87.6,13.4,44.5,1.6
Investments,101.15,159.8,195.7,142.8,54.8,41.4,34.4,444.8,518.1,435.6
Other Assets,1674.25,1886.2,2153.1,2408.7,2723,2649.6,2991.7,2959.4,3112.7,3684.2
Total,2573.52,2713.2,3126.3,3400.5,3859.8,4141.9,4474.6,4762.5,6499.9,7003.6
Receivables,533.59,614.5,649.6,691.3,813.7,726.2,802.6,733.3,1127.1,1261.7
Inventory,60.61,97.9,93.5,131.2,183.3,226.7,158.6,279,435.8,467.6
Cash & Bank,622.85,694.9,878.1,980.7,970.5,951.8,1465,1266.6,719.4,983.5
No. of Equity Shares,112361065,112483377,112566340,112596002,110474173,109971221,109971221,110317416,110575006,
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,361.71,278,419.9,296.3,370.1,582.4,855.8,634.5,553.9,726.1
Cash from Investing Activity,-448.04,-54.5,-152.6,-57.1,-190.1,-146.2,-103.8,-377.1,-1006.2,-532.7
Cash from Financing Activity,-31.92,-110.7,-93.4,-135.9,-232.1,-446.3,-252.6,-544.5,-109.3,-266.2
Net Cash Flow,-118.25,112.8,173.9,103.3,-52.1,-10.1,499.4,-287.1,-561.6,-72.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,501.9,426.7,467.5,694.85,649.45,229.3,647.45,927.75,995.25,1996.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
