COMPANY NAME,AFFLE INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1056.3,,,,,,,,,
Market Capitalization,14824.64,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,167.25,249.4,333.78,516.78,1081.66,1433.96
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,0.06,0.06,0.06,0.04,0.03,0.04
Other Mfr. Exp,,,,,87.17,135.94,198.48,310.98,685.56,891.65
Employee Cost,,,,,19.86,26.97,48.39,89.07,130.41,188.07
Selling and admin,,,,,14.03,19.88,19.69,22.36,45.98,56.56
Other Expenses,,,,,0.62,-3.77,-20.74,-35.65,7.04,9.57
Other Income,,,,,0.48,0.39,6.08,41.22,71.68,54.31
Depreciation,,,,,8.27,10.1,13.33,19.64,32.44,49.42
Interest,,,,,1.2,0.81,1.42,3.64,7.08,11.41
Profit before tax,,,,,36.52,59.8,79.23,147.92,244.8,281.55
Tax,,,,,8.69,10.98,13.71,12.88,30.1,36.08
Net profit,,,,,27.83,48.82,65.52,134.8,213.88,244.59
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,274.7,339.4,315.08,347.48,354.59,376.06,355.82,406.58,431.3,498.71
Expenses,222.69,271.72,257.2,279.54,283.82,295.74,286.82,328.47,344.07,402.03
Other Income,15.23,14.44,29.32,7.49,12.83,16.49,17.52,9.83,9.93,10.17
Depreciation,8.06,9.86,9.33,9.29,13.04,13.53,13.55,14.42,18.44,18.47
Interest,2.15,1.9,1.62,2.18,2.9,3.21,3.11,3.45,5.52,5
Profit before tax,57.03,70.36,76.25,63.96,67.66,80.07,69.86,70.07,73.2,83.38
Tax,9.21,8.07,7.56,8.98,8.69,10.95,7.47,3.9,6.41,6.57
Net profit,47.61,62.07,68.47,54.53,58.68,68.98,62.4,66.18,66.78,76.82
Operating Profit,52.01,67.68,57.88,67.94,70.77,80.32,69,78.11,87.23,96.68
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,24.29,24.29,25.5,25.5,26.65,26.64
Reserves,,,,,6.18,48.12,203.66,333.26,1151.47,1438.42
Borrowings,,,,,,9,67.5,118.73,148.64,105.63
Other Liabilities,,,,,45.61,76.85,105.28,275.08,497.3,437.24
Total,,,,,76.08,158.26,401.94,752.57,1824.06,2007.93
Net Block,,,,,27.46,57.3,162.77,360.63,699.33,785.86
Capital Work in Progress,,,,,,1.8,4.8,40.34,42.22,48.52
Investments,,,,,0.03,0.03,0.03,75.84,134.57,0.03
Other Assets,,,,,48.59,99.13,234.34,275.76,947.94,1173.52
Total,,,,,76.08,158.26,401.94,752.57,1824.06,2007.93
Receivables,,,,,16.61,47.88,74.44,107.91,234.71,245.25
Inventory,,,,,,,,,,
Cash & Bank,,,,,18.92,30.49,126.47,63.25,604.62,645.71
No. of Equity Shares,,,,,24288314,24288314,25496367,25496367,133251060,133174059
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,41.87,47.79,71.85,101.79,205.98,260.3
Cash from Investing Activity,,,,,-28.64,-50.19,-161.56,-175.32,-553.79,-185.56
Cash from Financing Activity,,,,,-4.38,8.38,138.69,53.09,614.97,-59.05
Net Cash Flow,,,,,8.85,5.97,48.98,-20.44,267.17,15.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,201.09,1091.56,1260.05,987.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,12.14,12.14,12.75,12.75,13.33,13.33
