COMPANY NAME,SHILPA MEDICARE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,499.85,,,,,,,,,
Market Capitalization,4878.55,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,571.37,613.8,719.36,779.16,788.82,733.39,907.91,898.96,1141.44,1046.15
Raw Material Cost,329.76,327.67,374.23,418.27,313.83,256.81,293.78,329.56,390.24,404.42
Change in Inventory,15.34,2.97,6.8,46.46,-42.04,-0.22,16.05,58.83,7.02,-11.5
Power and Fuel,17.37,19.29,24.44,26.3,28.86,33.57,38.76,40.25,52.43,56.79
Other Mfr. Exp,14.67,16.4,19.31,25.86,29.82,38.56,40.68,53.3,62.88,59.3
Employee Cost,67.84,82.32,91.47,127.9,149.37,176.42,196.61,235.35,264.55,287.37
Selling and admin,28.43,35.23,49.31,48.36,59,54.48,115.67,104.28,158.03,116.48
Other Expenses,12.58,7.21,14.34,13.76,10.76,25.1,19.02,14.54,18.53,11.56
Other Income,6.13,4.65,4.53,15.1,21.51,33.19,16.95,90.39,21.44,17.14
Depreciation,23.22,21.41,28.63,30.64,37.22,42.06,43.78,53.98,79.8,95.5
Interest,3.52,4.05,6.86,3.13,2.66,3.68,4.56,21.87,41.17,58.65
Profit before tax,95.45,107.84,122.1,146.5,136.77,135.68,188.05,195.05,102.27,-38.28
Tax,20.3,35.21,23.39,42.04,33.9,26.18,33.5,48.85,41.68,-7.36
Net profit,75.67,73.69,103.78,107.58,105.24,112.26,156.15,147.78,60.66,-32.48
Dividend Amount,3.68,4.24,4.63,4.81,5.7,8.15,8.96,8.96,9.55,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,295.27,272.3,340.6,261.16,262.91,262.5,263.56,260.17,312.98,286.48
Expenses,243.25,227.97,267.87,241.32,252.91,231.22,226.54,213.91,254.59,221.6
Other Income,10.19,5.48,5.37,8.1,4.39,3.07,2.17,1.93,1.81,2.21
Depreciation,19.18,20.65,22.34,22.42,23.31,24.08,25.69,26.75,27.79,26.71
Interest,11.58,9.92,9.35,9.59,13.47,17.85,17.74,18.15,23.24,26.22
Profit before tax,31.45,19.24,46.41,-4.07,-22.39,-7.58,-4.24,3.29,9.17,14.16
Tax,11.56,9.71,16.86,-6.42,-3.82,-0.96,3.82,2.12,7.6,9.46
Net profit,19.96,9.57,29.55,0.85,-18.66,-6.62,-8.04,1.18,1.61,4.58
Operating Profit,52.02,44.33,72.73,19.84,10,31.28,37.02,46.26,58.39,64.88
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,7.36,7.71,7.71,8.01,8.15,8.15,8.15,8.15,8.68,8.68
Reserves,389.09,539.23,639.19,978.88,1076.88,1189.43,1321.21,1470.51,1813.51,1774.6
Borrowings,118.42,188.61,221.45,241.45,191.06,194.03,389.88,845.68,683.29,797.89
Other Liabilities,162.96,169,193.59,243.87,223.04,218.41,269.96,308.03,370.02,321.22
Total,677.83,904.55,1061.94,1472.21,1499.13,1610.02,1989.2,2632.37,2875.5,2902.39
Net Block,294.42,316.06,580.4,491.93,534.2,558.01,650.44,1110.53,1341.84,1368.33
Capital Work in Progress,111.03,221.62,94.73,140.51,209.85,429.12,666.25,541.29,506.18,655.33
Investments,10.34,65.54,52.97,252.62,140.33,2.26,10.45,21.22,34.23,42.66
Other Assets,262.04,301.33,333.84,587.15,614.75,620.63,662.06,959.33,993.25,836.07
Total,677.83,904.55,1061.94,1472.21,1499.13,1610.02,1989.2,2632.37,2875.5,2902.39
Receivables,67.96,81.37,84.59,170.93,220.27,203.73,246.79,217.5,386.33,324.35
Inventory,123.25,130.78,162.51,190,188.71,187.67,226.43,316.84,355.24,319.82
Cash & Bank,9.19,18.42,15.88,100.39,73.83,94.54,44.56,123.11,34.11,21.56
No. of Equity Shares,36786247,38550952,77101905,80126904,81526899,81526899,81526899,81526899,86801898,86801898
New Bonus Shares,12262082,,,,,,,,,
Face value,2,2,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,70.04,68.81,128.7,37.48,44.92,146.78,124.38,46.93,105.13,226.17
Cash from Investing Activity,-49.38,-195.8,-106.23,-257.26,-10.16,-196.31,-289.7,-404.28,-285.5,-278.48
Cash from Financing Activity,-28.34,136.21,-19.65,312.7,-60.91,10.06,175.5,436.37,82.86,45.8
Net Cash Flow,-7.68,9.22,2.82,92.92,-26.15,-39.47,10.18,79.03,-97.51,-6.51
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,207.03,496.58,428.05,637.45,463.65,341.05,244.65,333.8,398.2,228.85
,,,,,,,,,,
DERIVED:,,,,,,,,,,
