COMPANY NAME,JK PAPER LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,353.6,,,,,,,,,
Market Capitalization,5988.45,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1737.93,2160.11,2437.25,2628.61,2844.27,3256.71,3060.19,2750.72,3968.56,6436.81
Raw Material Cost,1148.67,1360.79,1453.64,1491.06,1538.85,1579.64,1498.02,1223.66,1724.77,2885.11
Change in Inventory,58.36,25.46,-19.22,4.69,10.36,-47.85,134.04,-94.78,-4.94,35.11
Power and Fuel,212.68,252.75,214.63,212.38,245.59,258.67,295.27,323.72,492.31,685.78
Other Mfr. Exp,80.07,76.63,90.88,99.4,97.08,103.8,99.27,101.72,132.27,184.73
Employee Cost,160,152.84,180.77,219.56,234.03,266.56,291.81,308.81,385.48,488.79
Selling and admin,247.76,263.64,349.7,266.82,262.01,254.41,262.51,320.24,396.13,424.17
Other Expenses,-193.93,-179.69,-267.28,-172.98,-141.35,-122.71,-124.01,-184.76,-164.61,-208.46
Other Income,-5.1,2.92,6.62,34.79,22.34,49.63,103.81,110.51,124.36,139.01
Depreciation,126.52,115.76,118.29,120.68,122.32,127.68,149.48,174.25,193.05,281.85
Interest,128.53,205.35,195.23,187.64,143.02,124.4,129.3,128.6,131.88,222.48
Profit before tax,-119.11,-59.58,88.79,243.53,375.42,666.04,696.39,370.21,796.7,1646.48
Tax,-44.4,-41.16,28.05,69.04,114.84,241.1,227.98,133.49,252.88,438.26
Net profit,-74.72,-18.39,55.93,171.82,260.58,427.28,475.32,239.95,542.6,1195.79
Dividend Amount,,,7.43,23.39,43.88,62.38,71.3,67.76,93.17,135.52
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,944.37,1023.62,1339.82,1430.23,1644.1,1643.06,1719.42,1584.36,1650.04,1706.22
Expenses,724.7,772.3,1003.84,1007.1,1104.63,1077.57,1235.71,1107.17,1242.76,1333.98
Other Income,35.37,32.79,21.99,34.96,14.02,49,41.03,54.84,58.77,56.1
Depreciation,45.01,44.69,60.13,65.14,66.61,69.5,80.6,79.91,83.5,83.34
Interest,37.42,29.43,32.05,29.15,36.16,94.06,63.11,51.26,41.97,80.23
Profit before tax,172.61,209.99,265.79,363.8,450.72,450.93,381.03,400.86,340.58,264.77
Tax,54.23,58.94,95.62,99.57,123.79,117.39,97.51,88.3,34.9,28.41
Net profit,118.39,150.21,170,261.98,324.23,329.32,280.26,308.67,302.35,235.11
Operating Profit,219.67,251.32,335.98,423.13,539.47,565.49,483.71,477.19,407.28,372.24
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,136.62,136.62,148.53,155.96,175.5,178.24,178.24,169.4,169.4,169.4
Reserves,663.57,638.99,953.57,1165.29,1467.59,1859.86,2187.25,2346.68,2826.64,3864.6
Borrowings,2247.67,2104.3,1891.77,1697.7,1309.53,1514.54,1731.13,2735.64,3078.99,2741.02
Other Liabilities,490.53,448.24,484.57,576.68,655.83,969.46,1193.83,1303.14,1549.5,2144.86
Total,3538.39,3328.15,3478.44,3595.63,3608.45,4522.1,5290.45,6554.86,7624.53,8919.88
Net Block,2576.67,2369.93,2751.77,2687.87,2654.13,2706.3,3141.67,3030.96,5280.45,5755.94
Capital Work in Progress,22.74,27.46,20.18,15.51,36.7,328.86,399.63,1703.74,46.29,123.72
Investments,69.37,3.86,70.05,258.88,151.93,675.36,491.22,640.66,724.26,930.66
Other Assets,869.61,926.9,636.44,633.37,765.69,811.58,1257.93,1179.5,1573.53,2109.56
Total,3538.39,3328.15,3478.44,3595.63,3608.45,4522.1,5290.45,6554.86,7624.53,8919.88
Receivables,170.8,146.25,139.18,110.81,109.15,73.48,73.79,79.09,217.2,349.54
Inventory,292.59,374.35,334.71,382.94,394.23,346.27,498.19,382.98,519.23,819.29
Cash & Bank,12.05,17.83,15.78,30.11,123.37,26.74,42.03,19.53,22.2,51.7
No. of Equity Shares,136620625,136620600,148530625,155958865,175500850,178243585,178243585,169402344,169402344,169402344
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,137.37,259.8,404.61,564.7,560.31,878.86,557.73,475.2,773.59,1761.95
Cash from Investing Activity,-332.12,-14.45,-33.65,-261.54,40.27,-1115.18,-394.94,-1281.53,-873.74,-948.41
Cash from Financing Activity,172.88,-239.57,-372.74,-288.83,-507.32,139.69,-147.5,783.83,103.05,-786.65
Net Cash Flow,-21.87,5.78,-1.78,14.33,93.26,-96.63,15.29,-22.5,2.9,26.89
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
