COMPANY NAME,IRB INFRASTRUCTURE DEVELOPERS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,65.6,,,,,,,,,
Market Capitalization,39621.68,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,3848.88,5127.95,5845.94,5694.1,6707.02,6852.22,5298.63,5803.7,6401.64,7409
Raw Material Cost,434.48,371.3,268.29,73.01,323.11,436.77,399.08,470.13,418.76,406.33
Change in Inventory,,,,,,,,,,
Power and Fuel,8.23,10.69,12.84,15.16,13.37,12.83,13.62,17.38,12.8,
Other Mfr. Exp,884.22,1691.47,2043.04,2338.07,2807.38,2823.61,1776.67,1926.64,2097.29,
Employee Cost,190.35,247.5,273.77,292.58,286.17,287.35,261.86,287.32,346.16,394.02
Selling and admin,79.51,118.61,100.49,226.25,266.26,242.88,219.01,219.48,223.06,
Other Expenses,34.03,21.43,90.17,60.34,67.18,83.95,276.59,308.05,173.09,3591.7
Other Income,112.87,126.7,123.17,295.36,195.6,252.34,188.8,551.74,299.8,792.76
Depreciation,707.06,853.34,854.79,544.05,539.51,468.31,581.7,682.77,832.12,994.95
Interest,937.43,1070.15,1341.78,976,1126.31,1573.62,1697.28,1894.04,1521.21,1863.32
Profit before tax,686.44,870.16,983.94,1464,1473.33,1175.24,261.62,549.63,1076.95,951.44
Tax,144.08,230.63,268.52,544.35,623.36,454.37,144.47,188.24,356.94,345.62
Net profit,542.91,639.09,715.47,919.66,849.97,720.86,117.15,361.4,720.01,605.82
Dividend Amount,140.58,140.58,175.72,175.72,87.86,175.72,,,800.17,181.17
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1279.11,1433.62,1924.57,1342.95,1514.14,1619.98,1634.22,1745,1968.54,2061.24
Expenses,636.95,852.46,897.35,702.22,782.04,898.02,909.89,1025.67,1149.81,1306.69
Other Income,218.67,249.11,70.83,95.86,56.05,78.94,111.25,129.51,108.75,443.25
Depreciation,192.36,188.86,203.1,191.86,215.03,222.13,236.72,232.69,251.31,274.23
Interest,547.12,399.02,384.95,389.26,367.14,373.28,381.49,434.58,432.7,614.55
Profit before tax,121.35,242.39,510,155.47,205.98,205.49,217.37,181.57,243.47,309.02
Tax,48.67,67.89,146.8,70.17,64.63,75.35,83.61,85.82,56.05,120.14
Net profit,72.68,174.5,363.19,85.31,141.36,130.15,133.77,95.75,187.42,188.88
Operating Profit,642.16,581.16,1027.22,640.73,732.1,721.96,724.33,719.33,818.73,754.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,351.45,351.45,351.45,351.45,351.45,351.45,351.45,603.9,603.9,603.9
Reserves,4009.41,4484.84,4920.15,5341.07,5963.7,6331.43,6549.32,11961.74,12775,13140.61
Borrowings,12576.19,15626.06,13963.09,13831.5,16599.48,9205.14,19218.51,16697.26,16748.2,18653.39
Other Liabilities,22453.48,21699.38,27406.18,20864.89,17549.15,23997.43,15051.95,13218.35,12575.42,12522.41
Total,39390.53,42161.73,46640.87,40388.91,40463.78,39885.45,41171.23,42481.25,42702.52,44920.31
Net Block,31763.76,35148.82,24387.76,31070.86,32943.16,27670.51,27102.12,27271.1,26480.11,25513.75
Capital Work in Progress,4835.33,4019.85,6806.4,5648.46,3796.61,403.03,673.02,62.53,7.54,7.65
Investments,8.78,36.25,145.89,945.47,645.36,4145.86,4798.92,4904.22,5140.93,9642.04
Other Assets,2782.66,2956.81,15300.82,2724.12,3078.65,7666.05,8597.17,10243.4,11073.94,9756.87
Total,39390.53,42161.73,46640.87,40388.91,40463.78,39885.45,41171.23,42481.25,42702.52,44920.31
Receivables,4.91,8.66,70.47,132.62,113.52,440.76,340.31,993.55,1635.23,758.61
Inventory,259.85,308.84,352.71,487.26,442.49,331.36,321.67,317.46,299,293.09
Cash & Bank,1575.7,1500.78,1307.66,1267.84,1560.3,2270.71,2338.97,1743.85,2417.14,1762.6
No. of Equity Shares,351450000,351450000,351450000,351450000,351450000,351450000,351450000,603900000,6039000000,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,1823.48,2339.87,3192.05,2132.33,2709.94,3709.23,866.8,364.11,1764.13,4053.79
Cash from Investing Activity,-2297.01,-3143.98,-2980.95,-2621.47,-4081.38,-4932.01,-8176.07,-1553.43,-650.35,-3644.5
Cash from Financing Activity,475.09,670.89,-201.63,410.16,1437.57,1387.78,7519.88,588.57,-860.5,-477.17
Net Cash Flow,1.55,-133.22,9.47,-78.99,66.12,165,210.62,-600.76,253.28,-67.89
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
