COMPANY NAME,MRS BECTORS FOOD SPECIALITIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1209.45,,,,,,,,,
Market Capitalization,7113.39,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,690.64,783.67,762.12,880.73,988.17,1362.14
Raw Material Cost,,,,,389.85,420.25,411.69,468.45,551.62,761.46
Change in Inventory,,,,,7.07,-3.78,4.24,6.8,0.5,7.37
Power and Fuel,,,,,31.74,41.58,39.22,38.67,48.55,66.45
Other Mfr. Exp,,,,,10.03,10.65,12.06,12.22,12.44,15.92
Employee Cost,,,,,95.69,114.36,123.13,132.52,145.03,172.92
Selling and admin,,,,,81.04,89.21,75.35,86.42,104.45,169.73
Other Expenses,,,,,3.2,7.17,11.54,7.77,3.8,7.82
Other Income,,,,,1.56,2.36,2.89,10.17,6.32,12.02
Depreciation,,,,,28.35,35.18,41.65,44.68,46,53.28
Interest,,,,,6.53,13.19,15.59,9.89,7.38,13.25
Profit before tax,,,,,52.84,50.66,39.02,97.08,75.72,120.7
Tax,,,,,16.95,17.5,8.71,24.8,18.58,30.63
Net profit,,,,,35.89,33.15,30.31,72.28,57.14,90.07
Dividend Amount,,,,,4.3,4.3,4.3,14.1,14.7,17.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,246.26,263.22,252.31,300.77,347.39,367.9,346.08,374.16,414.53,428.86
Expenses,211.6,229.96,226.86,269.66,303.13,316.66,297.85,316.22,349.87,367.67
Other Income,1.65,1.64,1.48,1.86,2.62,3.09,4.48,4.55,3.17,4.7
Depreciation,10.89,12.04,11.99,12.59,13.53,13.74,13.42,13.89,15,16.15
Interest,1.14,2,2.28,3.21,3.83,3.6,2.27,1.83,2.87,3.39
Profit before tax,24.28,20.86,12.66,17.17,29.52,36.99,37.02,46.77,49.96,46.35
Tax,6.19,5.35,2.45,4.43,7.62,9.21,9.37,11.92,12.68,11.74
Net profit,18.09,15.51,10.2,12.73,21.91,27.78,27.65,34.85,37.28,34.61
Operating Profit,34.66,33.26,25.45,31.11,44.26,51.24,48.23,57.94,64.66,61.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,57.27,57.27,57.27,58.75,58.82,58.82
Reserves,,,,,209.35,237.48,262.15,372.5,410.16,485.5
Borrowings,,,,,139.06,164.93,133.85,132.25,135.79,127.3
Other Liabilities,,,,,105.38,117.36,112.61,117.67,117.38,159.74
Total,,,,,511.06,577.04,565.88,681.17,722.15,831.36
Net Block,,,,,261.12,362.61,353.88,354.35,411.16,426.28
Capital Work in Progress,,,,,92.08,15.56,6.66,55.27,11.94,48.71
Investments,,,,,3.9,3.79,3.83,10.09,10.71,11
Other Assets,,,,,153.96,195.08,201.51,261.46,288.34,345.37
Total,,,,,511.06,577.04,565.88,681.17,722.15,831.36
Receivables,,,,,69.38,100.33,75.02,71.97,74.97,90.33
Inventory,,,,,35.35,35.28,43.37,56.91,78.68,81.45
Cash & Bank,,,,,10.73,12.03,30.25,84.75,83.08,74.85
No. of Equity Shares,,,,,57267922,57267922,57267922,58746514,58815325,58817474
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,109.49,110.28,84.25,164.06
Cash from Investing Activity,,,,,,,-43.23,-124.73,-56.51,-150.97
Cash from Financing Activity,,,,,,,-51.09,28.48,-30.01,-36.58
Net Cash Flow,,,,,,,15.17,14.04,-2.26,-23.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,336.6,280.35,533.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,5.73,5.73,5.73,5.87,5.88,5.88
