COMPANY NAME,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,637.05,,,,,,,,,
Market Capitalization,9365.12,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,4847.19,4641.51,4551.9,4588.77,5837.31,5896.02,5162.42,5128.69,8642.29,10226.93
Raw Material Cost,3075.44,2685.27,2399.51,2189.31,2529.84,2909.86,2776.93,2259.59,3964.36,5074.14
Change in Inventory,38.73,-99.11,15.32,-2.51,-2.89,49.24,39.17,-68.53,-18.83,85.42
Power and Fuel,511.24,638.8,679.04,782.59,891.66,893.99,833.01,770.35,1118.79,1996.79
Other Mfr. Exp,212.03,308.89,263.47,227.28,246.31,316.57,240.74,263.05,319.54,354.32
Employee Cost,253.53,377.31,357.07,374.42,395.05,523.72,513.38,451.57,468.08,605.84
Selling and admin,183.28,178.56,280.62,317.66,261.5,249.04,228.24,222.92,233.98,249.5
Other Expenses,33.93,374.09,24.64,42.16,117.73,178.23,67.42,89.35,134.93,153.24
Other Income,45.05,51.72,252.37,517.09,139.82,214.85,152.51,237.23,209.42,361.23
Depreciation,145.31,208.77,250.82,251.44,270.47,262.95,264.33,272.3,291.69,302.94
Interest,92.37,274.5,296.72,203.44,99.71,6.38,5.27,19.95,3.46,5.26
Profit before tax,423.84,-452.07,267.7,715.05,1161.97,819.37,424.78,948.31,2298.05,1931.55
Tax,131.56,,95.02,193.75,372.45,78.2,-74.07,259.1,594.3,467.57
Net profit,292.27,-452.07,172.68,521.3,789.52,741.17,498.85,689.21,1703.75,1463.98
Dividend Amount,54.4,,31.08,77.71,116.56,108.79,77.71,124.34,155.42,466.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2095.93,2380,2772,2696,2587,2673,2271,1652,2080,2088
Expenses,1665.06,1706,1887,1933,2278,2235,1902,1547,1911,2004
Other Income,57.7,48,61,76,85,77,123,88,152,121
Depreciation,70.89,76,75,76,77,76,74,76,78,76
Interest,0.76,1,,2,1,1,1,1,1,7
Profit before tax,416.92,645,871,761,316,438,417,116,242,122
Tax,134.62,106,228,192,79,114,83,31,64,27
Net profit,282.3,539,643,569,237,324,334,85,178,95
Operating Profit,430.87,674,885,763,309,438,369,105,169,84
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,155.42,155.42,155.42,155.42,155.42,155.42,155.42,155.42,155.42,155.42
Reserves,2790.14,2324.76,3122.12,3646.17,4302.56,4841.68,5067.08,5828.25,7743.42,8850.94
Borrowings,3903.93,3843.69,3101.35,1958.92,303.03,207.93,860.49,4.06,1.77,1.98
Other Liabilities,2420.25,2164.16,2129.83,2142.04,2411,2336.57,2261.37,2321.49,2763.65,2612.96
Total,9269.74,8488.03,8508.72,7902.55,7172.01,7541.6,8344.36,8309.22,10664.26,11621.3
Net Block,4873.49,4468.11,4366.65,4442.22,4161.12,3958.91,3810.46,3720.35,3578.24,3381.35
Capital Work in Progress,23.25,13.26,8.97,14.41,13.67,25.36,81.9,160.9,137.72,187.01
Investments,132.15,145.36,728.95,762.44,726,731.65,595.93,853.37,1221.76,3106.44
Other Assets,4240.85,3861.3,3404.15,2683.48,2271.22,2825.68,3856.07,3574.6,5726.54,4946.5
Total,9269.74,8488.03,8508.72,7902.55,7172.01,7541.6,8344.36,8309.22,10664.26,11621.3
Receivables,1454.72,1355.24,1485.22,1111.53,1120.08,1240.19,1413.42,509.55,625.1,367.44
Inventory,824.59,749.77,701.26,661.79,680.64,829.03,934.84,822.28,998.03,1147.73
Cash & Bank,173.42,15.94,9.89,12.51,16.15,234.91,189,1450.73,1181.94,1993.91
No. of Equity Shares,155418783,155418783,155418783,155418783,155418783,155418783,155418783,155418783,155418783,155418783
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,11.09,490.08,996.25,1445.18,1818.58,701.15,285.74,1884.4,1966.66,1373.08
Cash from Investing Activity,-393.83,-283.83,35.81,-52.77,49.48,-310.27,-900.91,-855.81,-1898.76,-1229.43
Cash from Financing Activity,334.41,-362.56,-1036.94,-1072.73,-1400.04,-184.93,546.02,-933.66,-130.27,-160.1
Net Cash Flow,-48.33,-156.3,-4.88,319.68,468.02,205.95,-69.15,94.93,-62.37,-16.45
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,78.3,68.1,81.6,287.05,363.95,305.95,114.7,300.2,844.45,509.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
