COMPANY NAME,QUESS CORP LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,627.15,,,,,,,,,
Market Capitalization,9325.67,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1006.01,2567.06,3435.01,4314.93,6167.26,8526.99,10991.48,10836.9,13691.78,17158.39
Raw Material Cost,,,48.14,71.38,142.22,262.41,267.06,200.75,278.73,479.44
Change in Inventory,,,,,,,,,,
Power and Fuel,1.4,2.78,4.83,10.82,19.12,33.5,42.64,26.06,28.73,38.55
Other Mfr. Exp,30.13,96.79,69.92,194.04,304.73,434.95,378.45,365.36,617.57,754.98
Employee Cost,909.53,2268.37,3006.92,3633.95,5079.32,6713.21,9063.44,9296.84,11686.99,14659.56
Selling and admin,22.74,62.67,133.71,152.8,250.19,582.92,533.24,342.57,407.28,545.52
Other Expenses,2.09,5.1,20.01,12.23,9.46,40.99,56.31,155.91,48.16,91.56
Other Income,2.2,5.7,9.05,14.66,50.49,70.98,-616.81,77.72,27.02,79.92
Depreciation,4.24,10.14,14.39,33.3,74.74,123.15,248.61,228.53,212.05,274.61
Interest,9.18,22.7,31.44,48.76,76.51,117.39,169.33,113.96,81.73,109.72
Profit before tax,28.9,104.21,114.7,172.31,261.46,289.45,-384.41,184.64,357.56,284.37
Tax,9.73,36.99,33.52,50.44,-48.31,32.89,47.48,110.95,106.58,61.46
Net profit,17.86,67.22,81.18,121.9,310.99,256.74,-444.69,57.88,241.23,224.42
Dividend Amount,,,,,,,,103.38,59.2,118.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3227.84,3684.98,3792.05,3979.32,4273.31,4465.56,4440.21,4600.21,4748.34,4841.83
Expenses,3115.95,3506.14,3607.89,3825.98,4138.61,4320.07,4288.24,4446.33,4584.82,4660.84
Other Income,16.07,2.87,3.28,7.3,8.81,60.3,3.71,4.08,13.54,-14.65
Depreciation,48.63,49.38,64.28,60.99,67.6,69.54,76.49,68.57,69.66,71.82
Interest,19.52,18.38,19.52,20.4,26.34,28.97,30.9,27.24,28.13,35.39
Profit before tax,59.81,113.95,103.64,79.25,49.57,107.28,48.29,62.15,79.27,59.13
Tax,18.57,25.43,27.02,11.54,9.96,21.88,18.3,14.04,8.5,-4.51
Net profit,37.56,83.82,73.68,66.85,42.07,87.79,33.12,47.81,71.75,63.89
Operating Profit,111.89,178.84,184.16,153.34,134.7,145.49,151.97,153.88,163.52,180.99
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,19,25.77,113.34,126.79,145.48,146.09,147.51,147.68,147.99,148.23
Reserves,88.36,226.15,243.29,1177.98,2315.28,2579.5,2128.43,2195.43,2289.76,2420.52
Borrowings,64.22,223.58,393.3,778.55,1166.36,831.19,1472.73,790.94,914.61,1011.33
Other Liabilities,226.61,243.6,500.11,780.19,1271.29,1454.8,1569.73,1586.12,2092.51,2538.7
Total,398.19,719.1,1250.04,2863.51,4898.41,5011.58,5318.4,4720.17,5444.87,6118.78
Net Block,85.19,129.3,252.17,1171.58,1631.63,1656.36,1486.98,1504.75,1656.9,1795.76
Capital Work in Progress,,,2.39,7.72,2.35,14.72,4.64,30.89,15.31,18.11
Investments,,,3.66,77.64,286.17,128.45,105.86,53.81,102.15,49.52
Other Assets,313,589.8,991.82,1606.57,2978.26,3212.05,3720.92,3130.72,3670.51,4255.39
Total,398.19,719.1,1250.04,2863.51,4898.41,5011.58,5318.4,4720.17,5444.87,6118.78
Receivables,124.48,274.59,405.28,509.4,920.68,913.19,998.21,1799.54,2332.3,2688.59
Inventory,0.44,0.44,1.83,7.09,8.49,22.08,28.38,29.03,27.48,28.16
Cash & Bank,29.08,81.83,109.35,462.6,836.51,585.5,758.72,564.57,511.93,566.11
No. of Equity Shares,18997000,25774000,113335056,126790961,145484178,146084833,147510694,147678864,147990557,148229488
New Bonus Shares,,,85001292,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,15.31,38.46,-49.52,68.37,108.67,201.58,361.1,715.36,553.88,466.26
Cash from Investing Activity,-65.98,-69.19,-9.56,-574.42,-793.65,182.33,-170.2,-105.21,-187.88,4.06
Cash from Financing Activity,63.84,79.78,85.85,706.81,947.54,-445.25,13.46,-833.55,-441.25,-443.21
Net Cash Flow,13.17,49.04,26.76,200.77,262.56,-61.34,204.35,-223.41,-75.25,27.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,667.73,994.25,722.23,213.15,698.8,659.05,369.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
