COMPANY NAME,NESTLE INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,2513.45,,,,,,,,,
Market Capitalization,242388.58,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Sales,9854.84,8175.31,9141.34,10009.6,11292.27,12368.9,13350.03,14740.59,16896.96,19126.3
Raw Material Cost,3833.24,2908.6,3227.26,3696.99,3829.22,4520.91,4901.74,5301.26,6660.42,8472.72
Change in Inventory,67.43,-11.97,7.66,79.56,6.01,144.19,69.33,67.59,250.27,40.01
Power and Fuel,384.33,221.99,232.79,288.44,344.18,340.53,313.68,408.06,572.61,
Other Mfr. Exp,955.26,718.95,850.85,897.84,949.86,1028.55,1040.36,1349.48,1603.48,
Employee Cost,837.05,912.75,901.57,1017.45,1124.15,1258.17,1500.95,1529.94,1635.46,1849.18
Selling and admin,1680.48,1615.41,1751.78,1823.98,2145.82,2226.13,2246.9,2902.12,3192.15,
Other Expenses,192.66,230.71,334.91,267.93,287.4,212.92,214.23,-245.08,-223.18,4373.42
Other Income,86.87,-390.75,140.12,176.92,258.92,246.88,145.85,-112.38,107.26,115.5
Depreciation,337.54,347.26,353.67,342.25,335.67,370.15,370.38,391.02,403.01,428.91
Interest,14.23,3.29,90.91,91.9,111.95,129.12,164.18,201.68,154.57,119.29
Profit before tax,1774.35,813.63,1545.38,1839.3,2428.95,2673.49,2812.79,2857.32,3255.97,4038.29
Tax,589.66,250.36,544.02,614.11,822.02,705.05,730.36,738.91,865.45,1039.62
Net profit,1184.69,563.27,1001.36,1225.19,1606.93,1968.44,2082.43,2118.41,2390.52,2998.67
Dividend Amount,607.45,467.64,607.45,829.21,1108.83,3297.56,1928.4,1928.4,2121.24,1677.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,3747.98,3992.64,4045.69,4601.84,4256.79,4830.53,4658.53,5036.82,4600.42,5267.59
Expenses,2889.29,3071.69,3231.16,3597.76,3283.78,3735.05,3603.01,3811.95,3505.3,3918.77
Other Income,-209.14,21.44,19.37,30.64,29.55,33.69,23.95,139.69,-77,36.83
Depreciation,105.96,104.51,101.68,98.17,98.66,101.7,107.36,111.16,108.69,108.87
Interest,43.59,35.58,36.97,37.19,44.83,37.01,32.78,31.38,22.95,26.2
Profit before tax,500,802.3,695.25,899.36,859.07,990.46,939.33,1222.02,886.48,1250.58
Tax,120.52,211.53,185.01,237.9,231.01,253.82,240.99,313.94,230.87,316.41
Net profit,379.48,590.77,510.24,661.46,628.06,736.64,698.34,908.08,655.61,934.17
Operating Profit,858.69,920.95,814.53,1004.08,973.01,1095.48,1055.52,1224.87,1095.12,1348.82
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Equity Share Capital,96.42,96.42,96.42,96.42,96.42,96.42,96.42,96.42,96.42,96.42
Reserves,2740.79,2721.42,3185.91,3324.17,3577.32,1822.45,1922.92,1849.96,2362.75,2362.75
Borrowings,19.57,17.73,33.15,35.14,35.14,188.94,147.49,266.46,270.52,270.52
Other Liabilities,2962.72,3250.76,3494.98,3906.86,4379.2,5065.13,5732.9,6021.29,6249.05,6249.05
Total,5819.5,6086.33,6810.46,7362.59,8088.08,7172.94,7899.73,8234.13,8978.74,8978.74
Net Block,3176.64,2897.85,2730.14,2616.18,2400.62,2341.45,2179.41,2994.67,3043.7,3043.7
Capital Work in Progress,244.78,230.79,188.17,94.16,105.2,143.3,638.58,246.23,358.36,358.36
Investments,811.82,1324.92,1755.66,1978.87,2658.49,1751.05,1463.77,773.98,777.54,777.54
Other Assets,1586.26,1632.77,2136.49,2673.38,2923.77,2937.14,3617.97,4219.25,4799.14,4799.14
Total,5819.5,6086.33,6810.46,7362.59,8088.08,7172.94,7899.73,8234.13,8978.74,8978.74
Receivables,99.1,78.42,97.93,88.97,124.59,124.33,164.93,165.97,191.89,191.89
Inventory,844.1,820.81,940.06,902.47,965.55,1283.07,1416.48,1592.65,1928.77,1928.77
Cash & Bank,445.82,499.55,880,1457.42,1610.06,1308.05,1769.87,735.41,945.55,945.55
No. of Equity Shares,96415716,96415716,96415716,96415716,96415716,96415716,96415716,96415716,96415716,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Cash from Operating Activity,1644.02,1098.1,1465.91,1817.79,2052.45,2295.25,2454.48,2236,2737.43,3392.19
Cash from Investing Activity,-431.7,-70.48,-125.9,-130.56,-52.41,82.99,-321.46,-1920.33,-391.73,-926.99
Cash from Financing Activity,-1635.28,-498.32,-665.61,-996.62,-1317.42,-3601.53,-1955.89,-2019.97,-2122.74,-2436.47
