COMPANY NAME,GODFREY PHILLIPS INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,3469,,,,,,,,,
Market Capitalization,18017.3,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2477.31,2585.7,2330.69,2402.64,2325.64,2497.23,2876.57,2525.33,2687.57,3562.49
Raw Material Cost,978.02,1131.25,1047.35,1153.96,1064.25,1086.57,1271.52,1307.26,1217.32,1832.32
Change in Inventory,-20.17,38.04,-2.2,-115.91,-130.04,13.47,10.29,84.11,-8.45,50.82
Power and Fuel,31.55,30.59,28.99,30.33,32.02,42.91,47.95,36.76,38.7,47.08
Other Mfr. Exp,42.39,37.22,35.89,38.97,64.25,81.42,95.11,87.42,95.93,111.01
Employee Cost,238.96,272.35,264.18,263.04,238.98,280.7,278.44,266.63,278.27,308.37
Selling and admin,655.71,684.64,512.19,424.02,517.01,577.6,536.55,278.7,309.45,370.05
Other Expenses,143.91,100.83,115.69,122.85,18.82,38.16,65.03,91.81,106.14,140.93
Other Income,12.32,31.58,36.58,47.01,72.87,79.24,106.7,118.59,114.07,251.67
Depreciation,91.05,108.19,106.79,97.84,98.43,98.57,155.22,141.3,145.21,153.63
Interest,29,19.15,10.13,3.56,1.67,0.97,30.23,30.85,33.94,29.01
Profit before tax,258.87,271.1,243.86,199.17,233.04,383.04,513.51,487.3,568.23,872.58
Tax,84.07,88.6,74.21,62.31,73.99,122.78,128.74,110.84,130.22,182.16
Net profit,175.54,183.32,169.67,137.23,159.11,260.31,384.87,376.51,438.07,690.47
Dividend Amount,41.6,41.6,41.6,41.6,41.6,41.6,124.8,124.8,145.6,228.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,645.71,705.97,724.42,827.53,1019.29,919.54,796.14,1046.48,1157.64,1249.68
Expenses,498.34,530.91,560.53,626.47,778.6,709.79,644.08,793.63,934.04,1021.94
Other Income,34.79,26.94,24.6,2.34,43.09,78.58,44.04,52.69,38,57.2
Depreciation,35.63,37.48,37.1,38.45,39.05,38.71,37.42,36.77,36.48,36.28
Interest,7.57,7.59,11.34,6.39,6.75,6.62,9.25,6.75,6.6,5.74
Profit before tax,138.96,156.93,140.05,158.56,237.98,243,149.43,262.02,218.52,242.92
Tax,34.05,40.06,36.17,27.51,59.79,55.96,38.89,41.05,55.51,60.12
Net profit,104.94,117.03,103.74,142.3,201.82,199.25,147.1,254.45,202.08,212.35
Operating Profit,147.37,175.06,163.89,201.06,240.69,209.75,152.06,252.85,223.6,227.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4
Reserves,1173.9,1302.26,1565.5,1650.05,1782.95,2028.32,2176.93,2571.67,2917.18,3537.53
Borrowings,238.78,276.56,131.59,73.39,26.83,41.18,355.73,394.59,335.8,353.76
Other Liabilities,518.04,484.23,451.79,473.82,644.64,785.74,752.09,755.06,838.21,1066.54
Total,1941.12,2073.45,2159.28,2207.66,2464.82,2865.64,3295.15,3731.72,4101.59,4968.23
Net Block,706.52,674.98,694.74,699.96,650.04,694.38,1015.01,1034,982.51,931.61
Capital Work in Progress,45.61,65.42,48.76,13.24,18.08,14.34,17.28,26.41,41.61,22.11
Investments,326.88,273.01,409.86,507.18,924.46,1231.6,1250.57,1553.71,1843.75,2668.92
Other Assets,862.11,1060.04,1005.92,987.28,872.24,925.32,1012.29,1117.6,1233.72,1345.59
Total,1941.12,2073.45,2159.28,2207.66,2464.82,2865.64,3295.15,3731.72,4101.59,4968.23
Receivables,103.53,129.82,107.93,178.98,85.83,68.64,68.87,122.99,154.64,149.52
Inventory,590.17,743.58,737.86,651.7,585.35,641.55,687.95,743.11,828.71,928.15
Cash & Bank,26.1,27.73,31.19,31.47,43.62,45.58,48.1,46.1,49.97,40.3
No. of Equity Shares,10398784,51993920,51993920,51993920,51993920,51993920,51993920,51993920,51993920,51993920
New Bonus Shares,,,,,,,,,,
Face value,10,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,295.78,63.47,319.13,245.3,515.76,361.9,375.02,309.83,478.6,735.92
Cash from Investing Activity,-140.2,-32.3,-118.89,-124.57,-404.88,-309.86,-71.59,-297.58,-234.32,-540.75
Cash from Financing Activity,-158.09,-30.63,-197.45,-124.86,-99.12,-43.42,-303.33,-15.94,-237.98,-206.28
Net Cash Flow,-2.51,0.54,2.79,-4.13,11.76,8.62,0.1,-3.7,6.3,-11.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
