COMPANY NAME,MASTEK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,2414.2,,,,,,,,,
Market Capitalization,7467.13,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1012.58,526.93,560.16,817.21,1033.21,1071.48,1721.86,2183.84,2563.39,3054.79
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,7.51,4.08,3.85,3.34,2.8,2.5,1.99,1.98,2.61,
Other Mfr. Exp,183.71,22.34,13.13,13.66,16.57,23.43,47.93,50.96,51.47,
Employee Cost,620.55,281.13,323.24,480.94,587.17,584.14,882.72,1095.45,1375.88,1670.91
Selling and admin,111.59,182.2,159.95,209.72,285.76,293.7,402.34,531.7,638.06,
Other Expenses,41.78,18.99,14.52,9.88,9.37,12.16,22.41,41.22,39.52,875.21
Other Income,13.64,14.85,12.29,20.98,25.33,17.04,27.91,36.06,63.61,11.9
Depreciation,37.33,16.05,14.93,18.76,17.35,24.89,44.95,42.87,67.37,89.91
Interest,1.47,0.5,3.77,5.86,6.13,3.62,8.1,7.68,24.72,44.47
Profit before tax,22.28,16.49,39.06,96.03,133.39,144.08,339.33,448.04,427.37,386.19
Tax,4.55,2.75,6.65,26.07,31.92,30.27,87.58,114.62,117.1,75.22
Net profit,17.73,13.74,32.41,69.96,101.47,108.86,209.35,295.13,293.01,300.29
Dividend Amount,5.64,5.75,8.18,14.22,20.38,19.42,36.6,57.04,57.99,58.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,551.91,581.53,570.25,625.3,658.66,709.18,725.25,765.54,784.27,779.73
Expenses,435.68,460.84,461.03,517.9,544.95,583.66,598.26,642.5,650.74,654.62
Other Income,5.74,17.93,25.76,32.23,6.03,-0.41,2.36,0.72,3.37,5.45
Depreciation,10.55,12.16,11.09,17.09,19.59,19.6,19.7,20.9,21.82,27.49
Interest,1.6,2.52,1.97,5.25,8.24,9.26,9.31,12.6,13.34,9.22
Profit before tax,109.82,123.94,121.92,117.29,91.91,96.25,100.34,90.26,101.74,93.85
Tax,26.37,35.71,37.56,31.09,24.79,23.66,26.81,24.97,24,-0.56
Net profit,73.64,79.9,77.16,79.1,64.18,72.57,70.09,62.82,75.32,92.06
Operating Profit,116.23,120.69,109.22,107.4,113.71,125.52,126.99,123.04,133.53,125.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,11.27,11.5,11.69,11.85,11.99,12.14,12.62,15.01,15.26,15.42
Reserves,584.58,307.83,457.37,537.43,704.41,778.32,845.92,1056.35,1668.15,2084.99
Borrowings,29.29,0.48,65.53,69.99,70.37,334.64,273.05,202.83,403.34,518.96
Other Liabilities,206.55,108.13,170.32,202.06,179.36,762.57,1145.85,1192.74,1024.54,1058.53
Total,831.69,427.94,704.91,821.33,966.13,1887.67,2277.44,2466.93,3111.29,3677.9
Net Block,278.87,65.74,179.78,178.86,167.39,856.74,806.8,841.03,1740.25,1949.93
Capital Work in Progress,1.31,0.14,0.22,2.08,1.41,1.67,1.54,4.35,6.66,0.94
Investments,53.62,49.91,273.84,284.07,396.16,275.58,234.1,25.65,68.71,93.81
Other Assets,497.89,312.15,251.07,356.32,401.17,753.68,1235,1595.9,1295.67,1633.22
Total,831.69,427.94,704.91,821.33,966.13,1887.67,2277.44,2466.93,3111.29,3677.9
Receivables,133.49,97.13,85.09,174.02,208.49,315.72,374.88,435.57,506.63,541.17
Inventory,,,,,,,,,,
Cash & Bank,163.04,88.71,47.97,88.02,93.39,220.97,608.12,766.93,208.43,382.61
No. of Equity Shares,22546672,22997274,23377533,23692056,23972803,24289472,25232889,30018021,30524827,
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,58.54,31.5,42.85,64.88,75.07,184.47,287.14,273.49,107.67,419.94
Cash from Investing Activity,-27.74,-83.83,-126.95,-18.04,-53.7,-262.05,217.78,-26.02,-719.18,-256.06
Cash from Financing Activity,22,-4.42,64.59,-6.83,-16.15,204.96,-117.64,-128.5,92.57,1.83
Net Cash Flow,52.81,-56.76,-19.51,40.01,5.22,127.38,387.28,118.97,-518.94,165.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,426.6,143.25,181.2,530.5,443.45,189.75,1219.65,3321.8,1541,2543
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.25,2.3,2.34,2.37,2.4,2.43,2.52,3,3.05,3.08
