COMPANY NAME,SPANDANA SPHOORTY FINANCIAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,785.25,,,,,,,,,
Market Capitalization,5597.23,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,303.31,344.83,378.05,587.27,1036.28,1409.49,1443.83,1376.34,1328.66,2299.76
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,1,0.88,0.88,0.94,1.22,1.45,1.66,1.89,1.34,
Other Mfr. Exp,,,,,4.5,4.18,7.61,7.72,19.12,
Employee Cost,70.74,57.21,58.19,76.18,130.9,167.95,167.45,217.89,296.82,450.94
Selling and admin,25.92,22.5,25.79,22.1,20,21.47,31.56,96.92,85.31,
Other Expenses,6.77,138.68,110.84,-32.56,50.67,282.04,652.09,478.75,516.38,412.84
Other Income,22.09,250.82,21.61,0.23,5.43,31.93,20.92,15.26,65.76,107.15
Depreciation,3.31,3.7,8.33,5.72,6.92,8.74,7.49,8.55,10.68,19.73
Interest,111.77,129.44,150.04,232.39,358.12,357.45,419.26,515.3,446.52,897.38
Profit before tax,105.89,243.24,45.59,282.73,469.38,598.14,177.63,64.58,18.25,626.02
Tax,0.78,,-397.83,94.75,160.64,261.44,48.66,17.95,5.91,158.14
Net profit,105.1,243.24,443.41,187.97,308.75,336.69,128.98,46.64,12.34,467.88
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,327.72,263.17,232.13,281.04,340.15,475.34,486.85,584.3,591.22,637.41
Expenses,144.15,147.85,450.88,126.62,141,202,154.86,230.86,217.23,260.84
Other Income,2.95,11.68,8.45,12.07,15.28,30,15.09,29.61,30.33,32.13
Depreciation,2.32,2.6,2.17,2.34,2.51,3.67,3.12,4.53,5.5,6.58
Interest,131.6,101.85,92.45,88.26,118.1,146.24,195.24,222.89,240.68,238.57
Profit before tax,52.6,22.55,-304.92,75.89,93.82,153.43,148.72,155.63,158.14,163.55
Tax,12.87,4.28,-82.23,26.37,24.55,37.22,37.6,39.32,39.87,41.35
Net profit,39.73,18.27,-222.69,49.53,69.27,116.21,111.13,116.31,118.27,122.2
Operating Profit,183.57,115.32,-218.75,154.42,199.15,273.34,331.99,353.44,373.99,376.57
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,20.38,20.38,28.45,29.76,59.63,64.32,64.32,69.1,70.98,71.3
Reserves,-864.18,-627.3,-1.89,215.53,1826.74,2543.82,2651.59,2887.44,2972.2,3484.69
Borrowings,1023.23,918.8,933.47,2331.38,2945.11,3016.21,5197.43,3631.46,5934.2,9012.16
Other Liabilities,2173.04,1788.01,968.6,1187.6,66.56,317.43,432.73,275.7,208.26,301.43
Total,2352.47,2099.89,1928.63,3764.27,4898.04,5941.78,8346.07,6863.7,9185.64,12869.58
Net Block,5.59,14.47,9.01,8.46,9.24,16.43,20.47,13.52,29.31,32.18
Capital Work in Progress,5.59,,,,,,,,,
Investments,0.1,0.1,0.1,2.1,64.64,549.86,114.62,114.62,306.36,328.78
Other Assets,2341.19,2085.32,1919.52,3753.71,4824.16,5375.49,8210.98,6735.56,8849.97,12508.62
Total,2352.47,2099.89,1928.63,3764.27,4898.04,5941.78,8346.07,6863.7,9185.64,12869.58
Receivables,1.86,1.83,1.46,2.55,3.55,22.37,12.11,,,
Inventory,,,,,,,,,,
Cash & Bank,59.09,35.33,292.43,205.75,348.22,250.72,1376.11,1199.07,1001.53,1870
No. of Equity Shares,20380767,20380767,28449393,29756818,59633683,64315483,64315483,69094530,70983269,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-181.86,113.93,-58.88,-1855.12,-649.78,-53.67,-1618.18,819.9,-2052.51,-2503.44
Cash from Investing Activity,-7.02,-9.57,-1.21,-5.55,-59.28,-485.19,514.44,44.87,-177.63,-10.37
Cash from Financing Activity,222.19,-128.13,314.89,1673.06,751.95,447.07,2180.9,-1271.56,2316.51,3089
Net Cash Flow,33.32,-23.76,254.79,-187.61,42.9,-91.79,1077.16,-406.79,86.37,575.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,587.45,606.2,331.9,532.85,840.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.04,2.04,2.84,2.98,5.96,6.43,6.43,6.91,7.1,7.13
