COMPANY NAME,SUN PHARMACEUTICALS INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,1494.65,,,,,,,,,
Market Capitalization,358663.74,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,16080.36,27392.01,28487.03,31578.44,26489.46,29065.91,32837.5,33498.14,38654.49,43885.68
Raw Material Cost,2855.86,6624.68,6724.15,8402.37,7193.98,8302.08,8929.6,9328.3,10459.15,11349.07
Change in Inventory,76.54,-114.49,393.77,271.63,-230.7,433.11,-300.85,638.22,107.61,686.91
Power and Fuel,232.41,560.77,545.44,525.09,559.97,613.6,621.89,627.09,702.78,830.05
Other Mfr. Exp,813.85,1427.56,1808.55,1973.46,1828.35,1884.71,1690,1723.78,1880.71,1936.77
Employee Cost,2074.44,4502.64,4772.31,4902.3,5367.05,5967.09,6362.35,6862.23,7300.83,8296.03
Selling and admin,2373.26,5131.37,5219.2,5224.61,4727,5350.33,6995.37,6283.41,7366.88,9482.36
Other Expenses,804.53,1136.68,1637.25,720.22,950.99,1004.23,954.6,841.59,794.18,901.77
Other Income,-1967.96,282.79,-42.5,610.4,-135.03,-258.28,382.26,-3449.21,-3505.16,333.32
Depreciation,409.23,1194.72,1037.53,1264.75,1499.84,1753.25,2052.78,2079.95,2143.74,2529.43
Interest,44.19,578.99,523.24,399.8,517.57,555.25,302.73,141.43,127.35,172
Profit before tax,4581.17,6402.9,6570.63,9047.87,3478.98,3810.2,5009.59,2799.37,4481.32,9408.43
Tax,702.17,914.69,913.77,1211.57,911.04,600.88,822.8,514.69,1075.5,847.59
Net profit,3141.47,4539.38,4545.71,6964.37,2095.7,2665.42,3764.93,2903.82,3272.73,8473.58
Dividend Amount,310.68,621.36,240.66,839.76,479.86,659.81,959.72,1799.48,2399.3,2759.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,9625.93,9863.06,9446.76,10761.76,10952.28,11240.97,10930.67,11940.84,12192.41,12380.7
Expenses,6995.99,7256.73,7106.39,7877.37,7995.73,8237.25,8128.54,8609.07,9013.03,8903.87
Other Income,222.89,432.51,-3822.16,2.14,85.22,173.88,201.83,-118.43,293.61,180.39
Depreciation,530.37,553.68,556.47,588,609.95,659.95,671.53,651.32,632.82,622.14
Interest,35.95,18.97,37.34,13.69,19.39,46.18,92.74,80.88,49.29,34.73
Profit before tax,2286.51,2466.19,-2075.6,2284.84,2412.43,2471.47,2239.69,2481.14,2790.88,3000.35
Tax,197.78,335.39,146.76,188.99,152.26,283.43,222.91,468.1,390.1,432.32
Net profit,2047.01,2058.8,-2277.25,2060.88,2262.22,2166.01,1984.47,2022.54,2375.51,2523.75
Operating Profit,2629.94,2606.33,2340.37,2884.39,2956.55,3003.72,2802.13,3331.77,3179.38,3476.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,207.12,207.12,240.66,239.93,239.93,239.93,239.93,239.93,239.93,239.93
Reserves,18317.83,25430.97,32741.82,36399.74,38074.18,41169.13,45024.52,46222.85,47771.29,55755.45
Borrowings,2560.86,8996.11,8496.76,9831.77,10385.27,10514.36,8314.88,3868.58,1290.3,6885.87
Other Liabilities,8009.34,14088.99,13948.26,14624.01,15598.01,12666.11,14614.99,17290.86,20474.39,17830.65
Total,29095.15,48723.19,55427.5,61095.45,64297.39,64589.53,68194.32,67622.22,69775.91,80711.9
Net Block,6817.28,12682.47,15872.25,17675.17,18852.65,21836.54,22846.91,21552.98,22665.16,24420.12
Capital Work in Progress,841.54,2038.61,2175.45,2801.38,2465.16,1411.15,1220.34,1566.83,1286.8,4973.16
Investments,2786.02,2716.3,1829.88,1191.88,7142.87,7902.53,10143.11,9612.45,12848.59,14830.09
Other Assets,18650.31,31285.81,35549.92,39427.02,35836.71,33439.31,33983.96,34889.96,32975.36,36488.53
Total,29095.15,48723.19,55427.5,61095.45,64297.39,64589.53,68194.32,67622.22,69775.91,80711.9
Receivables,2200.42,5106.13,6775.66,7202.61,7815.28,8884.2,9421.24,9061.4,10484.59,11438.51
Inventory,3123.01,5667.99,6422.54,6832.81,6880.69,7885.98,7874.99,8997.02,8925.13,10513.05
Cash & Bank,7590.15,10998.04,13181.65,15140.84,9929.38,7275.6,6487.55,6445.51,5033.35,5770.29
No. of Equity Shares,2071163910,2071163910,2406605118,2399260815,2399260815,2399334970,2399334970,2399334970,2399334970,2399334970
New Bonus Shares,1035581960,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,3959.2,5615.74,6685.86,7082.21,3907.15,2196.45,6554.77,6170.37,8984.54,4959.33
