COMPANY NAME,HAPPY FORGINGS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,947.5,,,,,,,,,
Market Capitalization,8925.44,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,550.5,750.25,558.09,584.96,860.05,1196.53
Raw Material Cost,,,,,252.4,368.62,234.48,257.26,435.85,547.72
Change in Inventory,,,,,2.34,32.16,-14.54,5.65,47.45,-3.33
Power and Fuel,,,,,48.72,60.01,49.64,46.26,67.65,75.76
Other Mfr. Exp,,,,,40.74,71.1,52.97,56.89,74.88,97.22
Employee Cost,,,,,41.85,50.53,49.08,49.06,68.74,87.86
Selling and admin,,,,,13.48,7.6,4.05,3.35,25.08,34.5
Other Expenses,,,,,18.62,19.19,10.89,19.05,4.41,9.2
Other Income,,,,,3.81,1.33,6.82,5.86,6.06,5.75
Depreciation,,,,,22.98,29.01,28.4,35.76,37.74,54.18
Interest,,,,,21.69,22.94,25.06,11.78,7.16,12.48
Profit before tax,,,,,96.17,154.74,95.8,117.06,192.05,280.03
Tax,,,,,37.87,59.3,15.86,30.61,49.76,71.33
Net profit,,,,,58.31,95.43,79.94,86.45,142.28,208.7
Dividend Amount,,,,,,,,,,11.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,,,,2022-12-31 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,,,,,294.26,343.08,341.99
Expenses,,,,,,,,221.04,249.33,246.8
Other Income,,,,,,,,1.89,0.68,3.32
Depreciation,,,,,,,,15.52,16.19,17.06
Interest,,,,,,,,3.45,4.44,3.78
Profit before tax,,,,,,,,56.14,73.8,77.67
Tax,,,,,,,,14.54,18.53,19.77
Net profit,,,,,,,,41.59,55.26,57.9
Operating Profit,,,,,,,,73.22,93.75,95.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,7.9,8.95,8.95,8.95,17.9,17.9
Reserves,,,,,175.86,469.56,549.53,636.21,769.71,970.4
Borrowings,,,,,300.54,155.72,104.93,149.81,240.35,218.51
Other Liabilities,,,,,91.82,84.65,99.6,79.21,101.91,119.35
Total,,,,,576.12,718.88,763.01,874.18,1129.87,1326.16
Net Block,,,,,284.99,290.82,275.45,414.65,456.19,678.44
Capital Work in Progress,,,,,8.9,46.14,109.14,40.37,212.26,74.75
Investments,,,,,,30.27,,,0.41,
Other Assets,,,,,282.23,351.65,378.42,419.16,461.01,572.97
Total,,,,,576.12,718.88,763.01,874.18,1129.87,1326.16
Receivables,,,,,172.41,169.13,137.85,165.57,222.04,308.06
Inventory,,,,,76.09,97.73,75.65,121.57,183.98,169.6
Cash & Bank,,,,,7.06,5.08,55.76,27.78,1.46,0.34
No. of Equity Shares,,,,,789700,894990,894990,894990,89499000,89499000
New Bonus Shares,,,,,,,,,,
Face value,,,,,100,100,100,100,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,136.4,168.71,49.85,80.28,209.46
Cash from Investing Activity,,,,,,-162.1,-118.92,-58.69,-165.66,-172.45
Cash from Financing Activity,,,,,,26.63,-49.99,9.67,82.52,-37.01
Net Cash Flow,,,,,,0.94,-0.19,0.84,-2.87,-0.01
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,0.08,0.09,0.09,0.09,8.95,8.95
