COMPANY NAME,ION EXCHANGE (INDIA) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,518.05,,,,,,,,,
Market Capitalization,7600.22,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,786.7,798.45,868.11,1008.91,1045.81,1162.28,1479.83,1449.52,1576.87,1989.61
Raw Material Cost,547.28,528.29,552.99,721.86,652.48,737.43,967.19,898.08,971.11,1252.06
Change in Inventory,3.9,6.09,-10.59,28.46,-23.11,4.62,11.27,5.69,23.32,6.68
Power and Fuel,11.43,12.1,13.45,13.35,13.37,15.79,16.11,15.66,21.46,24.94
Other Mfr. Exp,6.87,7.41,6.73,8.24,45.09,44.6,66.06,55.86,71.6,72.99
Employee Cost,96.62,97.89,111.19,122.99,138.01,152.37,182.47,175.8,201.18,239.24
Selling and admin,73.87,85.57,92.26,62.5,64.43,70.12,77.32,54.29,73.38,94.14
Other Expenses,18.95,24.67,22.98,34.12,29.22,37.62,44,48.6,45.53,54.78
Other Income,4.83,4.25,6.53,12.21,21.09,33.81,35.71,30.51,42.11,41.7
Depreciation,10.56,12.11,12.61,11.83,13.08,19.59,23.53,27.67,28.04,29.09
Interest,15.09,16.9,17.21,21.04,21.89,21.35,19.25,14.72,12.67,12.05
Profit before tax,14.76,23.85,34.63,53.65,66.22,101.84,130.88,195.04,217.33,258.7
Tax,9.98,12.44,17.72,24.81,26.36,35.93,36.73,51.71,55.64,63.74
Net profit,4.55,9.76,15.31,30.41,40.18,65.26,93.62,143.93,162.77,196.74
Dividend Amount,2.82,4.23,4.24,4.98,4.98,6.4,8.54,14.23,14.23,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,378.19,388.2,496.36,382.4,447.61,512.12,647.48,479.22,532.97,553.85
Expenses,338.47,345.49,401.55,349.49,394.3,449.72,541.11,430.44,472.58,483.27
Other Income,8.17,5.55,21.18,15.33,8.25,12.81,5.61,8.69,10.65,9.44
Depreciation,6.99,7.01,7.06,7.05,7.23,7.45,7.36,7.87,8.5,9.62
Interest,2.47,2.26,2.45,2.24,2.3,2.35,2.31,2.05,3.56,3.22
Profit before tax,38.43,38.99,106.48,38.95,52.03,65.41,102.31,47.55,58.98,67.18
Tax,11.2,10.96,23.28,11.57,13.33,17.72,21.12,14.23,16.63,19.94
Net profit,27.42,28.41,83.07,28.02,38.99,48.05,81.68,33.27,42.5,47.46
Operating Profit,39.72,42.71,94.81,32.91,53.31,62.4,106.37,48.78,60.39,70.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,14.09,14.09,14.12,14.23,14.23,14.23,14.23,14.23,14.23,14.23
Reserves,138.12,141.97,156.02,152.51,185.88,245.8,348.92,491.61,641.43,819.26
Borrowings,95.77,86.36,89.51,110.8,164.76,109.65,122.17,62.32,55.22,59.23
Other Liabilities,406.77,436.93,455.65,689.06,699.2,794.52,896.5,875.15,914.3,1046.65
Total,654.75,679.35,715.3,966.6,1064.07,1164.2,1381.82,1443.31,1625.18,1939.37
Net Block,93.64,84.54,102.95,98.96,144.87,160.67,194.04,189.74,192.1,215.41
Capital Work in Progress,1.17,14.39,2.08,33.55,6.58,12.28,11.51,14.6,20.04,41.95
Investments,2.54,2.43,2.46,3.22,4.08,4.51,4.57,4.51,8.66,9.84
Other Assets,557.4,577.99,607.81,830.87,908.54,986.74,1171.7,1234.46,1404.38,1672.17
Total,654.75,679.35,715.3,966.6,1064.07,1164.2,1381.82,1443.31,1625.18,1939.37
Receivables,348.38,358.24,363.02,416.17,437.1,424.17,501.87,448.96,507.7,696.79
Inventory,75.46,79.33,81.35,128.95,101.19,129.76,134.5,127.59,180.96,222.26
Cash & Bank,23.79,26.16,33.42,167.68,263.17,290.41,373.08,505.38,535.9,547.97
No. of Equity Shares,14094285,14094285,14119285,14228785,14228785,14228785,14228785,14228785,14228785,14228785
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,5.22,45.33,49.79,176.32,86.13,126.61,101.79,197.05,91.38,62.73
Cash from Investing Activity,-0.86,-17.35,-25.17,-75.37,-167.12,-69.72,-17.34,-26.58,-92.67,-41.14
Cash from Financing Activity,-6.62,-28.63,-16.66,-3.29,31.14,-78.97,-28.17,-74.7,-26.86,-15.31
Net Cash Flow,-2.26,-0.65,7.96,97.66,-49.85,-22.08,56.28,95.77,-28.15,6.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,9.53,26,30.92,38.88,49.77,39.81,60.24,130.65,166.32,341.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
