COMPANY NAME,GLOBUS SPIRITS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,774.05,,,,,,,,,
Market Capitalization,2230.01,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,496.5,585.67,706.71,773.75,853.21,985.46,1160.81,1224.1,1579.17,2102.78
Raw Material Cost,322.94,351.29,407.49,477.99,516.6,600.57,737.11,644.94,830.2,1265.56
Change in Inventory,14.65,-0.67,-2.4,10.26,-0.31,3.02,25.73,-8.22,-8.18,24.23
Power and Fuel,47.12,56.76,55.83,58.28,84.45,108.98,115.05,115.22,152.94,292.81
Other Mfr. Exp,48.17,58.04,81.29,90.62,107.64,103.39,118.01,100.25,127.36,126.12
Employee Cost,12.21,14.34,15.84,16.97,22.86,25.66,31.18,38.51,50.19,65.22
Selling and admin,33.18,53.53,68.55,80.74,49.78,49.87,46.65,58.02,81.44,125.31
Other Expenses,2.42,2.12,5.4,3.8,2.09,5.78,5.48,3.73,5.05,6.41
Other Income,-3.2,4.17,3.82,4.76,5.4,7.95,4.83,6.56,11.42,7.83
Depreciation,28.48,28.73,42.16,26.87,36.19,36.11,37.86,40.66,42.56,56.33
Interest,10.16,14.07,16.85,17.52,27.14,26.31,23.52,18.83,11.43,17.01
Profit before tax,3.27,10.29,14.72,15.98,11.55,39.76,76.51,202.28,281.24,180.07
Tax,-1.01,3.22,2.18,-0.16,4.52,9.2,17.2,58.29,93.99,57.87
Net profit,4.28,7.07,12.54,16.14,7.02,30.57,59.31,143.99,187.25,122.2
Dividend Amount,,,,,,,2.88,5.76,8.64,17.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,382.22,347.06,479.37,495.41,480.29,592.39,540.96,570.09,567.16,687.49
Expenses,294.43,288.71,395.01,426.82,435.36,533.59,467.7,497.8,529.61,647.29
Other Income,1.57,2.17,1.81,1.71,2.1,1.24,2.77,1.88,3.54,2.88
Depreciation,10.44,10.48,11.31,12.5,12.94,14.92,15.97,16.07,16.24,16.73
Interest,2.39,2.36,2.76,2.2,2.51,5.04,7.26,6.28,7.37,6.83
Profit before tax,76.53,47.68,72.1,55.6,31.58,40.08,52.8,51.82,17.48,19.52
Tax,24.02,17.17,23.53,18.33,9.44,13.14,16.96,13.04,4.42,-25.01
Net profit,52.51,30.51,48.58,37.27,22.14,26.95,35.84,38.78,13.06,44.54
Operating Profit,87.79,58.35,84.36,68.59,44.93,58.8,73.26,72.29,37.55,40.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,23,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8
Reserves,254.57,326.27,334.74,343.5,350.57,381.21,440.08,561.87,743.5,857.83
Borrowings,101.91,144.19,252.95,271.93,251.51,229.82,180.39,187.02,180.31,290.72
Other Liabilities,217.2,145.39,132.81,154.52,145.92,140,169.22,216.19,284.78,414.6
Total,596.68,644.65,749.3,798.75,776.8,779.83,818.49,993.88,1237.39,1591.95
Net Block,414.75,460.48,434.23,631.73,608.54,573.64,568.7,578.54,669.64,825.79
Capital Work in Progress,28.96,31.23,131.35,0.35,0.47,12.37,29.55,48.31,98,99.1
Investments,0.1,0.17,0.15,4.95,4.95,4.95,27.45,,,
Other Assets,152.87,152.77,183.57,161.72,162.84,188.87,192.79,367.03,469.75,667.06
Total,596.68,644.65,749.3,798.75,776.8,779.83,818.49,993.88,1237.39,1591.95
Receivables,47.3,38.15,37.48,35.29,48.35,47.55,29.28,87.91,118.05,211.29
Inventory,45.52,50.05,41.41,67.83,60.38,70.84,97.86,103.02,109.36,158.65
Cash & Bank,6.38,6.43,27,2.31,2.35,1.58,19.73,59.46,76.12,35.15
No. of Equity Shares,22997741,28799268,28799268,28799268,28799268,28799268,28799268,28799268,28802749,28802749
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,33.92,60.61,75.29,71.41,55.76,61.34,154.02,141.59,218.79,128.05
Cash from Investing Activity,-58.22,-95,-165.79,-76.63,-9.63,-13.97,-59.14,-97.97,-217.63,-210.69
Cash from Financing Activity,-0.46,34.5,93,0.39,-46.79,-47.44,-76.73,-14.94,-23.7,85.01
Net Cash Flow,-24.76,0.11,2.51,-4.83,-0.66,-0.06,18.15,28.68,-22.54,2.37
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,76.75,42.85,65.15,76.4,117.2,138.4,84.45,317.5,1531.75,776.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
