COMPANY NAME,SUVEN PHARMACEUTICALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,645.65,,,,,,,,,
Market Capitalization,16575.14,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,377.83,833.79,1009.72,1320.22,1340.33
Raw Material Cost,,,,,,124.52,240.24,310.32,459.46,430.08
Change in Inventory,,,,,,21.32,11.05,8.37,60.35,20.94
Power and Fuel,,,,,,18.06,38.24,44.2,59.55,73.93
Other Mfr. Exp,,,,,,33.83,66.49,90.76,115.25,104.06
Employee Cost,,,,,,29.63,65.1,76.23,100.73,110.72
Selling and admin,,,,,,16.23,44.76,44.96,52.93,55.04
Other Expenses,,,,,,5.33,5.23,8.61,10.72,13.52
Other Income,,,,,,0.6,66.31,67.97,133.29,46.35
Depreciation,,,,,,11.5,23.51,31.64,39.1,47.73
Interest,,,,,,2.79,23.07,11.67,8.53,12.81
Profit before tax,,,,,,157.86,404.51,467.67,667.59,559.73
Tax,,,,,,48.59,87.51,105.34,213.78,148.44
Net profit,,,,,,109.27,317,362.34,453.8,411.29
Dividend Amount,,,,,,,63.65,50.92,127.3,152.76
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,300.99,391.59,363.85,338.8,278.4,353.77,369.36,347.55,231.05,219.82
Expenses,179.21,205.58,206.83,187.92,178.52,207.08,200.28,180.59,133.09,154.67
Other Income,22.5,64.69,16.87,11.03,10.92,13.01,11.4,10.67,19.84,14.34
Depreciation,9.18,10.51,10.42,11.5,12.03,12.24,11.96,12.54,11.89,12.75
Interest,1.18,0.74,2.19,1.45,0.29,1.38,2.31,1.15,0.5,1.27
Profit before tax,133.92,239.45,161.28,148.96,98.48,146.08,166.21,163.94,105.41,65.47
Tax,36.94,79.39,69.62,41.41,26.42,38.37,42.24,43.35,25.84,18.71
Net profit,96.98,160.07,91.67,107.54,72.06,107.72,123.97,120.59,79.56,46.75
Operating Profit,121.78,186.01,157.02,150.88,99.88,146.69,169.08,166.96,97.96,65.15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,12.73,25.46,25.46,25.46
Reserves,,,,,,577.56,832.03,1155.34,1501.72,1709.73
Borrowings,,,,,,82.79,186.2,143.04,97.12,70.34
Other Liabilities,,,,,,122.67,141.85,150.63,205.29,160.22
Total,,,,,,783.02,1172.81,1474.47,1829.59,1965.75
Net Block,,,,,,270.9,356.74,441.16,534.19,663.33
Capital Work in Progress,,,,,,111.07,101.71,96.33,29.99,165.09
Investments,,,,,,7.13,338.13,541.79,598.32,536.03
Other Assets,,,,,,393.92,376.23,395.19,667.09,601.3
Total,,,,,,783.02,1172.81,1474.47,1829.59,1965.75
Receivables,,,,,,147.5,117.2,102.38,236.37,110.94
Inventory,,,,,,157.1,174.87,201.08,283.42,312.81
Cash & Bank,,,,,,12.9,14.08,9.65,47.31,68.01
No. of Equity Shares,,,,,,,127282478,254564960,254564960,254564960
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,50.4,406.92,382.55,330,450.91
Cash from Investing Activity,,,,,,-65.48,-413.45,-311.4,-136.14,-194.84
Cash from Financing Activity,,,,,,25.98,7.32,-75.66,-156.48,-235.83
Net Cash Flow,,,,,,10.9,0.79,-4.51,37.38,20.24
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,100.53,496.8,618.45,472.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,0.02,25.46,25.46,25.46,25.46
