COMPANY NAME,PAGE INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,34262.8,,,,,,,,,
Market Capitalization,38219.7,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1187.68,1543.44,1795.6,2128.53,2551.37,2852.2,2945.54,2832.96,3886.47,4788.64
Raw Material Cost,451.13,581.51,763.27,958.71,1022.71,1356.73,1293.26,1067.3,1891.67,2913.71
Change in Inventory,58.57,71.18,77.64,96.42,-63.88,160.03,-17.56,-196.64,182.7,745.73
Power and Fuel,8.39,9.96,10.63,11.77,13.46,15.74,15.55,11.76,15.78,21.81
Other Mfr. Exp,182.44,228.96,167.18,170.27,177.2,198.82,201.4,189.01,276.87,310.57
Employee Cost,188.16,258.59,312.77,375.75,406.63,467.58,532.54,564.77,721.11,882.53
Selling and admin,159.16,213.53,241.26,289.6,316.77,342.69,337.07,245.43,355.78,521.57
Other Expenses,0.76,1.66,1.65,4.11,8.85,12.25,15.05,30.34,20.83,20.16
Other Income,6.49,8.19,9.59,24.29,21.33,35.89,24.64,18.95,20.72,14.73
Depreciation,13.93,17.64,24.12,24.72,27.99,31.06,61.36,62.91,65.47,78.09
Interest,15.29,17.65,18.86,19.49,17.7,17.22,34.39,30.33,33.6,42.56
Profit before tax,233.48,293.31,343.09,394.82,517.51,606.03,462,453.42,708.78,758.1
Tax,79.7,97.28,111.57,128.54,170.53,212.09,118.79,112.84,172.24,186.85
Net profit,153.78,196.02,231.52,266.28,346.98,393.94,343.22,340.58,536.53,571.25
Dividend Amount,66.9,80.28,94.78,108.16,146.06,383.56,179.52,278.75,412.55,278.75
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1084.01,1189.8,1111.11,1341.27,1228.21,1200.01,969.09,1232.41,1125.13,1228.77
Expenses,850.58,939.07,844.02,1043.46,990.36,1007.25,834.76,990.54,891.6,999.12
Other Income,5.36,7.14,4.93,3.29,2.67,1.64,7.12,1.89,1.67,5.54
Depreciation,16.52,16.7,16.35,18.01,18.82,19.97,21.29,21.01,24.65,22.61
Interest,7.45,7.73,9.67,8.53,9.16,9.96,13.63,12.74,11.18,10.5
Profit before tax,214.82,233.44,246,274.56,212.54,164.47,106.53,210.01,199.37,202.08
Tax,54.33,58.86,55.48,67.52,50.41,40.73,28.18,51.65,49.1,49.73
Net profit,160.49,174.57,190.52,207.04,162.13,123.73,78.35,158.36,150.28,152.35
Operating Profit,233.43,250.73,267.09,297.81,237.85,192.76,134.33,241.87,233.53,229.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15
Reserves,277.85,375.61,518.72,654.63,836.15,763.84,808.73,873.73,1077.47,1359.89
Borrowings,163.22,157.28,94.9,87.68,68.55,84.78,176.38,127.04,109.91,406.4
Other Liabilities,233.39,279.44,321.29,400.63,496.53,490.82,516.68,687.95,908.41,915.37
Total,685.61,823.48,946.06,1154.09,1412.38,1350.59,1512.94,1699.87,2106.94,2692.81
Net Block,172.83,217.26,216.68,236.09,237.94,300.63,405.53,386.29,402.41,485.17
Capital Work in Progress,3.59,0.11,0.36,24.13,58.52,7.23,28.73,27.85,65.26,150.45
Investments,,,,52.11,218.03,,,,,
Other Assets,509.19,606.11,729.02,841.76,897.89,1042.73,1078.68,1285.73,1639.27,2057.19
Total,685.61,823.48,946.06,1154.09,1412.38,1350.59,1512.94,1699.87,2106.94,2692.81
Receivables,72.68,87.84,102.44,112.71,147.98,123.84,73.78,137.12,165.08,146.07
Inventory,362.56,443.45,540.81,622.86,567.87,750.11,718.57,554.93,974.87,1595.26
Cash & Bank,3.46,4.42,8.65,20.58,66.88,44.05,116.92,435,283.47,8.1
No. of Equity Shares,11153874,11153874,11153874,11153874,11153874,11153874,11153874,11153874,11153874,11153874
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,74.75,167,219.17,273.59,452.77,229.71,516.69,695.89,326.91,-1.61
Cash from Investing Activity,-48.88,-53.13,-26.06,-107.56,-238.12,191.96,-26.6,-401.05,118.85,30.78
Cash from Financing Activity,-26.97,-112.93,-188.88,-154.09,-187.83,-443.28,-377.54,-365.93,-396.44,-174.08
Net Cash Flow,-1.1,0.94,4.23,11.93,26.82,-21.6,112.55,-71.1,49.32,-144.92
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,6489.55,13731.05,12116.9,14620.8,22684.55,24972.25,16963.5,30317.45,43189.35,37903.3
,,,,,,,,,,
DERIVED:,,,,,,,,,,
