COMPANY NAME,MUTHOOT FINANCE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1598.4,,,,,,,,,
Market Capitalization,64256.77,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,4947.35,4324.52,4874.91,5746.38,6266.52,6878.21,8714.64,10557.21,11082.32,10514.85
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,22.62,23.13,25.08,26.72,28.43,29.99,31.58,28.91,31.66,40.88
Other Mfr. Exp,27.24,28.1,29.03,36.29,29.56,20.78,20.1,27.65,56.81,50.45
Employee Cost,611.1,649.9,661.78,764.27,783.04,898.53,1029.94,1007.36,1031.52,1200.9
Selling and admin,371.98,366.39,362.85,355.52,402.05,504.8,567.73,570.34,561.66,659.88
Other Expenses,43.81,37.15,162.44,296.57,266.6,64.14,177.28,183.61,208.87,157.59
Other Income,0.07,0.11,0.1,0.24,66.36,2.04,8.14,17.15,16.07,28.9
Depreciation,47.46,84.12,57.51,48.25,43.85,42.09,43.09,50.71,53.91,58.31
Interest,2629.65,2107.98,2259.56,2298.02,1934.66,2243.11,2795.65,3699.26,3844.6,3709.31
Profit before tax,1193.56,1027.86,1316.76,1920.98,2844.69,3076.81,4057.41,5006.52,5309.36,4666.43
Tax,413.49,357.34,507.21,741.15,1067.13,1104.67,1039.11,1284.34,1355.05,1192.89
Net profit,780.07,670.52,809.55,1179.83,1777.56,1972.14,3018.3,3722.18,3954.3,3473.53
Dividend Amount,223.03,238.78,239.4,239.69,400.04,480.79,601.56,802.4,802.7,883.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2830.43,2868.21,2669.89,2503.87,2497.73,2659.82,2853.43,2998.69,3059.67,3167.73
Expenses,501.38,526.87,449.91,472.96,425.92,531.46,689.54,634.69,571.66,565.89
Other Income,2.9,3.56,8.48,5.4,5.85,7.28,10.37,27.64,13.92,7.99
Depreciation,12.75,13.94,15.84,12.9,13.54,14.75,17.11,13.35,15.42,17.41
Interest,979.44,953.3,920.84,941.59,902.69,914.13,940.73,1063.77,1156.29,1211.94
Profit before tax,1339.76,1377.66,1291.78,1081.82,1161.43,1206.76,1216.42,1314.52,1330.22,1380.48
Tax,345.75,348.8,331.51,279.81,294.21,305.1,313.76,339.41,339.22,353.22
Net profit,994.01,1028.86,960.28,802.01,867.21,901.65,902.66,975.12,991,1027.26
Operating Profit,2329.05,2341.34,2219.98,2030.91,2071.81,2128.36,2163.89,2364,2488.01,2601.84
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,371.71,397.97,399,399.48,400.04,400.66,401.04,401.2,401.35,401.45
Reserves,3892.86,4685.54,5220.25,6116.97,7411.98,9392.06,11170.78,14837.7,17943.23,20660.48
Borrowings,19477.57,19436.1,18567.01,20985.47,21167.04,26833.15,37130.05,45946.28,49811.25,49734.3
Other Liabilities,1851.74,2249.64,2862.48,3211.16,1813.19,1442.82,1757.79,2279.75,2398.85,1823.59
Total,25593.88,26769.25,27048.74,30713.08,30792.25,38068.69,50459.66,63464.93,70554.68,72619.82
Net Block,312.58,257.3,218.48,208.23,200.47,192.56,227.78,246.94,267.43,271.77
Capital Work in Progress,14.41,6.86,8.89,9.97,5.74,22.83,28.74,38.48,45.65,67.43
Investments,35.37,38.49,98.26,209.12,395.43,982.56,1438.34,1590.28,1320.48,1316.86
Other Assets,25231.52,26466.6,26723.11,30285.76,30190.61,36870.74,48764.8,61589.23,68921.12,70963.76
Total,25593.88,26769.25,27048.74,30713.08,30792.25,38068.69,50459.66,63464.93,70554.68,72619.82
Receivables,1163.97,1153.9,1467.26,1270.6,23,16.06,4.73,3.47,2.14,1.61
Inventory,,,,,,0.67,0.67,0.67,0.67,0.43
Cash & Bank,2048.93,1736.62,679.11,1534.05,486.99,1735.51,5640.54,7189.82,9242.91,6461.2
No. of Equity Shares,371712768,397966419,399002332,399475549,400041239,400661316,401037326,401195856,401345266,401448231
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,5726.19,-460.29,213.62,-1709.78,-86.89,-3858.07,-4458.02,-7476.52,-1141.54,-1901.72
Cash from Investing Activity,-2.58,-16.23,-67.12,-134.35,-193.89,-584.88,-428.87,47.57,407.63,187.55
Cash from Financing Activity,-5106.59,254.19,-1204.38,2457.23,-553.58,5701.24,8677.98,9041.08,2795.72,-1035.54
Net Cash Flow,617.02,-222.34,-1057.88,613.1,-834.36,1258.29,3791.08,1612.13,2061.82,-2749.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
