COMPANY NAME,EICHER MOTORS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,4568.05,,,,,,,,,
Market Capitalization,125067.63,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2014-12-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,6809.8,8738.32,6173.46,7033.36,8964.96,9797.06,9153.58,8720.35,10297.83,14442.18
Raw Material Cost,4658.25,5855.79,3497.73,3725.72,4679.07,5269.64,4914.58,5319.85,6107.28,8281.04
Change in Inventory,17.83,84.72,62.05,19.61,33.87,210.16,-84.09,205.9,148.59,63.25
Power and Fuel,61.45,74.07,46.18,46.02,52.41,66.96,62.86,52.98,55.78,72.97
Other Mfr. Exp,126.8,171.82,173.76,173.09,210.76,263.49,256.58,250.85,332.41,397.21
Employee Cost,533.34,659.64,350.21,426.28,573.68,702.44,795.78,843.23,821.02,1001.93
Selling and admin,583.03,674.42,397.4,412.25,565.66,654.82,667.16,522.52,815.51,1164.58
Other Expenses,149.28,269.63,80.5,95.3,108.62,145.63,189.64,153.59,136.85,141.98
Other Income,93,104.55,325.91,416.44,535.66,700.66,572.42,482.34,495.65,908.14
Depreciation,130.04,219.82,136.6,153.81,223.3,300.28,381.54,450.73,451.93,526.21
Interest,7.88,9.78,2.12,3.56,5.34,7.33,18.88,16.45,18.78,28.02
Profit before tax,670.56,992.62,1876.92,2433.38,3115.65,3297.29,2354.89,1798.39,2202.51,3799.63
Tax,145.18,290.88,538.88,720.3,935.93,1077.04,527.45,451.5,525.91,885.69
Net profit,393.94,615.36,1338.04,1667.08,1959.67,2202.73,1827.44,1346.89,1676.6,2913.94
Dividend Amount,81.12,135.5,271.6,272.1,299.86,341,341.25,464.61,574.14,1011.95
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2249.56,2880.65,3193.32,3397.46,3519.4,3721,3804.32,3986.37,4114.53,4178.84
Expenses,1779.69,2298.29,2436.27,2566.37,2697.79,2863.77,2870.67,2965.53,3027.37,3088.57
Other Income,118.46,128.08,171.81,82.44,192.74,256.21,378.89,343.65,375.4,367.58
Depreciation,109.43,111.43,119.44,116.22,127.12,134.84,148.03,142.27,142.54,147.54
Interest,3.14,6.07,3.13,5.22,7.06,7.58,8.16,10.43,12.68,12.43
Profit before tax,475.76,592.94,806.29,792.09,880.17,971.02,1156.35,1211.79,1307.34,1297.88
Tax,102.56,136.81,196.15,181.43,223.31,230.18,250.77,293.45,291.09,301.91
Net profit,373.2,456.13,610.14,610.66,656.86,740.84,905.58,918.34,1016.25,995.97
Operating Profit,469.87,582.36,757.05,831.09,821.61,857.23,933.65,1020.84,1087.16,1090.27
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2014-12-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,27.04,27.1,27.16,27.21,27.26,27.28,27.3,27.33,27.34,27.35
Reserves,2028.38,2488.76,3625.93,5317.86,7002.81,8891.44,9953.63,11410.75,12580.66,14962.93
Borrowings,83.9,58.36,22.57,111.85,150.84,186.76,249,219.25,107.71,288.41
Other Liabilities,3197.27,3829.01,1263.35,1552.16,2341.32,2281.35,2219.79,2901.28,3424.12,3918.95
Total,5336.59,6403.23,4939.01,7009.08,9522.23,11386.83,12449.72,14558.61,16139.83,19197.64
Net Block,1656.14,2309.33,789.59,872.78,1501.69,1874.58,2377.52,2433.3,2424.28,2689.99
Capital Work in Progress,463.59,418.8,94.48,373.77,333.21,449.74,312.17,314.29,504.78,472.07
Investments,825.46,1077.69,3388.24,4987.13,5580.84,4922.52,5748.77,3902.14,7720.58,12320.66
Other Assets,2391.4,2597.41,666.7,775.4,2106.49,4139.99,4011.26,7908.88,5490.19,3714.92
Total,5336.59,6403.23,4939.01,7009.08,9522.23,11386.83,12449.72,14558.61,16139.83,19197.64
Receivables,512.5,562.17,32.64,50.04,68,84.29,86.76,158.16,302.04,368.92
Inventory,526.8,645.52,308.39,335.9,394.64,633.38,572.35,874.6,1132.4,1278.44
Cash & Bank,682.56,353.32,49.17,25.06,1212,2965.29,2950.59,5830.36,2722.47,857.12
No. of Equity Shares,27038883,27104783,27161183,27210249,27255549,27282570,27304570,273335922,273423102,273481570
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2014-12-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,716.2,1047.47,1463.08,1707.97,2482.25,1575.47,1694.12,1690.97,1527.04,2847.46
Cash from Investing Activity,-789.79,-1214.48,-1001.4,-1743.58,-2145.02,-659.88,-1508.41,-1625.3,-983.25,-2421.6
Cash from Financing Activity,-47.35,-162.23,-465.52,25.29,-262.01,-292.3,-858.25,-14.76,-593.36,-417.44
Net Cash Flow,-120.94,-329.24,-3.84,-10.32,75.22,623.29,-672.54,50.91,-49.57,8.42
