COMPANY NAME,TORRENT PHARMACEUTICALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,2524.35,,,,,,,,,
Market Capitalization,85423.39,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,4171.59,4635.81,6686.93,5815.69,5949.83,7672.8,7939.31,8004.57,8508.04,9620.15
Raw Material Cost,1291.92,1475.71,1725.04,1931.39,2035.67,2136.25,2300.05,2425.66,2368.15,2569
Change in Inventory,53.53,60.87,147.77,139.73,362.2,-83.44,133.13,279.24,-73.86,-166.19
Power and Fuel,71.88,97.41,92.59,107.98,118.77,132.46,128.19,122.94,144.19,155.28
Other Mfr. Exp,129.46,136.33,132.06,138.31,151.02,160.3,136.22,163.68,183.82,176.49
Employee Cost,750.64,848.35,857.96,1002.52,1141.82,1409.41,1435.12,1445.76,1527.58,1681.09
Selling and admin,828.43,997.77,832.31,955.03,1078.08,1293.87,1311.07,1148.96,1277.44,1499.3
Other Expenses,197.53,120.95,461.71,442.92,437.42,474.01,591.43,496.73,501.73,530.75
Other Income,34.35,285.55,31.94,223.3,298.84,-299.96,121.3,56.91,-288.14,45.14
Depreciation,87,190.74,237.55,306.92,408.6,617.69,654.38,657.79,662.16,706.59
Interest,58.63,175.16,183.98,205.56,308.48,503.75,450.71,352.94,255.06,333.44
Profit before tax,843.98,939.81,2343.44,1088.09,931.01,561.66,1186.57,1526.26,1225.91,1847.16
Tax,180.07,188.84,610.17,154.51,252.87,125.35,161.85,274.38,448.73,601.93
Net profit,663.88,750.94,1733.24,933.55,678.11,436.28,1024.72,1251.88,777.18,1245.23
Dividend Amount,169.24,190.4,592.34,236.94,236.94,287.71,541.57,592.34,812.35,744.61
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2137,2108,2131,2347,2291,2491,2491,2591,2660,2732
Expenses,1477,1570,1570,1635,1612,1767,1764,1800,1835,1863
Other Income,51,48,-429,30,16,-10,9,34,26,55
Depreciation,168,167,162,155,163,193,196,191,201,213
Interest,71,62,57,55,69,102,107,103,91,80
Profit before tax,472,357,-87,532,463,419,433,531,559,631
Tax,156,108,31,178,151,127,146,153,173,188
Net profit,316,249,-118,354,312,292,287,378,386,443
Operating Profit,660,538,561,712,679,724,727,791,825,869
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,169.23
Reserves,1817.81,2405.94,3409.48,4265.51,4537.57,4639.73,4738.6,5752.55,5868.33,6028.84
Borrowings,1131.76,2740.35,2351.68,2510.13,6462.32,6038.1,5784.35,4874.13,4069.65,5368.56
Other Liabilities,1988.14,2588.75,3040.35,2740.42,3158.67,3350.97,3402.17,3363.35,2883.68,3043.28
Total,5022.33,7819.66,8886.13,9600.68,14243.18,14113.42,14009.74,14074.65,12906.28,14609.91
Net Block,875.34,2832.66,2859.08,3688.44,7854.68,7747.71,7533.12,7064.63,6422.65,8121.45
Capital Work in Progress,534.11,678.33,1041.58,519.49,646.94,617.12,711.93,889.38,629.82,765.4
Investments,185.66,297.65,779.68,803.64,492.36,353.44,2.11,181.14,226.31,198.79
Other Assets,3427.22,4011.02,4205.79,4589.11,5249.2,5395.15,5762.58,5939.5,5627.5,5524.27
Total,5022.33,7819.66,8886.13,9600.68,14243.18,14113.42,14009.74,14074.65,12906.28,14609.91
Receivables,1099.42,1587.26,1445.09,950.89,1253.45,1435.71,1649.34,1523.37,1632.48,1943.82
Inventory,1006.06,1067.17,1357.98,1559.15,1966.3,1935.15,2148.22,2681.2,2462.32,2229.64
Cash & Bank,769.42,567.36,647.03,893.72,867.23,816.04,666.65,603.5,403.41,571.46
No. of Equity Shares,169236700,169236720,169236720,169236720,169236720,169222720,169222720,169222720,169222720,338445440
New Bonus Shares,84611400,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,599.42,810.2,2742.12,1008.84,894.15,1798.08,1392.91,2005.35,1802.99,2368.13
Cash from Investing Activity,-418.18,-2112.55,-869.49,-798.22,-4677.07,-245.61,229.19,-443.82,-196.1,-2335.36
Cash from Financing Activity,86.4,1212.25,-1435.15,-192.91,3417.39,-1314.45,-1549.04,-1650.79,-1781.05,77.36
Net Cash Flow,267.64,-90.1,437.48,17.71,-365.53,238.02,73.06,-89.26,-174.16,110.13
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,261.83,580.43,669.85,776.3,624.88,974.88,985.9,1272.53,1395.98,1537.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
