COMPANY NAME,AVANTI FEEDS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,515.2,,,,,,,,,
Market Capitalization,7010.82,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1093.27,1708.65,1935.32,2615.74,3392.9,3487.78,4115.29,4100.56,5035.96,5086.99
Raw Material Cost,882.4,1383.06,1542.97,2100.54,2485.18,2740.18,3299.37,3264.02,4247.83,4118.01
Change in Inventory,12.63,15,14.06,29.38,75.5,3.25,35.2,59.04,10,-0.44
Power and Fuel,26.39,28.83,25.63,33.65,49.35,53.61,59.31,61.58,72.24,90.36
Other Mfr. Exp,20.42,34.56,34.87,46.15,84.04,114.03,131.38,142.31,189.77,215.53
Employee Cost,35.24,47.68,58.22,73.15,110.97,100.57,113.92,126.7,126.84,167.44
Selling and admin,66.38,116.63,133.12,51.11,43.68,54.25,65.27,87.19,70.7,84.29
Other Expenses,-36.46,-69.44,-76.76,8.3,10.68,18.6,24.87,16.69,24.36,16.35
Other Income,3.57,8.98,20.46,23.35,48.55,59.01,70.58,92.53,54.16,78.7
Depreciation,5.54,8.8,10.23,13.69,23.76,35.84,37.71,40.93,40.79,42.59
Interest,4.39,2.67,3.38,5.14,4.79,4.91,4.38,3.05,3.69,3.89
Profit before tax,105.17,179.84,238.18,336.74,704.5,428.05,484.86,509.66,323.9,426.79
Tax,35.42,63.27,79.2,110.43,238.02,121.44,98.57,112.29,78.66,114.53
Net profit,70.41,115.92,157.5,215.66,446.47,273.63,346.49,360.07,221.57,278.67
Dividend Amount,13.62,24.97,31.78,40.86,54.48,54.48,69.46,85.12,85.12,85.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1226,1068.92,1332.24,1569.3,1322.1,1102.58,1093,1553.66,1278.49,1253.23
Expenses,1185.03,1004.2,1217.45,1466.35,1247.16,1022.88,959.5,1416.11,1184.51,1156.69
Other Income,8.43,12.34,16.23,7.02,25.76,27.65,19.88,33.03,33.76,33.72
Depreciation,10.41,10.25,9.77,9.82,9.93,10.65,12.2,13.2,14.3,14.4
Interest,0.77,0.47,0.44,0.32,0.45,0.22,1.03,0.27,0.16,0.15
Profit before tax,38.22,66.34,120.81,99.83,90.32,96.48,140.15,157.11,113.28,115.71
Tax,5.16,22.37,29.06,26.72,23.23,25.88,38.69,41.95,30.54,32.39
Net profit,24.12,40.19,84.35,66.26,56.62,62.45,93.34,106.38,74.23,72.47
Operating Profit,40.97,64.72,114.79,102.95,74.94,79.7,133.5,137.55,93.98,96.54
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,9.08,9.08,9.08,9.08,9.08,13.62,13.62,13.62,13.62,13.62
Reserves,170.49,256.21,413.71,626.34,1022.4,1192.34,1390.06,1747.59,1881.78,2081.86
Borrowings,56.12,58.4,10.71,19.26,6.87,9.34,1.57,3.91,4.08,3.05
Other Liabilities,162.66,153.89,189.1,413.96,487.91,399.52,474.7,517.11,616.73,636.12
Total,398.35,477.58,622.6,1068.64,1526.26,1614.82,1879.95,2282.23,2516.21,2734.65
Net Block,77.51,89.57,103.99,160.47,312.14,292.53,270.87,292.43,272.56,397.57
Capital Work in Progress,4.81,,41.62,94.07,1.97,9.01,25.89,6.04,39.97,33.79
Investments,40.31,111.09,33.15,359.61,584.45,630.17,680.48,1234.88,931.19,1005.42
Other Assets,275.72,276.92,443.84,454.49,627.7,683.11,902.71,748.88,1272.49,1297.87
Total,398.35,477.58,622.6,1068.64,1526.26,1614.82,1879.95,2282.23,2516.21,2734.65
Receivables,45.02,33.56,34.97,23.41,50.03,48.64,88.77,66.61,113.69,121.55
Inventory,199.15,222.02,285.55,355.7,524.81,379.06,543.51,553.23,987.64,802.99
Cash & Bank,12.86,6.16,72.57,45.12,14.36,186.91,198.57,60.82,74.74,286.37
No. of Equity Shares,9083042,9083042,45415210,45415210,45415210,136245630,136245630,136245630,136245630,136245630
New Bonus Shares,,,,,,,,,,
Face value,10,10,2,2,2,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,55.56,89.34,122,277.75,280.93,183.76,178.22,382.62,-212.35,451.18
Cash from Investing Activity,-39.1,-83.52,18.13,-407.76,-269.27,-26.78,-79.06,-366.1,298.99,-415.77
Cash from Financing Activity,-12.74,-11.97,-74.26,100.51,-45.45,-105.77,-141.31,14.63,-68.28,-65.45
Net Cash Flow,3.72,-6.15,65.86,-29.5,-33.79,51.21,-42.16,31.15,18.35,-30.05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,34.66,102.47,132.6,245.84,744.89,408.8,294.25,414.45,412.35,339.45
,,,,,,,,,,
