COMPANY NAME,MAX FINANCIAL SERVICES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,962.7,,,,,,,,,
Market Capitalization,33156.73,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,14906.69,11709.89,15246.72,16337.74,19510.32,18239.98,31274.52,31181.78,31415.49,46576.22
Raw Material Cost,783.99,,,,,,,,,
Change in Inventory,3.54,,,,,,,,,
Power and Fuel,98.56,22.12,25.87,0.45,0.37,0.1,0.04,0.24,0.26,
Other Mfr. Exp,177.79,57.74,63.86,3.75,18842.21,17599.14,30636.6,30689.51,30791.24,
Employee Cost,1011.78,651.71,918.96,37.99,85.59,36.56,61.63,40.46,33.64,35.05
Selling and admin,1770.79,1353.28,1516.45,15751.22,53.96,52.59,28.19,22.93,19.61,16.49
Other Expenses,10348.99,9093.87,11950.54,13.2,21.06,99.24,-37.03,16.04,17.01,46105.12
Other Income,30.06,1.98,1.98,0.92,2.76,1.78,13.39,5.8,15.56,42.09
Depreciation,153.8,60.47,62.53,1.92,1.75,11.37,5.32,5,4.63,3.19
Interest,82.13,7.66,8.93,0.11,27.3,0.28,0.27,24.74,37.46,43.64
Profit before tax,512.46,465.02,701.56,530.02,480.84,442.48,592.89,388.66,527.2,414.82
Tax,147.55,71.83,108.29,88.19,64.37,169.63,33.15,70.25,75.31,22.24
Net profit,279.62,252.74,395.36,286.39,262.56,144.99,425.39,253.37,378.49,340.08
Dividend Amount,133.25,96.12,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,6953.99,8959.65,3271.69,9316.09,8895.52,9929.37,9168.12,10164.62,12355.68,14887.81
Expenses,6842.88,8798.89,3184.94,9238.12,8573.27,9865.44,9043.15,10020.76,12146.32,14946.44
Other Income,0.72,2.66,4.2,6.5,2.83,4.86,3.34,24.52,3.52,10.71
Depreciation,1.22,1.2,1.21,1.17,1.14,1.11,0.99,0.78,0.76,0.66
Interest,9.2,9.25,9.35,9.47,9.4,9.24,9.32,9.36,14.15,10.81
Profit before tax,101.41,152.97,80.39,73.83,314.54,58.44,118,158.24,197.97,-59.39
Tax,10.48,8.97,11.91,12.22,45.19,5.99,16.87,-12.08,26.76,-9.31
Net profit,74.86,117.68,56.36,51.29,224.94,45.89,87.68,147.89,148.56,-44.05
Operating Profit,111.11,160.76,86.75,77.97,322.25,63.93,124.97,143.86,209.36,-58.63
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,53.3,53.4,53.45,53.68,53.88,53.9,69.02,69.02,68.72,68.73
Reserves,3248.72,1912.32,2281.2,1765.6,2005.16,2092.62,3273.94,3865.59,3449.52,3797.2
Borrowings,542.56,,,,,2.73,3.46,522.11,522.63,522.57
Other Liabilities,31658.39,36181.22,44404.68,54022.4,65097.1,72376.96,94710.33,113290.53,127782.9,158384.98
Total,35502.97,38146.94,46739.33,55841.68,67156.14,74526.21,98056.75,117747.25,131823.77,162773.48
Net Block,1199.82,348.62,739.68,556.45,555.71,640.67,638.77,616.43,614.45,612.33
Capital Work in Progress,39.02,37.08,3.28,0.24,,,,,,
Investments,32014.83,36101.51,44058.67,52683.18,63244.76,68565.6,91765.75,109794.16,123355.46,5880.68
Other Assets,2249.3,1659.73,1937.7,2601.81,3355.67,5319.94,5652.23,7336.66,7853.86,156280.47
Total,35502.97,38146.94,46739.33,55841.68,67156.14,74526.21,98056.75,117747.25,131823.77,162773.48
Receivables,693.42,519.04,530.84,2.81,5.5,3.16,2.56,,,0.05
Inventory,179.2,,,,,,,,,
Cash & Bank,319.28,335.63,356.23,612.63,508.41,449.11,508.41,599.55,1044.46,905.93
No. of Equity Shares,266502773,266983999,267270049,268384027,269385779,269509487,345090302,345114771,345114771,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,2579.38,3802.07,6525.68,7533.57,8826.06,5451.66,6892.24,8495.86,9922.28,6106.95
Cash from Investing Activity,-2311.21,-3541.43,-6289.9,-6951.35,-8789.22,-4990.71,-6851.53,-8835.38,-9227.65,-5003.89
Cash from Financing Activity,-387.6,-186.92,-215.35,-116.31,-173.64,-382.57,-92.15,387.97,-232.76,-116.99
Net Cash Flow,-119.43,73.72,20.43,465.9,-136.81,78.38,-51.43,48.45,461.87,986.07
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,373.59,344.05,576.95,453.45,435.2,384.6,859.45,753.9,635,1002.2
,,,,,,,,,,
DERIVED:,,,,,,,,,,
