COMPANY NAME,FINE ORGANIC INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,4215.6,,,,,,,,,
Market Capitalization,12918.81,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,659.71,778.33,855.81,1060.33,1038.08,1133.22,1876.26,3023.08
Raw Material Cost,,,391.93,503.89,551.86,653.09,640.91,720.23,1230.37,2007.45
Change in Inventory,,,4.25,6.2,-5.96,-2.06,31.6,-5.78,42.48,223.3
Power and Fuel,,,27.13,28.55,32.57,43.01,49.88,52.76,77.91,98.34
Other Mfr. Exp,,,6.69,7.7,9.64,11.17,11.2,10.06,13.46,15.82
Employee Cost,,,54.22,64.44,51.69,62.91,72.56,79.82,89.5,105.64
Selling and admin,,,38.17,33.09,43.07,51.65,50.35,60.93,137.2,180.98
Other Expenses,,,0.05,1.96,2.61,2.85,9.37,5.69,6.82,8.84
Other Income,,,7.98,4,15.97,19.83,20.19,17.1,32.89,64.15
Depreciation,,,29.82,23.71,20.04,17.45,34.66,46.77,39.9,47.89
Interest,,,7.11,4.39,3.15,1.84,4.82,6.13,4.94,4.57
Profit before tax,,,116.82,120.8,151.19,234.13,216.12,162.15,351.53,841
Tax,,,40.63,42.93,55.86,94.53,51.32,41.81,91.82,222.9
Net profit,,,76.19,77.87,95.33,136.21,164.78,120.32,259.61,618.1
Dividend Amount,,,21.74,7.24,21.46,21.46,21.46,33.73,27.59,27.59
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,438.4,463.43,616.87,747.74,919.17,759.54,596.63,547.17,540.49,488.4
Expenses,365.61,383.64,457.46,533.36,665.33,600.22,394.87,406.67,410.24,371.14
Other Income,6.17,6.61,14.39,16.66,19.35,15.16,12.98,14.45,17.15,17.44
Depreciation,9.76,10.06,10.57,11.07,11.52,12.27,13.03,11.72,14.4,14.74
Interest,1.21,1.24,1.36,1.25,1.3,1.12,0.9,0.67,0.72,0.51
Profit before tax,67.99,75.1,161.87,218.72,260.37,161.09,200.81,142.56,132.28,119.45
Tax,18.12,23.1,39.96,58.92,57.74,54.87,51.36,42.8,28.9,25.25
Net profit,49.87,51.98,121.85,159.8,202.63,106.23,149.45,99.77,103.37,94.21
Operating Profit,72.79,79.79,159.41,214.38,253.84,159.32,201.76,140.5,130.25,117.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,4.83,4.83,15.33,15.33,15.33,15.33,15.33,15.33
Reserves,,,249.33,323.49,380.25,484.91,603.56,716.06,943.87,1525.92
Borrowings,,,102.14,40.26,53.61,128.27,124.72,89.17,58.53,28.52
Other Liabilities,,,62.67,76.13,80.62,73.88,108.45,127.06,218.63,236.83
Total,,,418.97,444.71,529.81,702.39,852.06,947.62,1236.36,1806.6
Net Block,,,124.72,96.98,88.33,78.17,216.77,195.85,229.31,214.03
Capital Work in Progress,,,5.65,2.8,31.68,106.29,5.84,26.3,14.12,40.44
Investments,,,,11,10.61,9.97,32.8,31.1,30.61,38.8
Other Assets,,,288.6,333.93,399.19,507.96,596.65,694.37,962.32,1513.33
Total,,,418.97,444.71,529.81,702.39,852.06,947.62,1236.36,1806.6
Receivables,,,88.72,110.41,146.49,155.62,132.33,161.63,301.37,350.65
Inventory,,,76.19,92.18,89.14,89.26,131.67,126.18,235.59,444.98
Cash & Bank,,,43.6,17.92,12.37,109.21,210.42,263.74,232.56,522.98
No. of Equity Shares,,,4829996,4829996,30659976,30659976,30659976,30659976,30659976,30659976
New Bonus Shares,,,,,20439984,,,,,
Face value,,,10,10,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,45.09,65.11,98.43,219.01,134.26,66.56,485.32
Cash from Investing Activity,,,,-15.96,-51.51,-93.39,-84.74,-40.26,-31.68,-127.5
Cash from Financing Activity,,,,-55.31,-16.9,92.41,-36.73,-40.69,-68.19,-68.65
Net Cash Flow,,,,-26.19,-3.3,97.45,97.54,53.31,-33.31,289.17
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,1239.4,1906.05,2283.85,4005.65,4306.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,0.48,0.48,3.07,3.07,3.07,3.07,3.07,3.07
