COMPANY NAME,SCHAEFFLER INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,3793.15,,,,,,,,,
Market Capitalization,59095.78,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Sales,1618.39,1710.89,1794.56,3940.61,4561.51,4360.63,3761.84,5560.51,6867.42,7226.13
Raw Material Cost,999.43,1004.17,1141.71,2365.38,3103.47,2733.76,2280.87,3695.56,4308.28,4552.44
Change in Inventory,2.11,13.5,59.11,-16.34,229.92,-15.83,-52.27,233.17,55.95,73.84
Power and Fuel,33,36.22,35.62,62.01,65.73,64.89,56.79,74.88,87.46,98.07
Other Mfr. Exp,62.61,67.18,84.41,209.49,245.75,236.6,213.96,311.37,346.85,348.22
Employee Cost,137.94,132.1,149.23,298.65,317.86,345.17,353.55,395.22,430.59,458.34
Selling and admin,103.94,109.75,85.1,146.18,148.7,139.2,102.98,138.58,189.01,224.15
Other Expenses,40.2,69.17,58.19,159.11,169.63,190.58,164.6,205.3,264.73,291.42
Other Income,39.84,56.16,66.15,55.02,47.51,62.87,60.3,72.38,92.06,120.19
Depreciation,49.35,65.51,64.1,138.16,148.5,158.71,193.97,197.11,206.46,219.09
Interest,1.5,2.64,2.13,11.48,7.6,4.48,5.94,4.9,5.01,4.74
Profit before tax,232.37,293.81,299.33,588.83,631.7,534.28,397.21,843.14,1177.04,1223.69
Tax,79.49,96.33,104.27,200.34,211.9,166.64,106.24,214.02,297.83,314.66
Net profit,152.88,197.48,195.06,388.49,419.8,367.64,290.97,629.12,879.21,909.03
Dividend Amount,12.46,16.62,19.94,28.25,93.78,109.41,118.79,50.02,375.12,406.38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1523.22,1567.51,1748.83,1756.43,1794.65,1693.62,1829.14,1848.3,1855.07,1849.22
Expenses,1236.09,1259.04,1427.1,1437.46,1449.43,1378.94,1487.12,1506.33,1526.98,1514
Other Income,21.79,20.05,31.18,23.16,18.27,32.69,30.79,30.91,25.8,31.16
Depreciation,51.17,50.49,51.27,51.71,52.99,52.45,53.93,55.62,57.09,59.9
Interest,0.87,0.84,0.93,0.85,0.93,0.8,0.84,1.55,0.98,0.84
Profit before tax,256.88,277.19,300.71,289.57,309.57,294.12,318.04,315.71,295.82,305.64
Tax,66.24,70.07,74.96,74.21,78.59,74.75,80.76,80.71,78.44,77.97
Net profit,190.64,207.12,225.75,215.36,230.98,219.37,237.28,235,217.38,227.67
Operating Profit,287.13,308.47,321.73,318.97,345.22,314.68,342.02,341.97,328.09,335.22
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Equity Share Capital,16.62,16.62,16.62,16.62,31.26,31.26,31.26,31.26,31.26,31.26
Reserves,1090.87,1272.62,1458.54,2308.54,2674.86,2930.9,3109.03,3622.41,4254.64,4784.1
Borrowings,,,,69.38,57.74,,65.09,60.7,57.38,51.1
Other Liabilities,326.7,366.14,378.55,785.84,1003.51,683.07,957.65,1181.9,1383.44,1402.53
Total,1434.19,1655.38,1853.71,3180.38,3767.37,3645.23,4163.03,4896.27,5726.72,6268.99
Net Block,370.24,345.72,386.16,744.22,730.7,894.59,1005.84,1069.7,1122.71,1280.28
Capital Work in Progress,20.12,51.88,24.13,53.45,161.72,166.25,160.41,89.23,249.34,490.77
Investments,4.35,,,,,,,,,142.4
Other Assets,1039.48,1257.78,1443.42,2382.71,2874.95,2584.39,2996.78,3737.34,4354.67,4355.54
Total,1434.19,1655.38,1853.71,3180.38,3767.37,3645.23,4163.03,4896.27,5726.72,6268.99
Receivables,290.05,336.44,326.28,640.18,751.33,631.94,691.72,846.27,1032.41,1049.23
Inventory,190.89,220.25,273.99,600.64,910.07,720.49,713.63,1086.49,1243.37,1311.12
Cash & Bank,329.45,470.41,640.55,893.77,847.6,835.36,1245.9,1415.67,1554.53,1585.04
No. of Equity Shares,16617270,16617270,16617270,16617270,31260734,31260734,31260734,31260734,156303670,156303670
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Cash from Operating Activity,117.38,181.86,192.76,400.96,238.2,509.77,649.19,464.67,750.53,900.03
Cash from Investing Activity,-195.44,-222.12,-138.68,-269.65,-183.83,-365.77,-432.45,-341.62,-534.54,-611.4
Cash from Financing Activity,-12.61,-17.16,-21.8,-88.23,-52.21,-170.59,-121.85,-126.85,-256.95,-385.58
Net Cash Flow,-90.67,-57.42,32.28,43.08,2.16,-26.59,94.89,-3.8,-40.96,-96.95
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
