COMPANY NAME,GUJARAT STATE FERTILIZERS & CHEMICALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,217.7,,,,,,,,,
Market Capitalization,8676.76,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,5386.02,5311.14,6108.34,5264.53,6270.57,8574.54,7620.82,7499.61,8997.78,11298.03
Raw Material Cost,3289.72,3264.46,3841.02,3204.87,4026.66,6288.94,5012.81,4492.87,5462.94,6871.46
Change in Inventory,16.49,-20.82,35.59,59.43,42.64,487.68,-102.19,-301.57,168.89,-5.41
Power and Fuel,546.33,509,529.13,468.75,548.97,705.77,681.78,683.04,1018.28,1284.31
Other Mfr. Exp,477.5,217.7,469.49,459.58,512.29,628.01,618.55,636.58,600.33,623.62
Employee Cost,334.46,387.4,476.97,510.3,509.32,521.3,714.35,684.43,656.02,656.65
Selling and admin,65.24,243.26,51.98,63.84,53.17,50.54,84.23,57.32,45.66,51.95
Other Expenses,123.61,77.7,119.55,129.99,95.82,120.11,99.99,94.63,71.09,186.91
Other Income,120.22,101.78,65.49,56.61,94.28,104.73,104.95,183.34,180.34,146.22
Depreciation,145.31,100.66,97.44,103.43,119.12,125.61,170.21,176.45,178.18,181.51
Interest,45.14,18.01,31.31,64.93,51.35,61.26,114.69,42.74,9.63,14.89
Profit before tax,495.42,573.91,592.53,374.88,490.79,665.41,126.97,513.32,1304.88,1567.54
Tax,153.25,173.4,183.18,-44.62,15.06,171.73,28.28,95.65,413.98,274.46
Net profit,342.17,400.51,409.35,419.5,475.73,493.68,98.7,417.67,890.9,1293.08
Dividend Amount,79.7,87.67,87.67,87.67,87.67,87.67,47.82,87.67,99.62,398.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2511,2566.84,2047.27,3061.39,2405.32,3421.13,2410.19,2031.53,3017.37,1943.49
Expenses,2187.47,2206.79,1622.74,2525.23,2010.82,3076.48,2068.04,1893.05,2802.47,1839.65
Other Income,65.01,29.98,65.5,30.19,72.23,17.67,26.39,48.74,194.76,80.91
Depreciation,44.83,44.87,44.19,44.68,46.15,45.94,44.74,45.08,45.58,45.88
Interest,2.65,1.74,3.19,3.11,2.55,6.14,3.09,1.85,1.58,0.63
Profit before tax,341.06,343.42,442.65,518.56,418.03,310.24,320.71,140.29,362.5,138.24
Tax,114.9,108.7,150.39,162.73,128.79,-97.28,80.22,34.04,77.67,26.12
Net profit,226.16,234.72,292.26,355.83,289.24,407.52,240.49,106.25,284.83,112.12
Operating Profit,323.53,360.05,424.53,536.16,394.5,344.65,342.15,138.48,214.9,103.84
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7
Reserves,4110.85,4384.51,5426.23,6495.46,7182.25,7188.15,6718.15,9064.45,11589.01,11883.83
Borrowings,788.97,744.35,1287.64,805.24,1092.93,1068.69,1559.08,36.77,5.5,2.39
Other Liabilities,1565.86,1243.9,1543.47,1648.1,1885.13,2014.67,1667.36,1837.63,2300.74,1806.95
Total,6545.38,6452.46,8337.04,9028.5,10240.01,10351.21,10024.29,11018.55,13974.95,13772.87
Net Block,2016.3,1957.93,1652.8,2018.97,2104.84,2813.27,2895.08,2798.3,2674.22,2574.14
Capital Work in Progress,184.99,259.89,403.45,271.68,761.33,187.02,106.85,116.99,157.43,199.02
Investments,827.42,857.73,1694.07,2478.68,2740.46,2315.29,2023.4,4283.62,6265.06,5278.6
Other Assets,3516.67,3376.91,4586.72,4259.17,4633.38,5035.63,4998.96,3819.64,4878.24,5721.11
Total,6545.38,6452.46,8337.04,9028.5,10240.01,10351.21,10024.29,11018.55,13974.95,13772.87
Receivables,1984.09,1930.28,3289.61,799.88,967.08,951.06,891.72,478.57,358.99,491.51
Inventory,691.19,631.92,584.94,703.21,806.4,1430.26,1262.64,908.04,1298.86,1175.66
Cash & Bank,386.39,354.99,40.33,53.67,62.15,49,25.21,212.09,315.81,1422.83
No. of Equity Shares,399069685,399069685,398477530,398477530,398477530,398477530,398477530,398477530,399069685,399069685
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,1572.71,257.89,-241.57,906.81,361.48,506.95,-23.68,1769.48,251.52,929.23
Cash from Investing Activity,-411.92,-133.94,-169.95,-237.9,-487.85,-278.6,-266.39,-24.29,-18.61,-39.83
Cash from Financing Activity,-937.62,-155.35,409.69,-656.19,133.12,-241.71,267.39,-1560.1,-125.01,-114.12
Net Cash Flow,223.17,-31.4,-1.83,12.71,6.75,-13.36,-22.68,185.09,107.9,775.29
