COMPANY NAME,KARUR VYSYA BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,187.9,,,,,,,,,
Market Capitalization,15104.97,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,5115.96,5395.88,5443.43,5622.35,5699.65,5815.82,5989.99,5470.43,5587.67,6516.55
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,19.73,31.68,45.07,44.11,60.32,55.57,70.41,68.28,74.27,90.08
Employee Cost,528.58,547.68,549.72,609.65,640.72,762.62,857.93,1155.43,947,1009.04
Selling and admin,191.05,209.68,237.15,259.83,289.01,297.3,310.02,304.74,327.11,349.44
Other Expenses,638.61,713.57,661.8,972.96,1619.1,1786.66,1873.14,1091.39,1085.94,1516.66
Other Income,564.45,589.51,706.78,782.22,899.93,962.77,1154.62,918.83,769.05,1158.94
Depreciation,74.69,81.36,82.81,85.89,85.25,101.22,118.88,124.14,119.18,105.66
Interest,3832.26,3929.97,3662.03,3548.65,3401.54,3453,3642.04,3110.91,2872.3,3167.74
Profit before tax,395.49,471.45,911.63,883.48,503.64,322.22,272.19,534.37,930.92,1436.87
Tax,-34.11,7.17,344,277.49,157.97,111.36,37.16,174.98,257.65,330.77
Net profit,429.6,464.28,567.63,605.98,345.67,210.87,235.02,359.39,673.27,1106.09
Dividend Amount,139.33,158.12,170.6,158.42,43.6,47.96,,39.96,128,160.41
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1397.95,1404.51,1409.27,1473.53,1579.48,1695.22,1768.32,1882.91,1997.08,2139.38
Expenses,633.72,627.35,614.22,624.12,717.79,881.63,847.35,741.23,742.77,832.89
Other Income,163.1,195.61,205.48,199.07,241.57,317.49,400.81,333.16,338.89,357.79
Depreciation,,,,,,,,,,
Interest,717.64,717.28,699.34,727.65,758.13,806.22,875.74,985.84,1081.7,1138.09
Profit before tax,209.69,255.49,301.19,320.83,345.13,324.86,446.04,489,511.5,526.19
Tax,44.24,70.01,87.72,92.08,94.9,35.57,108.22,130.37,133.05,114.56
Net profit,165.45,185.48,213.47,228.75,250.23,289.29,337.82,358.63,378.45,411.63
Operating Profit,764.23,777.16,795.05,849.41,861.69,813.59,920.97,1141.68,1254.31,1306.49
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,107.18,121.63,121.86,121.86,145.33,159.86,159.86,159.86,160,160.41
Reserves,3219.16,4124.4,4451.09,4913.83,6118.86,6262.94,6440.41,6799.88,7436.2,8423.64
Borrowings,47050.89,47591.02,52973.14,55395.46,59284.08,61433.29,60259.26,65806.72,69825.1,78069.59
Other Liabilities,1165.83,1315.43,1438.63,1376.47,1393.16,1484.03,1418.64,1856.73,2650.02,3525.78
Total,51543.06,53152.48,58984.72,61807.62,66941.43,69340.12,68278.17,74623.19,80071.32,90179.42
Net Block,375.94,394.51,416.54,410.94,474.7,544.94,563.47,518.46,463.63,417.62
Capital Work in Progress,8.76,16.66,3.58,7.67,53.49,38.04,23.16,20.6,14.86,17.42
Investments,13247,12375.15,14442.67,14857.48,15803.21,14881.59,15762.45,16018.93,17216.06,18808.32
Other Assets,37911.36,40366.16,44121.93,46531.53,50610.03,53875.55,51929.09,58065.2,62376.77,70936.06
Total,51543.06,53152.48,58984.72,61807.62,66941.43,69340.12,68278.17,74623.19,80071.32,90179.42
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,2678.14,2749.09,2891.6,4345.09,4309.22,3697.05,4392.55,6320.34,4926.17,4695.13
No. of Equity Shares,107181106,121629609,121864454,609322270,726639371,799310947,799320719,799320719,800011672,802053463
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,1184.25,-308.95,579.87,1611.25,-549.51,-1575.65,2503.82,3365.53,295.49,1217.21
Cash from Investing Activity,-113.01,-102.32,-91.65,-83.86,-169.74,549.35,-1534.61,-1378.85,-1593.76,-1270.21
Cash from Financing Activity,-189.12,482.21,-345.71,-73.9,683.38,414.13,-273.7,-58.89,-95.9,-178.05
Net Cash Flow,882.12,70.95,142.51,1453.49,-35.87,-612.17,695.51,1927.79,-1394.17,-231.04
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,63.57,92.13,73.99,94.86,91.32,71.3,20.2,55.6,46.3,104.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,68.8,78.05,78.25,78.2,79.93,79.93,79.93,79.93,80,80.2
