COMPANY NAME,C.E. INFO SYSTEMS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1804.2,,,,,,,,,
Market Capitalization,9722.53,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,149.33,134.88,148.63,152.38,198.16,253.85
Raw Material Cost,,,,,21.58,18.27,14.49,15.54,18.95,36.95
Change in Inventory,,,,,1.32,-1.57,-0.07,-0.84,0.45,
Power and Fuel,,,,,1.35,1.42,1.59,1.29,1.48,
Other Mfr. Exp,,,,,4.56,2.76,2.82,1.78,2.14,
Employee Cost,,,,,45.2,49.45,63.55,52.53,56.28,53.46
Selling and admin,,,,,24.25,24.05,26.06,22.78,27.78,15.17
Other Expenses,,,,,6.14,16.21,9.58,6.38,5.67,32.54
Other Income,,,,,11.36,28.23,14.92,39.75,38.98,35.38
Depreciation,,,,,5.73,5.17,8.93,9.21,7.96,6.16
Interest,,,,,0.17,0.27,2.84,2.53,2.13,1.8
Profit before tax,,,,,53.03,43.94,33.62,79.25,115.2,143.15
Tax,,,,,17.62,8.63,8.28,19.07,29.66,34.4
Net profit,,,,,35.41,35.31,25.34,60.18,85.55,108.75
Dividend Amount,,,,,,,,,10.65,16.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,56.42,43.05,55.33,61.85,67.1,59.25,65.65,75.03,79.53,76.1
Expenses,30.91,27.94,29.97,31.12,36.64,31.7,39.06,37.76,40.19,41.86
Other Income,13.51,6.27,11.29,6.17,7.34,10.85,11.42,8.37,8.11,11.56
Depreciation,1.92,1.9,2.2,1.68,1.66,1.57,1.24,1.88,2.48,2.23
Interest,0.57,0.49,0.55,0.57,0.42,0.38,0.43,0.32,0.37,0.31
Profit before tax,36.53,18.99,33.9,34.65,35.72,36.45,36.34,43.44,44.6,43.26
Tax,11.46,3.24,10.31,9.53,9.57,6.6,8.7,10.18,10.51,10.93
Net profit,25.07,15.75,23.59,25.12,26.15,29.85,27.64,33.26,34.09,32.33
Operating Profit,25.51,15.11,25.36,30.73,30.46,27.55,26.59,37.27,39.34,34.24
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,3.83,3.83,3.83,3.83,10.65,10.73
Reserves,,,,,107.76,154.07,165.57,226.74,427.49,524.47
Borrowings,,,,,0.19,,22.86,20.19,15.94,11.91
Other Liabilities,,,,,165.73,159.31,167.3,177.53,51.17,92.15
Total,,,,,277.51,317.21,359.56,428.29,505.25,639.26
Net Block,,,,,21.96,20.04,39.98,32.98,27.59,36.11
Capital Work in Progress,,,,,,,,,,
Investments,,,,,168.41,203.56,204.01,275.02,313.07,378.88
Other Assets,,,,,87.14,93.61,115.57,120.29,164.59,224.27
Total,,,,,277.51,317.21,359.56,428.29,505.25,639.26
Receivables,,,,,29.4,23.72,31.14,28.28,42.17,56.79
Inventory,,,,,7.91,4.7,4.77,3.33,8.85,4.95
Cash & Bank,,,,,9.27,20.86,28.85,62.06,50.76,98.92
No. of Equity Shares,,,,,3832831,3832831,3832831,3832831,53242967,
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,25.93,23.15,24.07,79.48,30.56,99.69
Cash from Investing Activity,,,,,-26.17,-19.74,-2.36,-57.06,-11.18,-57.13
Cash from Financing Activity,,,,,-0.26,-0.18,-17.7,-5.66,-14.1,-5.06
Net Cash Flow,,,,,-0.5,3.23,4.01,16.76,5.28,37.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,1510.7,992.3
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,0.38,0.38,0.38,0.38,5.32,5.37
