COMPANY NAME,ARVIND LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,350.05,,,,,,,,,
Market Capitalization,9157.11,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,7851.4,8010.57,9221.27,6793.66,7142.18,7369,5072.98,8009.87,8382.48,7737.75
Raw Material Cost,3695.83,3573.83,4568.9,3175.94,3301.55,3666.37,2360.63,4643.02,4400.59,3712.46
Change in Inventory,201.95,107.22,363.05,1.31,40.85,-69.45,-161.64,521.05,-70.28,33.71
Power and Fuel,488.24,493.65,495.25,504.45,510.3,455.61,327.75,560.39,618.32,
Other Mfr. Exp,1031.84,1094.29,1166.03,1050.2,1234.24,1075.19,704.14,1294.07,1121.37,
Employee Cost,802.32,898.13,1095.83,874.94,899.95,942.28,696.56,780.12,867.64,963.57
Selling and admin,841.62,891.09,1102.32,374.9,389.25,346.16,238.31,345.53,366.57,
Other Expenses,157.82,193.09,195.53,123.99,125.01,105.86,105.69,77.84,109.43,2250.3
Other Income,38.87,88.79,65.54,109.11,38.77,4.79,15.44,13.38,100.37,43.29
Depreciation,212.35,239.13,294.27,222.35,235.05,290.45,285.15,253.95,253.01,265.82
Interest,417.43,382.61,311.99,192.15,236.5,254.63,239.46,196.82,191.92,159.3
Profit before tax,444.77,440.76,419.74,385.16,289.95,167.79,-30.91,392.56,483.72,463.3
Tax,107.15,124.62,98.89,69.35,61.54,75.69,-3.52,150.98,70.55,110.67
Net profit,341.1,314.19,314.63,309.47,226.23,95.65,-16.52,238.15,404.56,336.61
Dividend Amount,65.85,61.98,62.01,62.07,51.72,,,,150.36,124.27
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2270.07,2197.04,2352.12,2169.81,1979.79,1880.76,1853.27,1921.73,1888.24,2074.51
Expenses,2029.1,1959.05,2131.69,1967.5,1793.32,1689.97,1672.94,1715.81,1672.64,1831.68
Other Income,9.31,-7.04,1.29,51.79,21.51,26.38,13.03,13.16,9.57,7.98
Depreciation,64.9,62.5,62.25,62.1,62.77,65.89,64.91,67.19,66.39,67.33
Interest,40.54,40.42,40.47,42.31,43.23,38.23,36.51,38.72,38.81,45.26
Profit before tax,144.84,128.03,119,149.69,101.98,113.05,91.94,113.17,119.97,138.22
Tax,50.5,41.69,17.38,22.44,14.98,15.75,22.24,28.98,25.65,33.8
Net profit,92.77,82.89,98.42,125.02,84.12,97,65.87,80.01,91.7,99.03
Operating Profit,240.97,237.99,220.43,202.31,186.47,190.79,180.33,205.92,215.6,242.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,258.24,258.24,258.36,258.62,258.62,258.77,258.92,260.59,261.5,261.63
Reserves,2465.64,2388.16,3308.62,3524.23,2491.82,2449.81,2460.37,2689.94,3084.13,3281.12
Borrowings,3396.65,3818.8,2926,3323.05,2699.85,2640.1,2121.33,1864.96,1517.38,1447.99
Other Liabilities,1855.12,1659.32,2032.12,3081.78,1872.06,1789.62,1872.3,2881.06,2034.52,2269.63
Total,7975.65,8124.52,8525.1,10187.68,7322.35,7138.3,6712.92,7696.55,6897.53,7260.37
Net Block,3208.23,3356.79,3672.21,3962.22,3421.14,3835.01,3590.5,3480.99,3426.51,3421.92
Capital Work in Progress,100.01,146.8,95.62,116.24,261.89,112.83,78.35,45.53,79.94,116.82
Investments,58.55,543.79,276.67,76.14,78.49,90.41,70.28,66.26,211.41,167.11
Other Assets,4608.86,4077.14,4480.6,6033.08,3560.83,3100.05,2973.79,4103.77,3179.67,3554.52
Total,7975.65,8124.52,8525.1,10187.68,7322.35,7138.3,6712.92,7696.55,6897.53,7260.37
Receivables,1165.81,768.15,794.82,1766.98,897.12,1047.67,1091.67,1108.58,965.88,1069.76
Inventory,1845.03,1920.45,2382.8,2244.2,1598.43,1276.83,1159.85,2208.42,1648.99,1985.99
Cash & Bank,83.32,60.91,53.88,65.49,80.57,84.08,51.56,77.09,76.96,75.81
No. of Equity Shares,258243969,258243069,258359969,258617969,258617969,258767969,258924969,260586719,261498374,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,558.42,650.31,551.09,428.49,2358.16,860.47,776.29,594.57,666.07,696.36
Cash from Investing Activity,-587.39,-502.6,66.46,-353.45,-1305.77,-305.63,-81.1,-121.35,-135.4,-276.85
Cash from Financing Activity,-48.5,-150.91,-621.08,-55.35,-1019.44,-574.69,-716.76,-438.92,-534.04,-418.88
Net Cash Flow,-77.47,-3.2,-3.53,19.69,32.95,-19.85,-21.57,34.3,-3.37,0.63
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
