COMPANY NAME,NHPC LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,93.65,,,,,,,,,
Market Capitalization,94081.27,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,7389.27,8221.07,8354.02,8623.13,7755.43,8982.87,10007.81,9647.89,9144.2,10607.4
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,745.39,830.01,832.29,806.56,735.56,831.4,935.04,886.82,875.04,975.05
Other Mfr. Exp,249.46,249.78,301.02,357.44,339.88,354.48,589.64,585.89,564.34,511.82
Employee Cost,1522.59,1576.83,1604.18,1932.8,1909.85,2150.74,1944.27,1818.15,1880.42,1840.67
Selling and admin,633.61,551.2,626.99,644.28,633.19,792.66,883.56,957.43,911.56,1033.59
Other Expenses,-103.66,-120.33,206.39,-2,-110.93,-127.28,209.19,123.09,899.83,39.88
Other Income,888.7,1596.55,1173.84,2244.97,1184.9,1732.65,310.55,1087.23,980.87,742.51
Depreciation,1499.37,1715.28,1431.95,1461.75,1468.72,1657.96,1614.04,1292.46,1190.3,1214.67
Interest,1202.66,1296.5,1159.77,1132.53,924.47,896.15,877.11,576.54,586.23,523.25
Profit before tax,2528.55,3718.35,3365.27,4534.74,3039.59,4159.41,3265.51,4494.74,3217.35,5210.98
Tax,895.4,920.3,1000.26,1054.41,254.89,1323.62,-79.4,894.86,-556.98,976.24
Net profit,1218.75,2491.36,2050.83,3029.42,2513.9,2595.61,2884.92,3271.78,3523.57,3889.98
Dividend Amount,332.12,664.24,1660.6,1846.68,1436.3,1466.57,1506.75,1607.2,1818.15,1858.33
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2940.63,2156.72,1674.31,2785.14,3366.02,2582.76,2028.77,2757.26,2931.26,2055.5
Expenses,1054.09,2236.63,1154.12,1308.36,1178.37,1383.13,1140.66,1252.74,1173.86,1334.58
Other Income,264.88,218.37,462.35,254.64,382.9,111.02,399.18,292.26,260.59,586.63
Depreciation,296.31,302.54,296.31,303.43,301.3,305.65,304.29,293.55,294.86,296.23
Interest,134.1,130.45,133.53,136.68,106.83,119.92,110.83,109.04,104.82,97.04
Profit before tax,1721.01,-294.53,552.7,1291.31,2162.42,885.08,872.17,1394.19,1618.31,914.28
Tax,334.2,-1183.29,36.8,237.55,476.61,109.09,152.99,298.81,-74.95,285.84
Net profit,1335.44,813.21,467.15,1039.31,1535.6,671.67,643.4,1036.86,1545.85,491.9
Operating Profit,1886.54,-79.91,520.19,1476.78,2187.65,1199.63,888.11,1504.52,1757.4,720.92
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,11070.67,11070.67,11070.67,10259.32,10259.32,10045.03,10045.03,10045.03,10045.03,10045.03
Reserves,17175.3,19686.8,20572.04,18755.5,19781.87,20752.78,21335.89,23008.27,24875.95,26854.31
Borrowings,20819.48,20584.43,19938.22,19226.73,18602.1,19065.79,23226.4,23365.24,26095.95,29539.84
Other Liabilities,12361.59,10094.11,11241.67,11945.56,14289.5,16870.08,16669.34,16717.11,16271.46,19651.54
Total,61427.04,61436.01,62822.6,60187.11,62932.79,66733.68,71276.66,73135.65,77288.39,86090.72
Net Block,29586.82,27916.1,22609.53,22227.13,21200.91,24976.63,24401.85,21993.25,21825.1,22137.39
Capital Work in Progress,14923.98,16377.54,16741.6,17587.59,19086.74,15036.8,17180.41,19166.96,22522.41,31356.74
Investments,1273.37,1019.78,605.56,1019.98,1124.76,1282.85,1397.66,1842.24,2386.5,498.57
Other Assets,15642.87,16122.59,22865.91,19352.41,21520.38,25437.4,28296.74,30133.2,30554.38,32098.02
Total,61427.04,61436.01,62822.6,60187.11,62932.79,66733.68,71276.66,73135.65,77288.39,86090.72
Receivables,2422.43,2905.18,1904.51,1854.01,1346.04,2838,3583.22,5133.42,5175.84,6160.59
Inventory,105.75,114.62,115.28,110.78,113.74,133.41,134.53,142.35,144.33,164.44
Cash & Bank,6142.78,6941.02,7283.53,3472.46,3319.06,2245.25,1693.27,2256.82,1958.35,2693.68
No. of Equity Shares,11070668500,11070668496,11070668496,10259320519,10259320519,10045034805,10045034805,10045034805,10045034805,10045034805
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,3824.36,4060.64,5970.71,8329.16,4696.12,3824.21,2992.53,5069.79,4589.62,4692.23
Cash from Investing Activity,-1121.78,-767.99,-746.22,-1864.48,-886.22,-1182.28,-2987.06,-1607.14,-3083.86,-4191.42
Cash from Financing Activity,-4536.26,-2494.41,-4000.32,-7811.63,-3862.93,-2637.22,11.66,-3057.55,-638.36,-795.67
