COMPANY NAME,SHIPPING CORPORATION OF INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,206.45,,,,,,,,,
Market Capitalization,9609.64,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,4231.8,4186.44,4049.88,3447.35,3469.47,3872.85,4425.44,3703.25,4988.03,5793.95
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,1428.36,1192.75,621.93,669.28,867.76,1110.31,1129.13,719.91,978.39,1388.02
Other Mfr. Exp,1711.37,1628.42,1506.29,1535.73,1379.76,1446.2,1427.67,1298.18,1944.08,2109.05
Employee Cost,411.27,413.74,487,418.25,486.05,447.78,476.69,473.93,483.54,478.03
Selling and admin,44.4,42.39,79.58,52.83,43.83,40.45,62.14,30.11,31.14,34.1
Other Expenses,47.89,83.54,-6.57,-8.96,15.34,115.01,187.26,17.09,17.62,225.16
Other Income,254.29,401.17,164.79,145.23,143.14,232.23,242.95,120.72,96.87,111.48
Depreciation,856.44,770.15,542.25,566.07,610.25,658.46,671.27,627.94,635.25,753.16
Interest,207.75,180.49,194.77,173.62,180.14,361.72,366.72,22.04,160.86,184.93
Profit before tax,-221.39,276.13,789.42,185.76,29.48,-74.85,347.51,634.77,834.02,732.98
Tax,53.27,75.2,36.14,43.48,-224.27,47.14,45.16,16.67,43.91,-67.14
Net profit,-274.66,200.93,753.28,142.28,253.75,-121.99,302.35,618.1,790.11,800.12
Dividend Amount,,,,,,,34.94,11.64,15.37,20.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1221.31,1431.26,1308.87,1462.14,1420.4,1496.23,1418.14,1200.11,1093.06,1340.53
Expenses,822.09,965.83,981.68,1162.94,1098.04,1026.82,953.26,836.92,857.11,923.37
Other Income,8.34,24.97,46.25,28.15,37.87,24.89,34.07,26.96,68.69,22.33
Depreciation,161.45,158.89,159.96,172.16,190.47,194.77,195.82,197.35,200.3,251.05
Interest,13.06,16.88,76.1,49.91,46.81,37.9,49.57,35.46,55.65,39.75
Profit before tax,233.05,314.63,137.38,105.28,122.95,261.63,253.56,157.34,48.69,148.69
Tax,5.01,24.32,10.64,11.65,12.11,15.81,-106.27,9.92,8,16.64
Net profit,228.04,290.31,126.74,93.63,110.84,245.82,359.83,147.42,40.69,132.05
Operating Profit,399.22,465.43,327.19,299.2,322.36,469.41,464.88,363.19,235.95,417.16
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,465.8,465.8,465.8,465.8,465.8,465.8,465.8,465.8,465.8,465.8
Reserves,5874.02,6067.8,6257.68,6366.97,6631.76,6515.41,6832.38,7436.22,5111.17,5905.64
Borrowings,8256.95,6833.16,5844.76,5492.29,5585.37,5277.45,4767.23,3679,3200.37,2604.58
Other Liabilities,1934.77,1561.85,2148.28,2162.15,1685.61,1896.01,1667.71,1555.91,1683.68,1935.71
Total,16531.54,14928.61,14716.52,14487.21,14368.54,14154.67,13733.12,13136.93,10461.02,10911.73
Net Block,11934.73,11444.46,11827.21,11410.68,11348,11119.09,10653.13,10174.38,7624.06,7403.36
Capital Work in Progress,62.88,490.93,,27.33,7.81,7.63,2.84,32.66,58.31,33.51
Investments,113.49,90.14,65.73,74.63,130.87,77.14,77.26,77.13,78.37,78.98
Other Assets,4420.44,2903.08,2823.58,2974.57,2881.86,2950.81,2999.89,2852.76,2700.28,3395.88
Total,16531.54,14928.61,14716.52,14487.21,14368.54,14154.67,13733.12,13136.93,10461.02,10911.73
Receivables,1059.99,787.82,681.83,658.7,662.64,598.92,606.23,630.46,637.21,1018.11
Inventory,190.45,91.93,85.58,115.21,116.53,159.79,131.38,87.6,174.79,150
Cash & Bank,1018.93,1256.16,1285.46,1375.65,1111.31,998.16,937.77,1035.15,385.74,553.36
No. of Equity Shares,465799010,465799010,465799010,465799010,465799010,465799010,465799010,465799010,465799010,465799010
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,838.21,2099.65,1490.04,682.51,228.35,668.23,944.72,1340.52,1441.4,1466.19
Cash from Investing Activity,-965.67,-253.08,-11.13,-85.68,-470.67,-71.66,324.37,-206.85,-729.79,-502
Cash from Financing Activity,-118.39,-1609.34,-1094.62,-522.42,-87.13,-742.97,-1119.69,-1154.43,-652.67,-929.94
Net Cash Flow,-245.85,237.23,384.29,74.41,-329.45,-146.4,149.4,-20.76,58.94,34.25
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,31.94,35.75,49.98,58.99,49.37,29.09,28.86,85.19,88.77,93.6
,,,,,,,,,,
