COMPANY NAME,LIFE INSURANCE CORPORATION OF INDIA,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,902.15,,,,,,,,,
Market Capitalization,570578.99,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,492067.82,522847.98,559986.44,615920.26,681605.49,720514.89,781542.56
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,258.09,252.85,251.51,249.84,,,
Other Mfr. Exp,,,,433914.22,458899.15,494892.14,540730.06,631246.26,671945.36,713348.89
Employee Cost,,,,20629.37,21081.98,19871.88,25089.77,26755.18,30310.58,40093.9
Selling and admin,,,,23841.44,26219.3,27421.97,32106.31,7537.44,7401.23,7362.53
Other Expenses,,,,5085.34,6965.83,7592.15,10464.6,5382.58,-732.09,-13766.48
Other Income,,,,607,801.13,841.26,2697.74,623.4,788.9,7660.84
Depreciation,,,,326.01,301.84,333.49,375.21,412.9,433.36,464.93
Interest,,,,47.02,46.02,39.23,57.53,,,
Profit before tax,,,,8573.33,9882.14,10425.33,9544.68,10894.53,11945.35,41699.63
Tax,,,,6341.59,7435.74,7736.82,6831.97,7993.97,7902.23,5302.24
Net profit,,,,2231.74,2446.41,2688.5,2712.71,2900.57,4043.12,36397.39
Dividend Amount,,,,,,42,42.7,,948.75,1897.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,180905.14,174269.67,211325.72,168070.58,216355.18,196957.97,200178.83,189300.06,202220.67,213344.78
Expenses,181695.78,171232.75,209220.14,166921.61,285093.79,193351.4,186381.36,178434.51,193379.11,202680.8
Other Income,5411.45,391.91,207.66,959.33,90114.2,234.06,577.64,77.02,248.39,163.21
Depreciation,,,,,,,,,,
Interest,,,,,,,,,,
Profit before tax,4620.81,3428.83,2313.24,2108.3,21375.59,3840.63,14375.11,10942.57,9089.95,10827.19
Tax,3187.1,3193.92,-58.32,1425.41,5423.1,-2493.57,947.3,1398.86,1164.93,1382.78
Net profit,1433.71,234.91,2371.55,682.89,15952.49,6334.2,13427.81,9543.71,7925.02,9444.42
Operating Profit,-790.64,3036.92,2105.58,1148.97,-68738.61,3606.57,13797.47,10865.55,8841.56,10663.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,100,100,100,100,100,6325,6325
Reserves,,,,506.45,550.37,578.68,639.53,6260.69,4084.14,39344.4
Borrowings,,,,,,,,,,
Other Liabilities,,,,2571339.47,2844339.12,3111131.93,3202760.48,3805394.98,4220180.63,4504842.8
Total,,,,2571945.92,2844989.49,3111810.61,3203500.01,3811755.67,4230589.77,4550512.2
Net Block,,,,2403.36,2574.1,2642.51,17138.06,17693.34,17743.85,20445.85
Capital Work in Progress,,,,182.43,174.76,241.49,246.35,148.06,198.49,331.06
Investments,,,,2335630.73,2604268.95,2829867.45,2906127.72,3506929.92,3911653.96,4227893.54
Other Assets,,,,233729.4,237971.68,279059.16,279987.88,286984.35,300993.47,301841.75
Total,,,,2571945.92,2844989.49,3111810.61,3203500.01,3811755.67,4230589.77,4550512.2
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,,,,32729.17,22680.53,42178.13,28581.23,30293.25,37432.14,38353.46
No. of Equity Shares,,,,1000000000,1000000000,1000000000,100000000,100000000,6324997701,6324997701
New Bonus Shares,,,,,,,,,6224997701,
Face value,,,,1,1,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,70555.14,67931.01,19848.96,74768.69,55723.07,-3135.49,59718.01
Cash from Investing Activity,,,,-78248.89,-75609.88,1895.2,-85722.03,-54012.82,10376.52,-57899.3
Cash from Financing Activity,,,,-2497.03,-2369.73,-2252.42,-2608.25,,,-948.59
Net Cash Flow,,,,-10190.79,-10048.6,19491.74,-13561.59,1710.25,7241.03,870.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,534.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,,632.5,632.5
