COMPANY NAME,NUCLEUS SOFTWARE EXPORTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1306.6,,,,,,,,,
Market Capitalization,3500.55,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,346.22,353.14,348.7,372.39,411.81,484.03,520.83,513.53,497.19,634.46
Raw Material Cost,,,,,,,,,,
Change in Inventory,-4.95,,,,,,,,,
Power and Fuel,4.49,4.68,4.66,4.69,4.7,4.64,4.52,2.78,2.72,2.99
Other Mfr. Exp,28.96,16.93,9.21,3.13,13.51,16.51,19.18,10.72,12.35,14.22
Employee Cost,181.61,202.49,227.87,244.55,276.97,314.82,323.77,332.26,395.76,396.42
Selling and admin,50.93,56.56,68.37,56.11,51.82,57.22,68.14,38.71,45.52,60.67
Other Expenses,7.24,6.63,7.72,10.03,6.09,11.59,11,-0.39,3.81,3.39
Other Income,23.61,33.31,25.85,32.14,28.69,27.48,37.23,39.45,34.66,34.06
Depreciation,7.94,11.97,12.22,11.22,7.04,9.93,13.55,13.87,15.38,18.73
Interest,0.51,0.54,0.62,0.55,0.51,0.51,1.12,1.22,0.81,1.02
Profit before tax,83.2,86.65,43.88,74.25,79.86,96.29,116.78,153.81,55.5,171.08
Tax,18.86,21.94,11.41,8.09,17.31,21.75,27.79,35.86,14.59,43.29
Net profit,64.34,64.71,32.47,66.16,62.55,74.54,88.99,117.95,40.91,127.79
Dividend Amount,19.43,16.2,16.2,16.2,23.23,26.14,26.14,26.14,18.74,26.77
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,114.12,121.59,153.04,128.84,130.09,169.33,206.2,206.81,205.25,204.13
Expenses,109.24,116.03,128.14,114.14,118.63,121.46,123.46,144.23,153.31,156.48
Other Income,9.52,7.99,6.35,6.21,8.8,9.32,9.73,12.83,11.86,12
Depreciation,3.23,3.94,5.08,5.21,4.98,4.93,3.61,3.63,3.61,3.52
Interest,0.22,0.18,0.16,0.19,0.31,0.26,0.26,0.25,0.26,0.21
Profit before tax,10.95,9.43,26.01,15.51,14.97,52,88.6,71.53,59.93,55.92
Tax,2.37,1.39,7.72,4.74,3.94,13.66,20.95,17.97,15.34,14.61
Net profit,8.58,8.04,18.29,10.77,11.03,38.34,67.65,53.56,44.59,41.31
Operating Profit,4.88,5.56,24.9,14.7,11.46,47.87,82.74,62.58,51.94,47.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,32.39,32.39,32.39,32.39,29.04,29.04,29.04,29.04,26.77,26.77
Reserves,364.62,405.98,424.51,502.57,432.26,479.51,531.84,642.98,466.83,583.89
Borrowings,,,1.29,,,,6.32,6.3,2.33,6.26
Other Liabilities,116.34,117.96,122.62,130.53,184.09,176.74,195.83,206.34,241.01,257.26
Total,513.35,556.33,580.81,665.49,645.39,685.29,763.03,884.66,736.94,874.18
Net Block,60.65,58.16,54.48,47.96,48.34,47.19,56.74,49.88,58.83,50.49
Capital Work in Progress,1.26,0.79,1.1,0.32,,0.02,0.26,0.52,0.46,0.81
Investments,223.58,169.54,244.66,440.91,386.73,424.43,474.75,634.51,479.57,525.26
Other Assets,227.86,327.84,280.57,176.3,210.32,213.65,231.28,199.75,198.08,297.62
Total,513.35,556.33,580.81,665.49,645.39,685.29,763.03,884.66,736.94,874.18
Receivables,41.72,84.61,85.95,60.93,79.06,71.13,90.24,89.22,83.19,174.63
Inventory,,,,,,,,,,
Cash & Bank,98.75,180.6,112.71,62.21,69.55,82.94,88.34,44.9,56,51.11
No. of Equity Shares,32386524,32386524,32386524,32383724,29040724,29040724,29040724,29040724,26773324,26773324
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,65.73,36.81,32.51,95.11,76.93,56.09,74.73,114.9,57.67,49.84
Cash from Investing Activity,-55.54,-15.46,7.35,-77.81,60.51,-27.87,-28.41,-126.06,158.69,-12.45
Cash from Financing Activity,-9.77,-22.73,-35.68,-1.29,-134.71,-25.98,-34.07,-13.34,-212.88,-22.65
Net Cash Flow,0.42,-1.38,4.18,16.01,2.73,2.24,12.25,-24.5,3.48,14.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,217.9,169.1,193.35,246.2,400.85,339.9,179.65,481.15,414.2,639.3
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,3.24,3.24,3.24,3.24,2.9,2.9,2.9,2.9,2.68,2.68
