COMPANY NAME,SHOPPERS STOP LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,719.95,,,,,,,,,
Market Capitalization,7921.78,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,4216.96,4595.31,3756.9,3696.72,3577.93,3463.88,1748.96,2518.75,4022.13,4316.59
Raw Material Cost,2749.88,2946.61,2312.74,2243.15,2793.87,2173.8,693.15,1663.96,2824.38,2730.98
Change in Inventory,57.34,83.37,-32.01,-24.78,715.62,167.27,-383.09,157.96,496,186.77
Power and Fuel,111.77,121.01,96.13,94.44,96.98,98.93,64.19,72.9,111.34,
Other Mfr. Exp,122.57,139.06,122.64,141.58,161.89,176.57,160.4,183.37,204.26,
Employee Cost,315.66,333.03,287.27,315.66,329.6,334.63,265.04,272.53,352.31,392.99
Selling and admin,832.27,978.89,827.38,583.8,572.18,203.39,81.28,128.42,218.03,
Other Expenses,-126.49,-19.93,-49.62,142.11,93.17,91.8,57.66,85.51,112.56,662.43
Other Income,12.64,27.57,18.44,231.98,18.43,24.04,224.24,193.93,54.73,49.33
Depreciation,125.31,129.66,118.7,114.9,140.6,450.38,392.3,354.88,381.64,436.57
Interest,78.14,84.85,86.2,37.68,13.79,197.32,222.96,206.6,209.16,225.27
Profit before tax,77.83,-6.93,-58.11,230.6,109.9,-71.63,-346.87,-97.53,159.18,104.45
Tax,28.82,33.37,20.26,17.56,44.93,70.39,-79.71,-52.11,43.17,27.2
Net profit,42.4,2.41,-37.28,244.22,64.97,-142.02,-267.16,-47,116.01,77.25
Dividend Amount,6.25,6.26,6.26,6.6,6.6,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,958.11,713.34,948.44,1012.74,1137.07,923.9,993.61,1039.12,1237.52,1046.34
Expenses,774.22,637.1,785.94,847.5,924.28,769.17,821.75,878.2,1020.03,879.65
Other Income,41.47,21.39,5.56,1.89,24.37,22.91,7.29,5.68,3.36,33
Depreciation,81.19,92.72,84.56,92.72,99.88,104.48,105.03,108.19,111.32,112.03
Interest,49.73,52.81,51.13,51.4,51.5,55.13,54.14,54.92,58.61,57.6
Profit before tax,94.44,-47.9,32.37,23.01,85.78,18.03,19.98,3.49,50.92,30.06
Tax,16.39,-32.9,9.54,6.81,23.04,3.77,5.49,0.76,14.07,6.88
Net profit,77.32,-15.85,22.83,16.2,62.74,14.26,14.49,2.73,36.85,23.18
Operating Profit,183.89,76.24,162.5,165.24,212.79,154.73,171.86,160.92,217.49,166.69
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,41.68,41.73,41.75,43.98,44,44,54.69,54.76,54.83,54.98
Reserves,486.73,473.38,437.48,860.46,870.7,22.64,65.04,21.17,151.22,246.44
Borrowings,751.23,829.03,885.11,125.35,74.46,2246.66,2105.82,2115.38,2374.73,2784.54
Other Liabilities,701.83,687.63,692.12,757.83,1486.43,1767.55,1290.27,1591.27,2022.66,2208.48
Total,1981.47,2031.77,2056.46,1787.62,2475.59,4080.85,3515.82,3782.58,4603.44,5294.44
Net Block,903.01,906.94,922.48,672.64,614.7,1900.72,1720.74,1723.36,2097.45,2585.52
Capital Work in Progress,27.57,33.33,20,18.15,35.09,44.42,2.93,14.03,33.92,17.37
Investments,0.02,38.96,19.86,282.46,258.35,190.51,127.79,145.96,48.03,4.01
Other Assets,1050.87,1052.54,1094.12,814.37,1567.45,1945.2,1664.36,1899.23,2424.04,2687.54
Total,1981.47,2031.77,2056.46,1787.62,2475.59,4080.85,3515.82,3782.58,4603.44,5294.44
Receivables,101.45,51.87,56.83,47.72,47.24,34.07,30.77,31.5,29.41,82.36
Inventory,506.34,579.2,577.56,356.32,1071.93,1239.2,856.11,1007.54,1499.79,1686.56
Cash & Bank,19.93,10.36,7.61,6.04,17.45,4.35,42.12,32.49,31.35,16.74
No. of Equity Shares,83367805,83461946,83504744,87960689,87989928,87989928,109358910,109500225,109500225,
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,110.7,155.36,64.03,298.07,202.11,576.12,-2.95,382.64,543.43,561.29
Cash from Investing Activity,-161.72,-171.81,-110.74,-35.07,-125.32,-284.17,-23.55,-101.57,-29.08,-111.44
Cash from Financing Activity,45.46,10.5,-9.85,-171.01,-63.42,-433.21,166.9,-270.19,-537.34,-479.2
Net Cash Flow,-5.56,-5.95,-56.55,91.99,13.37,-141.26,140.4,10.88,-22.99,-29.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,389.11,343.9,345.7,498.55,446.53,181.4,215,470.55,648.75,755
